signal,domain,window,n,bias_median_py_minus_mat,mae,median_abs_error,rmse,q95_abs_error,corr,working_threshold,strict_threshold,working_gate,strict_gate
ANG_deg,absolute,full,2666,-1.1665620184661591,3.1509423250035673,2.8475192844153607,3.8308991322924486,7.446674110478862,0.6388797710763391,3.0,2.0,pass,review
ANG_deg,baseline_delta,full,2666,-2.6516939220777935,3.6435057831554882,2.653477939550843,4.603431999520906,8.931806014090498,0.638879771076339,3.0,2.0,pass,review
ANG_deg,absolute,baseline_first_2s,67,1.4851319036116344,1.5877195871676404,1.5050304070703149,1.6923026701738924,2.782487911486235,,3.0,2.0,pass,pass
ANG_deg,baseline_delta,baseline_first_2s,67,0.0,1.2152522667563639,0.029346406805739633,2.0525812166942496,4.26761981509787,,3.0,2.0,pass,pass
ANG_deg,absolute,matlab_high_contraction,560,-2.089066424193085,2.9703584784470958,2.108074382701208,3.9653093746965244,8.034753079874916,0.4601584387071558,3.0,2.0,pass,review
ANG_deg,baseline_delta,matlab_high_contraction,560,-3.5741983278047194,4.325628521713941,3.5741983278047194,5.13202551733666,9.51988498348655,0.4601584387071558,3.0,2.0,review,review
PEN_deg,absolute,full,2666,-1.3537512087066297,3.0211410244009347,2.4265088928830494,3.7334222442600478,7.296396865481304,0.6419289034720881,3.0,2.0,pass,review
PEN_deg,baseline_delta,full,2666,-2.128410221188606,3.273243558600822,2.3366213349052884,4.143114520794384,8.07105587796328,0.6419289034720884,3.0,2.0,pass,review
PEN_deg,absolute,baseline_first_2s,67,0.765485072315677,1.0700380701233392,0.8038079408724066,1.2417562986921558,2.543372619745546,-0.23368288952143526,3.0,2.0,pass,pass
PEN_deg,baseline_delta,baseline_first_2s,67,-0.009173940166299133,0.8620492688142405,0.06061765190004209,1.491354212319312,3.3180316322275223,-0.2336828895214352,3.0,2.0,pass,pass
PEN_deg,absolute,matlab_high_contraction,560,-2.5005162747820044,3.2192373401328416,2.5005162747820044,4.131293716408256,8.024544687866925,0.39510606062826814,3.0,2.0,pass,review
PEN_deg,baseline_delta,matlab_high_contraction,560,-3.2751752872639806,3.92981300457629,3.2751752872639806,4.747037929620802,8.799203700348901,0.3951060606282681,3.0,2.0,review,review
FL_mm,absolute,full,2666,0.9172731732586428,6.742732633341123,7.2174443759094125,7.940527888456098,13.264666039192173,0.5537816093273551,7.0,5.0,review,review
FL_mm,baseline_delta,full,2666,7.1623712397361246,8.8001917599376,7.1623712397361246,10.689670589554831,19.509764105669653,0.5537816093273549,7.0,5.0,review,review
FL_mm,absolute,baseline_first_2s,67,-6.169570553251319,5.433981286070893,6.211203636217107,5.675948250840592,6.554866399198996,0.30764287780501987,7.0,5.0,pass,review
FL_mm,baseline_delta,baseline_first_2s,67,0.07552751322616302,3.760065457113204,0.14645593132669887,6.2830871300532,12.798200681860026,0.30764287780501987,7.0,5.0,pass,pass
FL_mm,absolute,matlab_high_contraction,560,1.6237060583961913,4.174570808753765,2.025817392849774,6.152596440417157,13.226443480363079,0.5149364830860006,7.0,5.0,pass,pass
FL_mm,baseline_delta,matlab_high_contraction,560,7.868804124873673,9.740294710225585,7.868804124873673,10.977767734025639,19.47154154684056,0.5149364830860006,7.0,5.0,review,review
