ranked_signal,frame,python_time_s,matlab_time_s,py_ANG_deg,mat_ANG_deg,diff_ANG_deg,abs_diff_ANG_deg,py_PEN_deg,mat_PEN_deg,diff_PEN_deg,abs_diff_PEN_deg,py_FL_mm,mat_FL_mm,diff_FL_mm,abs_diff_FL_mm
ANG_deg,437,13.106985092163086,13.106981050430964,17.0,29.03085726624413,-12.03085726624413,12.03085726624413,18.068368911743164,29.87671288550095,-11.808343973757786,11.808343973757786,77.60940551757812,47.11490999870256,30.494495518875567,30.494495518875567
ANG_deg,438,13.136978149414062,13.136974142079548,17.0,28.88128510993316,-11.88128510993316,11.88128510993316,18.12181282043457,29.74727093500262,-11.625458114568051,11.625458114568051,77.60246276855469,47.19607694517149,30.406385823383197,30.406385823383197
ANG_deg,441,13.226958274841309,13.226953417025298,17.0,28.77212276132709,-11.77212276132709,11.77212276132709,18.16204071044922,29.638811967350613,-11.476771256901394,11.476771256901394,77.50018310546875,47.5407573927242,29.959425712744547,29.959425712744547
ANG_deg,2503,75.0727310180664,75.07270839640437,21.0,31.84251480913862,-10.84251480913862,10.84251480913862,22.688186645507812,33.17406468762847,-10.48587804212066,10.48587804212066,63.02286911010742,44.03384988782517,18.989019222282252,18.989019222282252
ANG_deg,1493,44.779701232910156,44.77968583133509,21.0,31.368682238662455,-10.368682238662455,10.368682238662455,21.864246368408203,32.25640970227283,-10.39216333386463,10.39216333386463,64.65149688720703,44.799841746736796,19.851655140470235,19.851655140470235
ANG_deg,2566,76.96229553222656,76.96227317026512,21.0,31.18077670290909,-10.180776702909089,10.180776702909089,22.09519386291504,32.225943620173204,-10.130749757258165,10.130749757258165,64.49199676513672,45.38230032139133,19.109696443745392,19.109696443745392
ANG_deg,1515,45.43954849243164,45.439533847603926,19.0,29.12696055067897,-10.12696055067897,10.12696055067897,20.30738639831543,30.089060387171855,-9.781673988856426,9.781673988856426,69.70075225830078,48.02668928120114,21.674062977099638,21.674062977099638
ANG_deg,1781,53.4177131652832,53.41769622612712,19.0,29.124955602093628,-10.124955602093628,10.124955602093628,19.973955154418945,30.480019407725965,-10.50606425330702,10.50606425330702,70.13496398925781,47.63585661798666,22.49910737127115,22.49910737127115
ANG_deg,2233,66.97459411621094,66.97457365128683,21.0,31.05258514207158,-10.052585142071582,10.052585142071582,22.716352462768555,32.686039216175594,-9.96968675340704,9.96968675340704,63.98230743408203,44.881470966141805,19.100836467940226,19.100836467940226
ANG_deg,170,5.098827362060547,5.098825580259185,18.0,28.00847788180002,-10.008477881800019,10.008477881800019,19.1640625,28.94679613277721,-9.782733632777209,9.782733632777209,73.50950622558594,48.919645528198274,24.589860697387664,24.589860697387664
ANG_deg,965,28.943342208862305,28.943333440883023,21.0,30.889148450860077,-9.889148450860077,9.889148450860077,22.3889217376709,31.852521074973183,-9.463599337302284,9.463599337302284,64.3121566772461,45.25232188863768,19.059834788608413,19.059834788608413
ANG_deg,439,13.166971206665039,13.166967233728132,19.0,28.858853420174352,-9.858853420174352,9.858853420174352,20.188697814941406,29.72409734837442,-9.535399533433015,9.535399533433015,70.07083129882812,47.24532595628101,22.825505342547117,22.825505342547117
ANG_deg,1518,45.5295295715332,45.52951312254967,19.0,28.84544744343025,-9.845447443430249,9.845447443430249,20.202497482299805,29.852496644189202,-9.649999161889397,9.649999161889397,69.9698486328125,48.126870288112634,21.842978344699866,21.842978344699866
ANG_deg,440,13.196964263916016,13.196960325376715,19.0,28.8225210332861,-9.822521033286101,9.822521033286101,20.0209903717041,29.689715158621865,-9.668724786917764,9.668724786917764,70.37603759765625,47.383212547387664,22.992825050268586,22.992825050268586
ANG_deg,2574,77.20223999023438,77.20221790345379,21.0,30.662229036368476,-9.662229036368476,9.662229036368476,22.56361961364746,31.724357322649578,-9.160737709002117,9.160737709002117,63.60227584838867,45.82930088719818,17.772974961190492,17.772974961190492
ANG_deg,1521,45.6195068359375,45.61949239749542,19.0,28.64971834922515,-9.64971834922515,9.64971834922515,20.3359432220459,29.68423809426222,-9.348294872216321,9.348294872216321,69.75061798095703,48.53234131648704,21.21827666446999,21.21827666446999
ANG_deg,2037,61.095947265625,61.09592768816448,21.0,30.597237560065814,-9.597237560065814,9.597237560065814,21.574138641357422,31.96699758189265,-10.392858940535227,10.392858940535227,64.24656677246094,45.44445414820425,18.802112624256687,18.802112624256687
ANG_deg,2229,66.85462188720703,66.8546012846925,21.0,30.581859035426255,-9.581859035426255,9.581859035426255,22.802499771118164,32.037230395805345,-9.234730624687181,9.234730624687181,62.91731643676758,45.485497842582284,17.431818594185295,17.431818594185295
ANG_deg,2039,61.15593338012695,61.15591387146165,21.0,30.559162886895518,-9.559162886895518,9.559162886895518,21.352930068969727,32.009450753570555,-10.656520684600828,10.656520684600828,64.63908386230469,45.22645340469611,19.41263045760858,19.41263045760858
ANG_deg,2040,61.18592834472656,61.18590696311023,21.0,30.507535299403532,-9.507535299403532,9.507535299403532,21.82786750793457,31.957791848217347,-10.129924340282777,10.129924340282777,64.04296112060547,45.35850905559984,18.68445206500563,18.68445206500563
PEN_deg,437,13.106985092163086,13.106981050430964,17.0,29.03085726624413,-12.03085726624413,12.03085726624413,18.068368911743164,29.87671288550095,-11.808343973757786,11.808343973757786,77.60940551757812,47.11490999870256,30.494495518875567,30.494495518875567
PEN_deg,438,13.136978149414062,13.136974142079548,17.0,28.88128510993316,-11.88128510993316,11.88128510993316,18.12181282043457,29.74727093500262,-11.625458114568051,11.625458114568051,77.60246276855469,47.19607694517149,30.406385823383197,30.406385823383197
PEN_deg,441,13.226958274841309,13.226953417025298,17.0,28.77212276132709,-11.77212276132709,11.77212276132709,18.16204071044922,29.638811967350613,-11.476771256901394,11.476771256901394,77.50018310546875,47.5407573927242,29.959425712744547,29.959425712744547
PEN_deg,2039,61.15593338012695,61.15591387146165,21.0,30.559162886895518,-9.559162886895518,9.559162886895518,21.352930068969727,32.009450753570555,-10.656520684600828,10.656520684600828,64.63908386230469,45.22645340469611,19.41263045760858,19.41263045760858
PEN_deg,1781,53.4177131652832,53.41769622612712,19.0,29.124955602093628,-10.124955602093628,10.124955602093628,19.973955154418945,30.480019407725965,-10.50606425330702,10.50606425330702,70.13496398925781,47.63585661798666,22.49910737127115,22.49910737127115
PEN_deg,2503,75.0727310180664,75.07270839640437,21.0,31.84251480913862,-10.84251480913862,10.84251480913862,22.688186645507812,33.17406468762847,-10.48587804212066,10.48587804212066,63.02286911010742,44.03384988782517,18.989019222282252,18.989019222282252
PEN_deg,2037,61.095947265625,61.09592768816448,21.0,30.597237560065814,-9.597237560065814,9.597237560065814,21.574138641357422,31.96699758189265,-10.392858940535227,10.392858940535227,64.24656677246094,45.44445414820425,18.802112624256687,18.802112624256687
PEN_deg,1493,44.779701232910156,44.77968583133509,21.0,31.368682238662455,-10.368682238662455,10.368682238662455,21.864246368408203,32.25640970227283,-10.39216333386463,10.39216333386463,64.65149688720703,44.799841746736796,19.851655140470235,19.851655140470235
PEN_deg,2566,76.96229553222656,76.96227317026512,21.0,31.18077670290909,-10.180776702909089,10.180776702909089,22.09519386291504,32.225943620173204,-10.130749757258165,10.130749757258165,64.49199676513672,45.38230032139133,19.109696443745392,19.109696443745392
PEN_deg,2040,61.18592834472656,61.18590696311023,21.0,30.507535299403532,-9.507535299403532,9.507535299403532,21.82786750793457,31.957791848217347,-10.129924340282777,10.129924340282777,64.04296112060547,45.35850905559984,18.68445206500563,18.68445206500563
PEN_deg,2042,61.245914459228516,61.2458931464074,21.0,30.460014618020498,-9.460014618020498,9.460014618020498,21.85908317565918,31.919947744233756,-10.060864568574576,10.060864568574576,64.46873474121094,45.52795790548968,18.94077683572126,18.94077683572126
PEN_deg,2233,66.97459411621094,66.97457365128683,21.0,31.05258514207158,-10.052585142071582,10.052585142071582,22.716352462768555,32.686039216175594,-9.96968675340704,9.96968675340704,63.98230743408203,44.881470966141805,19.100836467940226,19.100836467940226
PEN_deg,170,5.098827362060547,5.098825580259185,18.0,28.00847788180002,-10.008477881800019,10.008477881800019,19.1640625,28.94679613277721,-9.782733632777209,9.782733632777209,73.50950622558594,48.919645528198274,24.589860697387664,24.589860697387664
