frame,python_time_s,matlab_time_s,py_ANG_deg,mat_ANG_deg,diff_ANG_deg,abs_diff_ANG_deg,py_PEN_deg,mat_PEN_deg,diff_PEN_deg,abs_diff_PEN_deg,py_FL_mm,mat_FL_mm,diff_FL_mm,abs_diff_FL_mm
1,0.029993101954460144,0.029993091648583443,20.0,18.520488637203375,1.4795113627966252,1.4795113627966252,21.26895523071289,20.387454154337288,0.8815010763756028,0.8815010763756028,67.28064727783203,72.30705044734124,-5.026403169509209,5.026403169509209
2,0.05998620390892029,0.05998618329716689,20.0,18.520433447527072,1.479566552472928,1.479566552472928,21.326068878173828,20.388171753751934,0.9378971244218945,0.9378971244218945,67.15027618408203,72.3041431985567,-5.15386701447467,5.15386701447467
3,0.08997930586338043,0.08997927494575034,20.0,18.519919797703597,1.4800802022964028,1.4800802022964028,21.259347915649414,20.388370525815716,0.8709773898336977,0.8709773898336977,67.28704833984375,72.30361344229226,-5.01656510244851,5.01656510244851
4,0.11997240781784058,0.11997236659433377,20.0,18.51758253797967,1.4824174620203294,1.4824174620203294,21.326068878173828,20.387862677467417,0.9382062007064107,0.9382062007064107,67.15027618408203,72.30634400456518,-5.156067820483145,5.156067820483145
5,0.14996550977230072,0.1499654582429172,20.0,18.514816747320342,1.4851832526796578,1.4851832526796578,21.326068878173828,20.386083588973428,0.9399852892004006,0.9399852892004006,67.20042419433594,72.31269435103422,-5.112270156698287,5.112270156698287
6,0.17995861172676086,0.17995854989150065,20.0,18.511249455710093,1.488750544289907,1.488750544289907,21.335678100585938,20.38317870909861,0.9524993914873292,0.9524993914873292,67.22672271728516,72.32170149472275,-5.094978777437589,5.094978777437589
7,0.209951713681221,0.2099516415400841,20.0,18.507505032136702,1.4924949678632977,1.4924949678632977,21.326068878173828,20.379934502384987,0.9461343757888407,0.9461343757888407,67.17876434326172,72.3316822289853,-5.152917885723582,5.152917885723582
8,0.23994481563568115,0.23994473318866755,20.0,18.50318897195092,1.4968110280490805,1.4968110280490805,21.326068878173828,20.3854945035856,0.9405743745882269,0.9405743745882269,67.23655700683594,72.31229981154782,-5.075742804711879,5.075742804711879
9,0.2699379026889801,0.269937824837251,20.0,18.499978791062166,1.5000212089378344,1.5000212089378344,21.259347915649414,20.390273936583608,0.8690739790658064,0.8690739790658064,67.27266693115234,72.29563333136117,-5.02296640020883,5.02296640020883
10,0.29993101954460144,0.2999309164858344,20.0,18.4992046034117,1.5007953965882983,1.5007953965882983,21.39278793334961,20.392666249831723,1.0001216835178859,1.0001216835178859,67.06098937988281,72.28822717813655,-5.227237798253739,5.227237798253739
11,0.3299241065979004,0.32992400813441786,20.0,18.49794396912492,1.5020560308750817,1.5020560308750817,21.39278793334961,20.398459527640153,0.9943284057094566,0.9943284057094566,67.07528686523438,72.26940828709601,-5.194121421861638,5.194121421861638
12,0.35991722345352173,0.3599170997830013,20.0,18.497087625454768,1.5029123745452324,1.5029123745452324,21.326068878173828,20.403895450636742,0.9221734275370856,0.9221734275370856,67.23990631103516,72.25316654788656,-5.0132602368514085,5.0132602368514085
13,0.3899103105068207,0.3899101914315848,20.0,18.495858377753443,1.5041416222465571,1.5041416222465571,21.39278793334961,20.407161573761726,0.9856263595878829,0.9856263595878829,67.10368347167969,72.24426328006865,-5.140579808388964,5.140579808388964
14,0.419903427362442,0.4199032830801682,20.0,18.494969592929685,1.5050304070703149,1.5050304070703149,21.39278793334961,20.40989667705779,0.9828912562918184,0.9828912562918184,67.10368347167969,72.23671685452085,-5.1330333828411625,5.1330333828411625
15,0.44989651441574097,0.44989637472875166,20.0,18.494493820724575,1.5055061792754252,1.5055061792754252,21.39278793334961,20.41261209370705,0.980175839642559,0.980175839642559,67.10368347167969,72.22922317935888,-5.125539707679195,5.125539707679195
16,0.4798896312713623,0.4798894663773351,20.0,18.493861350382964,1.5061386496170357,1.5061386496170357,21.39278793334961,20.414651396817355,0.9781365365322543,0.9781365365322543,67.10368347167969,72.22403370473043,-5.120350233050743,5.120350233050743
17,0.5098827481269836,0.5098825580259185,20.0,18.493498044315924,1.506501955684076,1.506501955684076,21.39278793334961,20.416383483003777,0.9764044503458322,0.9764044503458322,67.10368347167969,72.21972839350939,-5.1160449218296975,5.1160449218296975
18,0.5398758053779602,0.539875649674502,20.0,18.490869149449782,1.5091308505502177,1.5091308505502177,21.39278793334961,20.41633326313116,0.9764546702184482,0.9764546702184482,67.1146469116211,72.22073263822699,-5.106085726605897,5.106085726605897
19,0.5698689222335815,0.5698687413230854,20.0,18.48964939200422,1.510350607995779,1.510350607995779,21.335678100585938,20.417980599312344,0.9176975012735937,0.9176975012735937,67.14081573486328,72.21411490873213,-5.073299173868847,5.073299173868847
20,0.5998620390892029,0.5998618329716688,20.0,18.486982464794167,1.513017535205833,1.513017535205833,21.402395248413086,20.419289733245563,0.983105515167523,0.983105515167523,67.09060668945312,72.21135043671083,-5.1207437472577055,5.1207437472577055
21,0.6298551559448242,0.6298549246202523,20.0,18.485521689582626,1.514478310417374,1.514478310417374,21.26895523071289,20.420238243095866,0.8487169876170242,0.8487169876170242,67.2410659790039,72.20743956047188,-4.966373581467977,4.966373581467977
22,0.6598482131958008,0.6598480162688357,20.0,18.484643804146152,1.5153561958538475,1.5153561958538475,21.39278793334961,20.42148962960342,0.9712983037461882,0.9712983037461882,67.04375457763672,72.20156102278727,-5.157806445150555,5.157806445150555
23,0.6898413300514221,0.6898411079174191,20.0,18.483918701125923,1.5160812988740773,1.5160812988740773,21.326068878173828,20.42276396698239,0.9033049111914373,0.9033049111914373,67.25090026855469,72.19857401862592,-4.947673750071232,4.947673750071232
24,0.7198344469070435,0.7198341995660026,20.0,18.482465488717853,1.5175345112821468,1.5175345112821468,21.39278793334961,20.42381737214233,0.9689705612072785,0.9689705612072785,67.1146469116211,72.19619011222402,-5.081543200602923,5.081543200602923
25,0.7498275637626648,0.7498272912145861,20.0,18.48088622224865,1.5191137777513504,1.5191137777513504,21.39278793334961,20.42036607339707,0.97242185995254,0.97242185995254,67.1146469116211,72.20832500324991,-5.093678091628817,5.093678091628817
26,0.7798206210136414,0.7798203828631696,20.0,18.4819677373522,1.5180322626478002,1.5180322626478002,21.345016479492188,20.41902173947618,0.9259947400160087,0.9259947400160087,67.15970611572266,72.21389702852406,-5.054190912801403,5.054190912801403
27,0.8098137378692627,0.809813474511753,20.0,18.48271734436122,1.5172826556387804,1.5172826556387804,21.345016479492188,20.414258287413418,0.9307581920787698,0.9307581920787698,67.14871978759766,72.23431438170697,-5.08559459410931,5.08559459410931
28,0.839806854724884,0.8398065661603364,20.0,18.48770317152911,1.512296828470891,1.512296828470891,21.345016479492188,20.404199769080343,0.9408167104118448,0.9408167104118448,67.15970611572266,72.2739825343652,-5.114276418642547,5.114276418642547
29,0.8697999715805054,0.8697996578089199,20.0,18.491531288090414,1.508468711909586,1.508468711909586,21.278297424316406,20.405259947823023,0.8730374764933835,0.8730374764933835,67.235107421875,72.27374024606554,-5.038632824190543,5.038632824190543
30,0.8997930288314819,0.8997927494575033,20.0,18.49392524733241,1.5060747526675904,1.5060747526675904,21.345016479492188,20.404316932672973,0.9406995468192143,0.9406995468192143,67.15970611572266,72.27477569506642,-5.115069579343768,5.115069579343768
31,0.9297861456871033,0.9297858411060868,20.0,18.4961537226629,1.5038462773371002,1.5038462773371002,21.278297424316406,20.403988323045688,0.8743091012707183,0.8743091012707183,67.33438110351562,72.27051023613951,-4.93612913262389,4.93612913262389
32,0.9597792625427246,0.9597789327546702,20.0,18.50136191317171,1.49863808682829,1.49863808682829,21.39278793334961,20.40875105588967,0.9840368774599391,0.9840368774599391,67.10368347167969,72.25321779438868,-5.149534322708988,5.149534322708988
33,0.989772379398346,0.9897720244032536,20.0,18.506503354123314,1.4934966458766858,1.4934966458766858,21.39278793334961,20.412050421772403,0.9807375115772068,0.9807375115772068,67.1146469116211,72.23409743676363,-5.11945052514254,5.11945052514254
34,1.0197654962539673,1.019765116051837,20.0,18.511183533084008,1.488816466915992,1.488816466915992,21.278297424316406,20.41266701635154,0.8656304079648649,0.8656304079648649,67.29638671875,72.21534122640054,-4.91895450765054,4.91895450765054
35,1.0497585535049438,1.0497582077004206,20.0,18.514868096388366,1.4851319036116344,1.4851319036116344,21.345016479492188,20.41408517799319,0.9309313014989975,0.9309313014989975,67.1202621459961,72.2025174414229,-5.082255295426805,5.082255295426805
36,1.0797516107559204,1.0797512993490042,20.0,18.51703593964422,1.4829640603557799,1.4829640603557799,21.39278793334961,20.411888482823066,0.9808994505265431,0.9808994505265431,67.1146469116211,72.19474265535695,-5.080095743735853,5.080095743735853
37,1.1097447872161865,1.1097443909975875,20.0,18.516086283845823,1.483913716154177,1.483913716154177,21.39278793334961,20.405613171782505,0.987174761567104,0.987174761567104,67.1146469116211,72.194035106318,-5.079388194696904,5.079388194696904
38,1.139737844467163,1.139737482646171,20.0,18.51269644910473,1.4873035508952697,1.4873035508952697,21.39278793334961,20.401868553204057,0.9909193801455523,0.9909193801455523,67.18064880371094,72.19121720839297,-5.010568404682033,5.010568404682033
39,1.1697310209274292,1.1697305742947544,20.0,18.512338893800862,1.4876611061991376,1.4876611061991376,21.326068878173828,20.40351809318739,0.9225507849864378,0.9225507849864378,67.21927642822266,72.17608874781914,-4.95681231959648,4.95681231959648
40,1.1997240781784058,1.199723665943338,20.0,18.505892142560043,1.4941078574399569,1.4941078574399569,21.345016479492188,20.441944046277783,0.9030724332144047,0.9030724332144047,67.15970611572266,71.93077420635991,-4.771068090637257,4.771068090637257
41,1.2297171354293823,1.2297167575919212,20.0,18.7943019080194,1.2056980919806009,1.2056980919806009,21.326068878173828,20.487665427696047,0.8384034504777809,0.8384034504777809,67.23990631103516,71.07058896325636,-3.830682652221199,3.830682652221199
42,1.2597103118896484,1.2597098492405048,20.0,19.130005678937984,0.8699943210620162,0.8699943210620162,21.326068878173828,20.522231451307714,0.8038374268661137,0.8038374268661137,67.26818084716797,70.36966840173135,-3.101487554563377,3.101487554563377
43,1.289703369140625,1.289702940889088,20.0,19.427572227768675,0.5724277722313253,0.5724277722313253,21.278297424316406,20.673596054004303,0.6047013703121031,0.6047013703121031,67.29638671875,69.35981732387083,-2.0634306051208284,2.0634306051208284
44,1.3196964263916016,1.3196960325376716,20.0,19.80148425939824,0.19851574060175992,0.19851574060175992,21.326068878173828,20.996528936792963,0.3295399413808653,0.3295399413808653,67.26818084716797,68.20159988405197,-0.9334190368840041,0.9334190368840041
45,1.3496896028518677,1.349689124186255,20.0,20.069319320221126,-0.06931932022112619,0.06931932022112619,21.326068878173828,21.244574387673524,0.08149449050030455,0.08149449050030455,67.18975067138672,67.2142930314959,-0.024542360109180095,0.024542360109180095
46,1.3796826601028442,1.3796822158348385,20.0,20.287753212644017,-0.28775321264401654,0.28775321264401654,21.259347915649414,21.442733967577322,-0.1833860519279078,0.1833860519279078,67.32664489746094,66.35584349701486,0.9708014004460779,0.9708014004460779
47,1.4096757173538208,1.4096753074834218,20.0,20.518339553038082,-0.5183395530380821,0.5183395530380821,21.326068878173828,21.62565874624502,-0.29958986807119103,0.29958986807119103,67.25090026855469,65.64588964999223,1.60501061856246,1.60501061856246
48,1.439668893814087,1.4396683991320054,20.0,20.801812146227192,-0.8018121462271921,0.8018121462271921,21.345016479492188,21.809166801516827,-0.4641503220246399,0.4641503220246399,67.12810516357422,64.90440102023953,2.223704143334686,2.223704143334686
49,1.4696619510650635,1.469661490780589,20.0,21.024677727262546,-1.0246777272625458,1.0246777272625458,21.39278793334961,22.001402581113872,-0.6086146477642629,0.6086146477642629,67.1712417602539,64.26672121895191,2.9045205413019914,2.9045205413019914
50,1.4996551275253296,1.4996545824291723,20.0,21.300789610038706,-1.3007896100387057,1.3007896100387057,21.39278793334961,22.236970936538185,-0.8441830031885758,0.8441830031885758,67.08311462402344,63.448594192756445,3.634520431266992,3.634520431266992
51,1.5296481847763062,1.5296476740777558,20.0,21.508638380009316,-1.508638380009316,1.508638380009316,21.39278793334961,22.394183607248635,-1.001395673899026,1.001395673899026,67.19284057617188,62.852236682357216,4.340603893814659,4.340603893814659
52,1.5596412420272827,1.5596407657263391,20.0,21.613993764873673,-1.6139937648736726,1.6139937648736726,21.39278793334961,22.49802315525696,-1.1052352219073498,1.1052352219073498,67.17560577392578,62.40836726034786,4.767238513577922,4.767238513577922
53,1.5896344184875488,1.5896338573749227,20.0,21.70758124988916,-1.7075812498891594,1.7075812498891594,21.39278793334961,22.565473826426967,-1.1726858930773574,1.1726858930773574,67.1146469116211,62.13209800949139,4.9825489021297,4.9825489021297
54,1.6196274757385254,1.619626949023506,20.0,21.828084598849973,-1.8280845988499728,1.8280845988499728,21.402395248413086,22.67367463813999,-1.271279389726903,1.271279389726903,67.0374984741211,61.75120037107006,5.286298103051031,5.286298103051031
55,1.649620532989502,1.6496200406720896,20.0,21.94999651649764,-1.9499965164976416,1.9499965164976416,21.326068878173828,22.779502683119638,-1.45343380494581,1.45343380494581,67.21927642822266,61.412760831468674,5.806515596753982,5.806515596753982
56,1.679613709449768,1.6796131323206729,20.0,22.081167750181173,-2.081167750181173,2.081167750181173,21.326068878173828,22.912970869771836,-1.5869019915980083,1.5869019915980083,67.21927642822266,61.08325183790365,6.136024590319003,6.136024590319003
57,1.7096067667007446,1.7096062239692564,20.0,22.180836161871913,-2.1808361618719125,2.1808361618719125,21.326068878173828,23.036563870881828,-1.710494992708,1.710494992708,67.21141815185547,60.79150705651509,6.419911095340382,6.419911095340382
58,1.7395999431610107,1.7395993156178398,23.0,22.275394939811783,0.7246050601882175,0.7246050601882175,24.326068878173828,23.14009301426203,1.1859758639117999,1.1859758639117999,59.291141510009766,60.53619793799151,-1.2450564279817442,1.2450564279817442
59,1.7695930004119873,1.7695924072664233,20.0,22.398407655663117,-2.3984076556631173,2.3984076556631173,21.259347915649414,23.277242621596958,-2.017894705947544,2.017894705947544,67.32664489746094,60.246125010756394,7.080519886704543,7.080519886704543
60,1.7995860576629639,1.7995854989150066,20.0,22.5082623353179,-2.5082623353179017,2.5082623353179017,21.259347915649414,23.391618292587832,-2.1322703769384184,2.1322703769384184,67.32664489746094,60.020402438251374,7.306242459209564,7.306242459209564
61,1.82957923412323,1.8295785905635902,20.0,22.574828480772183,-2.574828480772183,2.574828480772183,21.39278793334961,23.466338371144044,-2.0735504377944345,2.0735504377944345,67.08311462402344,59.879360096775926,7.203754527247511,7.203754527247511
62,1.8595722913742065,1.8595716822121735,23.0,22.644645314626118,0.35535468537388226,0.35535468537388226,24.402395248413086,23.552026393966482,0.8503688544466037,0.8503688544466037,59.2051887512207,59.73766642816357,-0.5324776769428681,0.5324776769428681
