signal,n,bias_median_py_minus_mat,median_abs_error,mae,q95_abs_error,corr,working_threshold,working_gate,strict_threshold,strict_gate
ANG_deg,2664,-1.1665219680472099,2.749504148870079,3.1195313176031854,7.565045869771651,0.6396266751434029,3.0,pass,2.0,review
PEN_deg,2664,-1.2654187691779981,2.4691682988252506,3.002388272145505,7.465411607556521,0.6294066068678681,3.0,pass,2.0,review
FL_mm,2664,1.2347838775955005,6.928372008645443,6.775571930247283,14.215329983803242,0.555634325530749,7.0,pass,5.0,review
