signal,median_abs_error_current_roi,mae_current_roi,bias_median_py_minus_mat_current_roi,median_abs_error_matlab_roi,mae_matlab_roi,bias_median_py_minus_mat_matlab_roi,median_abs_error_change_matlab_roi_minus_current,mae_change_matlab_roi_minus_current
ANG_deg,2.749504148870079,3.1195313176031854,-1.1665219680472099,2.8475192844153607,3.1509423250035673,-1.1665620184661591,0.09801513554528185,0.03141100740038194
PEN_deg,2.4691682988252506,3.002388272145505,-1.2654187691779981,2.4265088928830494,3.0211410244009347,-1.3537512087066297,-0.04265940594220119,0.018752752255429606
FL_mm,6.928372008645443,6.775571930247283,1.2347838775955005,7.2174443759094125,6.742732633341123,0.9172731732586428,0.28907236726396945,-0.032839296906160165
