cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-14.50_x400_l75,2,6,0.7901182946873855,0.713219379863957,-14.55,0.04999999999999982,76.35936589256323,0.21010851765714733,399.99999959113444,3.571514639588713e-07,0.3888751143524021,0.9721301208370174,0.5
a-14.75_x400_l75,2,4,0.7897783391332577,0.7102862791520813,-14.7,0.0,75.58258358484989,0.05079400188235895,400.00000101676665,1.8338687368668616e-07,0.38872832369942195,0.9721301208370174,0.0
a-14.25_x400_l80,2,4,0.7891971306634237,0.7097192281078746,-14.3,0.0,77.68923753230351,0.052209744445086415,400.00000128716295,3.740184126854739e-07,0.39434523809523814,0.9721301208370174,0.0
a-15.00_x400_l75,2,6,0.7816740106319433,0.7021751650065977,-14.9,0.0,74.57286585011825,0.05011543746543623,399.9999986045746,4.675863465308794e-07,0.3831908831908832,0.961298997936929,0.0
a-14.00_x400_l80,2,6,0.7773671337898441,0.6978966199630128,-14.1,0.0,78.78869189415965,0.052948617316864954,399.9999995897083,1.7054755687695435e-06,0.3957703927492447,0.8927939876215738,0.0
a-15.25_x400_l75,2,4,0.7706787217522323,0.6911700419888902,-15.2,0.0,73.10952020738299,0.04913202366579128,399.99999909261294,9.187666307752811e-07,0.3821641431039044,0.961298997936929,0.0
a-13.75_x400_l80,2,4,0.7569127042297674,0.6774536865773739,-13.8,0.0,80.49936130065662,0.05409823476064446,400.00000192565597,2.1952790802970412e-06,0.39413962466078045,0.8927939876215738,0.0
a-15.50_x400_l70,2,6,0.7544723867422194,0.6749573697863459,-15.4,0.0,72.1665329040928,0.048498304412646576,399.9999997768666,6.85348169326972e-07,0.37965822056731147,0.9141615089890952,0.0
a-13.50_x400_l80,2,4,0.7367379242986732,0.6572868607860725,-13.6,0.0,81.6829483122615,0.05489364873992031,399.999998549115,3.8150380987644894e-07,0.40660673093984745,0.7896956970232832,0.0
a-15.75_x400_l70,2,4,0.728396965635323,0.6488727543047845,-15.7,0.0,70.79838737453362,0.04757886694615365,399.9999997817831,1.5142889822072905e-06,0.35444743935309975,0.9141615089890952,0.0
a-16.00_x400_l70,2,6,0.7172001856789181,0.6376700430152142,-15.9,0.0,69.91579951459508,0.04698573362961156,400.000000850394,9.111818712881359e-07,0.3696808510638298,0.9291187739463602,0.0
a-13.50_x400_l85,2,2,0.7164975933511294,0.6370547282119212,-13.4,0.0,82.90288460585106,0.0557134860791777,400.0000005126331,5.005485377296282e-07,0.4140127388535032,0.7896956970232832,0.0
a-13.25_x400_l85,2,4,0.7027418114529966,0.6233031405715657,-13.3,0.0,83.52700587830455,0.05613291185689917,400.00000049796853,2.2979468781159085e-06,0.4093237282545964,0.7896956970232832,0.0
a-16.25_x400_l70,2,4,0.6989865510657268,0.6194477940622021,-16.2,0.0,68.63396229464342,0.04612429964752351,400.00000045871855,6.282939750690281e-07,0.390625,0.9291187739463602,0.0
a-16.50_x400_l70,2,2,0.687522358418667,0.607978038676646,-16.4,0.0,67.80621950310064,0.04556802579789121,400.0000007166529,9.977113677450689e-07,0.4087403598971723,0.875515767757147,0.0
a-16.50_x400_l65,2,4,0.6812913127169525,0.6017442636799155,-16.5,0.0,67.40009582803216,0.045295096296293025,400.0000000639111,1.4717936949182333e-06,0.41506928858499925,0.875515767757147,0.5
a-13.00_x400_l85,2,6,0.6803143800947552,0.6008842955520837,-13.1,0.0,84.80465583813236,0.05699154573284204,399.9999993449075,2.0560447069328802e-06,0.4199346405228758,0.768272914824639,0.0
a-16.75_x400_l65,2,4,0.6696440820112687,0.5900916753782783,-16.7,0.0,66.60287316731373,0.04475933670095599,400.0000003422046,1.2507578617260151e-06,0.42371765514082893,0.875515767757147,0.0
a-17.00_x400_l65,2,6,0.659367976979493,0.5798103433466772,-16.9,0.0,65.82508216036945,0.04423663671842348,400.0000008911022,5.594531842234581e-07,0.4358723837173236,0.8218390804597702,0.0
a-17.25_x400_l65,2,4,0.6443815977123244,0.5648163583062391,-17.2,0.0,64.69332617627263,0.04347605939146604,400.00000096151007,4.531032971044633e-07,0.4334575705170255,0.8218390804597702,0.0
a-12.75_x400_l85,2,3,0.6407442470757833,0.5613275595425502,-12.8,0.0,86.79816340212957,0.05833124667669409,399.9999962931309,1.1313669006085547e-06,0.4214046822742475,0.768272914824639,0.0
a-17.50_x400_l65,2,6,0.6344351200153145,0.5548649602174534,-17.4,0.0,63.961159276758124,0.042984020213875596,399.99999865782195,2.1271276295920151e-07,0.42943367673592925,0.8155209254347185,0.0
a-17.75_x400_l65,2,4,0.6200807784407024,0.5405034529038877,-17.7,0.0,62.89487942957446,0.042267446318518864,400.00000014235707,1.0378149113421387e-06,0.43076983406720226,0.8155209254347185,0.0
a-12.50_x400_l90,2,6,0.6190943463598608,0.539686954809546,-12.6,0.0,88.18143374538352,0.05926084496851303,400.0000017391087,9.181588325191115e-07,0.4336734693877551,0.770428087238432,0.0
a-44.75_x400_l25,2,4,0.6102781910337274,0.5304588654711181,-44.8,0.0,26.884752249903013,0.01806744373906355,399.99999995567396,1.5221787066366232e-06,0.613,0.8369621279104038,0.0
a-45.00_x400_l25,2,6,0.6102457621829854,0.5316608586796858,-45.05,0.05000000000000071,26.766414660922656,0.041509649670031123,400.0000007414439,8.954132795224723e-07,0.62,0.8369621279104038,0.0
a-45.25_x400_l25,2,4,0.6094453526211674,0.5296247591150309,-45.2,0.0,26.696079736592317,0.01794064938634854,399.99999999101715,1.74742351077839e-06,0.619,0.8369621279104038,0.0
a-18.00_x400_l60,2,6,0.6070947593980509,0.5275127942227071,-17.9,0.0,62.20449513244229,0.04180348246561394,400.00000098996657,4.390740571125216e-07,0.4210532075554291,0.7918877099911583,0.0
a-44.50_x400_l25,2,6,0.6045753808785815,0.5247566993711021,-44.6,0.0,26.980587582207534,0.01813184925205924,399.99999982159216,2.62791814975573e-07,0.612,0.6352232537577365,0.0
a-45.50_x400_l25,2,6,0.6009910716266919,0.5211698540604416,-45.4,0.0,26.603217023663166,0.017878243374973124,399.99999856327224,7.132252619612705e-07,0.615,0.6352232537577365,0.0
a-44.25_x400_l25,2,4,0.600608463278446,0.5216713547877052,-44.25,0.04999999999999716,27.15077013451918,0.006289150925926634,399.9999988658155,2.136660555152048e-07,0.597,0.6373784261715296,0.0
a-44.00_x400_l25,2,6,0.5999460885073358,0.5201290472116591,-44.1,0.0,27.22465370134919,0.0182958704323255,399.9999993743254,5.611117330772686e-07,0.591,0.6309681697612732,0.0
a-43.75_x400_l25,2,4,0.5994951207709047,0.5196794233333564,-43.7,0.0,27.424624624613806,0.01843025624516592,400.000001069351,1.0334182718452216e-06,0.588,0.645980695549661,0.0
a-43.50_x400_l25,2,2,0.5987447803971945,0.5189294234300097,-43.6,0.0,27.475287216717724,0.018464303281522376,400.00000029729745,9.135544303262581e-07,0.585,0.645980695549661,0.0
a-43.25_x400_l30,2,4,0.5970437483098121,0.517229423746158,-43.3,0.0,27.628911504504003,0.018567543634581796,400.00000011832446,1.231869049433954e-06,0.577,0.645980695549661,0.0
a-43.50_x400_l30,2,4,0.5959882287781451,0.5174294235843002,-43.45,0.05000000000000071,27.55184228982765,0.0441194806155103,399.99999938435246,5.5127580367298e-07,0.579,0.645980695549661,0.0
a-45.75_x400_l25,2,4,0.5950941867137985,0.5152720451849204,-45.7,0.0,26.465729856676326,0.017785847112188335,400.0000014161726,1.1413076492772238e-06,0.61,0.6352232537577365,0.0
a-43.00_x400_l30,2,6,0.5945036459117793,0.5155786945996754,-43.05,0.05000000000000071,27.758852083191236,0.007504868789606434,400.0000007987994,6.602556368306978e-08,0.571,0.660956380783967,0.0
a-42.75_x400_l30,2,4,0.5939465629079034,0.5141343537829373,-42.7,0.0,27.943692088611122,0.01877908750338264,400.0000010510614,1.4590770547329435e-07,0.569,0.6394783377541999,0.0
a-42.50_x400_l30,2,6,0.5933958426939879,0.513584354088606,-42.5,0.0,28.050906890226145,0.018851139461807165,399.9999985957933,7.467122031812323e-08,0.568,0.6394783377541999,0.0
a-18.25_x400_l60,2,4,0.5915648134744627,0.5119760860480346,-18.2,0.0,61.19825465740948,0.041127257357182145,399.99999941551613,5.884895131202939e-07,0.4137931034482759,0.7918877099911583,0.0
a-46.00_x400_l25,2,6,0.5898432292420658,0.5100204797280287,-45.9,0.0,26.375258638377368,0.01772504859628654,399.9999993413303,3.334739631100092e-07,0.611,0.6137083701738875,0.0
a-42.25_x400_l30,2,4,0.5895480091115949,0.5106317683040379,-42.25,0.04999999999999716,28.186591916444,0.00837591924430292,399.99999833089447,8.839430165608064e-08,0.567,0.6243921308576481,0.0
a-42.00_x400_l30,2,6,0.5886970323798734,0.5097830507294232,-42.05,0.05000000000000071,28.2964631990368,0.008601834954975018,400.00000038305245,1.1496595959670235e-06,0.5660000000000001,0.6094348659003832,0.0
a-12.25_x400_l90,2,4,0.5876716110259025,0.5082787468433485,-12.3,0.0,90.3431402808327,0.06071358174460073,400.0000039378613,1.5364520891125721e-06,0.4310750225384372,0.770428087238432,0.0
a-41.75_x400_l30,2,4,0.5853419553743845,0.5055330512479047,-41.8,0.0,28.435482619029475,0.01910958735201973,399.9999998259069,2.2407678557101642e-07,0.552,0.6094348659003832,0.0
a-41.50_x400_l30,2,6,0.5829426800377125,0.5031345326977321,-41.6,0.0,28.54809416474735,0.019185266001951362,399.9999996890231,1.722939941828372e-07,0.546,0.624484232242853,0.0
a-41.25_x400_l30,2,4,0.5829415298868245,0.5031345334721,-41.3,0.0,28.719353477437082,0.01930035852754841,399.9999999241722,8.704549827598385e-07,0.546,0.624484232242853,0.0
a-41.00_x400_l30,2,6,0.5817548550903368,0.5019486366162278,-41.1,0.0,28.83511371097847,0.019378152589101916,400.0000003545306,9.358385000269186e-08,0.5469999999999999,0.6266209843796051,0.0
a-18.50_x400_l60,2,6,0.5815489804502284,0.5019558712099899,-18.4,0.0,60.5462312689036,0.04068907597614313,399.99999961833646,5.695674190064892e-07,0.40181405895691613,0.804745063365753,0.0
a-29.00_x400_l40,2,6,0.5815421922962316,0.5018048742148185,-29.1,0.0,39.08764341892053,0.02626819185867646,400.0000002363953,4.900959424958273e-07,0.536,0.7532972295903331,0.0
a-29.25_x400_l40,2,4,0.5814426116211431,0.5017044643414059,-29.2,0.0,38.96425663646416,0.026185272026275186,400.0000009677636,3.3758414019757765e-07,0.535,0.7532972295903331,0.0
a-46.25_x400_l25,2,4,0.5809092041949843,0.5010852574778064,-46.3,0.0,26.197111402179925,0.017605328282208177,400.0000000392804,1.032413052826087e-06,0.606,0.643788682581786,0.0
a-46.50_x400_l25,2,6,0.5808753257387024,0.5010507896526808,-46.5,0.0,26.109412256302026,0.01754639139783265,400.000002007745,8.380235385629931e-07,0.616,0.643788682581786,0.0
a-40.50_x400_l30,2,6,0.5808058356776068,0.5010016003118767,-40.6,0.0,29.13020410784193,0.019576463426979274,400.000000491847,4.516635954132653e-07,0.5449999999999999,0.6567197170645447,0.0
