frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
0,hough_peak,1.0,1.0000000065273582,3341.7440948190974,207.78157709770048,3341.744083508265,207.7815772951318,3341.744089163681,207.78157719641615,235.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
1,hough_peak,1.0,1.0000000062116459,3368.1732358974673,207.75524904186403,3368.173359406407,207.75524688600746,3368.173297651937,207.75524796393574,233.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
2,hough_peak,1.0,1.0000000065273582,3341.7440948190974,207.78157709770048,3341.744083508265,207.7815772951318,3341.744089163681,207.78157719641615,233.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
3,hough_peak,1.0,1.0000000065273582,3341.7440948190974,207.78157709770048,3341.744083508265,207.7815772951318,3341.744089163681,207.78157719641615,232.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
4,hough_peak,1.0,1.0000000062116459,3368.1732358974673,207.75524904186403,3368.173359406407,207.75524688600746,3368.173297651937,207.75524796393574,231.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
5,hough_peak,1.0,1.0000000102238005,3371.2495632981136,207.49397250739662,3371.2495486070625,207.49397276382987,3371.249555952588,207.49397263561326,230.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
6,hough_peak,1.0,1.0000000030193978,3344.7669053230716,207.5218195069982,3344.766980237669,207.52181819935905,3344.7669427803703,207.52181885317862,229.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
7,hough_peak,1.0,1.0000000030193978,3344.7669053230716,207.5218195069982,3344.766980237669,207.52181819935905,3344.7669427803703,207.52181885317862,230.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
