frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
0,hough_peak,5.0,5.0,3241.594029696599,207.88134411240412,-2217.5910761784894,685.4981529660455,512.0014767590549,446.6897485392248,196.0,0.8340425531914893,0.24635968337003572,0.0,0.0,1.0,0.188,0.8340425531914893,8.356574641797154e-278,0.6030786486770089,0.6119289286671087,0.0007327319840640035,361.76815380104,4.94292338223359,0.08860867157714214,2217.594029696599,5.0,500.0,360.0,a5.00_x500_l360
0,hough_peak,1.0,1.0000000065273582,3341.7440948190974,207.78157709770048,3341.744083508265,207.7815772951318,3341.744089163681,207.78157719641615,235.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
0,grid_scan,1.1,1.099999990638626,3341.7440310385255,207.78157716123712,3341.74410061261,207.78157582534647,3341.7440658255678,207.7815764932918,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,3350.0,,a1.00_x3350_lnan
0,grid_scan,1.2,1.1999999999285158,3341.743847072126,207.78157734449988,3341.7441589622235,207.78157081133367,3341.7440030171747,207.7815740779168,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.25,3350.0,,a1.25_x3350_lnan
0,grid_scan,1.3,1.30000000064931,3341.7439203415074,207.78157727151074,3341.7441424353524,207.78157223149634,3341.74403138843,207.78157475150354,,,0.0,0.0,0.0,0.0,0.0,0.9234042553191489,0.0,0.0,0.0,0.0,,,,,1.25,3350.0,,a1.25_x3350_lnan
0,grid_scan,1.4,1.4000000096404364,3341.7440447447652,207.7815771475833,3341.7441013142384,207.78157576505515,3341.744073029502,207.78157645631921,,,0.0,0.0,0.0,0.0,0.0,0.9234042553191489,0.0,0.0,0.0,0.0,,,,,1.5,3350.0,,a1.50_x3350_lnan
0,grid_scan,1.5,1.4999999860575974,3341.7440693405597,207.78157712308158,3341.744092597699,207.78157651407196,3341.7440809691293,207.78157681857675,,,0.0,0.0,0.0,0.0,0.0,0.9234042553191489,0.0,0.0,0.0,0.0,,,,,1.5,3350.0,,a1.50_x3350_lnan
0,grid_scan,1.6,1.5999999969338612,3341.7438864955457,207.78157730522724,3341.744178217887,207.78156915668444,3341.744032356716,207.78157323095584,,,0.0,0.0,0.0,0.0,0.0,0.9234042553191489,0.0,0.0,0.0,0.0,,,,,1.5,3350.0,,a1.50_x3350_lnan
0,grid_scan,1.7,1.7000000653868597,3341.74409373688,207.78157709877857,3341.7440816020835,207.78157745893094,3341.744087669482,207.78157727885474,,,0.0,0.0,0.0,0.0,0.0,0.9234042553191489,0.0,0.0,0.0,0.0,,,,,1.75,3350.0,,a1.75_x3350_lnan
0,grid_scan,1.8,1.8000000194605499,3341.744078000732,207.78157711445454,3341.744089998738,207.781576737402,3341.7440839997353,207.78157692592828,,,0.0,0.0,0.0,0.0,0.0,0.7872340425531915,0.0,0.0,0.0,0.0,,,,,1.75,3350.0,,a1.75_x3350_lnan
0,grid_scan,1.9,1.8999999864162727,3341.744063663028,207.78157712873738,3341.744099140826,207.78157595181762,3341.7440814019274,207.7815765402775,,,0.0,0.0,0.0,0.0,0.0,0.7872340425531915,0.0,0.0,0.0,0.0,,,,,2.0,3350.0,,a2.00_x3350_lnan
