variant,selected_vs_matlab_bias,selected_vs_matlab_mae,selected_vs_matlab_rmse,raw_rejected_fraction
baseline_current,1.2303075768942235,1.5438859714928732,2.7930293147742464,0.007876969242310577
oracle_overweight_to_localmax,0.16241560390097523,2.177794448612153,4.327029095719001,0.07801950487621906
nb90_mass10_gap4_reference,0.5090022505626407,2.0225056264066015,3.8064826056947725,0.07689422355588897
exact_sparse_peakshape,1.2239309827456863,1.537509377344336,2.77754229226061,0.00900225056264066
exact_balanced_peakshape,1.0091897974493624,1.6205926481620405,2.9792826789884055,0.024006001500375095
