variant,note,raw_changed_fraction_vs_baseline,nearest_peak_rmse_deg,candidate_hit_rate_2deg,candidate_present_but_raw_wrong_rate,raw_vs_matlab_bias,raw_vs_matlab_mae,raw_vs_matlab_rmse,selected_vs_matlab_bias,selected_vs_matlab_mae,selected_vs_matlab_rmse,raw_rejected_fraction,final_alpha_vs_matlab_bias,final_alpha_vs_matlab_mae,final_alpha_vs_matlab_rmse,FL_vs_matlab_bias,FL_vs_matlab_mae,FL_vs_matlab_rmse,ANG_vs_matlab_bias,ANG_vs_matlab_mae,ANG_vs_matlab_rmse,flagged_frames,oracle_tp,oracle_fp,oracle_fn,oracle_precision,oracle_recall
baseline_current,no conditional patch,0.0,0.7224562171830461,0.9722430607651913,0.05438859714928732,1.1877344336084021,1.5572018004501125,2.8086479622487333,1.2303075768942235,1.5438859714928732,2.7930293147742464,0.007876969242310577,1.0340201556450028,1.0738467267014231,1.1661119329346932,-1.8087794248192086,1.9281097324046388,2.0116464767411335,1.0340201556449953,1.073846726701416,1.1661119329346865,0,0,0,128,0.0,0.0
oracle_overweight_to_localmax,MATLAB-aware ceiling: baseline nearest peak <=2 deg and baseline raw >5 deg too high,0.04801200300075019,0.7172455020964366,0.9718679669917479,0.029257314328582147,0.9480495123780945,1.3400225056264066,2.296254982953044,0.16241560390097523,2.177794448612153,4.327029095719001,0.07801950487621906,0.12981079383883012,0.6334110900598204,0.7955746175010233,-0.26640753143390405,1.1614941614275358,1.3991535883466188,0.12981079383882252,0.6334110900598177,0.795574617501022,128,128,0,0,1.0,1.0
nb90_mass10_gap4_reference,Notebook 90 broad reference: mass below alpha-10 deg >=0.25 and nearest lower-gap >=4 deg,0.06564141035258815,0.6995738709387487,0.9748687171792948,0.07351837959489872,0.7920105026256564,1.7837584396099024,3.2113446457221624,0.5090022505626407,2.0225056264066015,3.8064826056947725,0.07689422355588897,0.39725257924651614,0.57038448490163,0.7028060320892822,-0.7369394353795808,1.0672591599228127,1.25685722077391,0.39725257924650864,0.5703844849016259,0.7028060320892774,175,29,146,99,0.1657142857142857,0.2265625
exact_sparse_peakshape,Auto-selected sparse high-precision rule: mass_below_10deg >= 0.3 and best_upper_share <= 0.1,0.0033758439609902473,0.7214170850850866,0.9722430607651913,0.0536384096024006,1.168979744936234,1.546324081020255,2.784976709744348,1.2239309827456863,1.537509377344336,2.77754229226061,0.00900225056264066,1.0277393655456668,1.067587130076785,1.158924179690378,-1.7986723678372638,1.91808659857589,2.0014733671375295,1.027739365545659,1.067587130076778,1.1589241796903709,9,7,2,121,0.7777777777777778,0.0546875
exact_balanced_peakshape,Auto-selected broader exact-structure rule: mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and top_family_angle_offset <= -6,0.008252063015753939,0.7158714046300437,0.9726181545386346,0.0555138784696174,1.15960240060015,1.5748312078019504,2.8421032067219896,1.0091897974493624,1.6205926481620405,2.9792826789884055,0.024006001500375095,0.9224774458254086,1.039851857618925,1.12223727020387,-1.615393813505231,1.8733498767321897,1.9494283294689645,0.9224774458254008,1.0398518576189186,1.1222372702038637,22,8,14,120,0.36363636363636365,0.0625
