affine_stream,n,mean_scale_ratio_minus_1,median_scale_ratio_minus_1,rmse_scale_ratio_minus_1,cumulative_log_scale_ratio,exp_cumulative_log_scale_ratio,angle_delta_error_rmse_deg
persistent,2665,5.3476458558903774e-05,-5.0969129451239326e-05,0.009155576757715637,0.031712508189963656,1.0322207076441166,0.3051483694158685
redetect,2665,4.080876258377213e-05,-5.2723819443878384e-05,0.00901664303520119,0.0011479314718551153,1.0011485905973734,0.3013109932225762
