frame,stage,matlab_mask_available,iou,dice,matlab_density,python_density,density_diff_python_minus_matlab
2533,apo_thres,False,,,,,
2533,apo_super,False,,,,,
2533,apo_deep,False,,,,,
2533,fas_thres_raw,False,,,,,
2533,fas_thres_after_subtraction,False,,,,,
2533,Emask,False,,,,,
2533,fascicle_masked,False,,,,,
1722,apo_thres,False,,,,,
1722,apo_super,False,,,,,
1722,apo_deep,False,,,,,
1722,fas_thres_raw,False,,,,,
1722,fas_thres_after_subtraction,False,,,,,
1722,Emask,False,,,,,
1722,fascicle_masked,False,,,,,
691,apo_thres,True,0.9294459499167456,0.9634329999830786,0.2878353311221558,0.3079425967558195,0.020107265633663662
691,apo_super,True,0.9542619542619543,0.9765957446808511,0.034780680088312685,0.036292883570413235,0.0015122034821005506
691,apo_deep,True,0.9328523576397836,0.9652598181672755,0.04563326041152097,0.04889709959372133,0.0032638391822003565
691,fas_thres_raw,True,0.9716142480534609,0.9856027861562859,0.2010020868408053,0.20425584466645832,0.003253757825653014
691,fas_thres_after_subtraction,True,0.9716142480534609,0.9856027861562859,0.2010020868408053,0.20425584466645832,0.003253757825653014
691,Emask,True,0.9950888924342585,0.9975384016299397,0.36302460859133207,0.361870293266662,-0.0011543153246700855
691,fascicle_masked,True,0.9700230591852421,0.9847834568864612,0.06430141239805229,0.0648911717560715,0.0005897593580192068
0,apo_thres,True,0.924064303125675,0.9605337011081354,0.30256923371608885,0.3260739165062051,0.02350468279011625
0,apo_super,True,0.9584855529724344,0.978802781075123,0.036416380188118117,0.03789581926143982,0.001479439073321702
0,apo_deep,True,0.9366414021790621,0.9672842903442793,0.03992469226659139,0.04250551954270967,0.002580827276118275
0,fas_thres_raw,True,0.9726478093273251,0.9861342756961761,0.2265583256883046,0.23131420563951086,0.004755879951206243
0,fas_thres_after_subtraction,True,0.9726478093273251,0.9861342756961761,0.2265583256883046,0.23131420563951086,0.004755879951206243
0,Emask,True,0.9907568864473667,0.9953569852674837,0.3839887895315194,0.38139284022058006,-0.002595949310939316
0,fascicle_masked,True,0.9669284828441504,0.9831862126944094,0.0714843789380299,0.07241690441865857,0.0009325254806286654
