metric,key,unit,n_valid,mean_delta,mean_abs_delta,median_abs_delta,rmse_delta,max_abs_delta
ANG,ANG_deg,deg,642,-1.0599583811454463,1.0599583811454463,1.085262771034138,1.0994993184048547,1.3993884836664847
PEN,PEN_deg,deg,642,-1.0599583811454463,1.0599583811454463,1.085262771034138,1.0994993184048547,1.3993884836664847
FL,FL_mm,mm,642,-3.6591982270865104,3.6591982270865104,4.074395101963443,3.972653692890401,5.615538794035103
