comparison,n,bias,mae,rmse,corr,gate,target_mae,target_rmse,passes
timtrack_alpha_deg,9,0.0,0.2222222222222222,0.408248290463863,0.9853994719031414,timtrack,0.5,1.0,True
timtrack_phi_vs_python_pen_deg,9,-0.0229342408228703,0.2295205354957856,0.393470871997618,0.9888121048445117,timtrack,0.5,1.0,True
timtrack_formula_faslen_px,9,2.1481599167833565,11.347822437916989,18.476313526518577,0.9850562632796755,timtrack,22.16962524654832,22.16962524654832,True
timtrack_gamma_deep_apo_deg,9,0.0823110592753041,0.0823110639521073,0.1379940218897712,0.9672529058998968,timtrack,0.5,1.0,True
timtrack_betha_super_apo_deg,9,0.0229340620089352,0.0500260187043603,0.0831367457031928,0.9669599781451969,timtrack,0.5,1.0,True
timtrack_super_pos_y1,9,1.2742742742742723,1.2742742742742723,1.444054938024662,0.9687582504068858,timtrack,2.0,2.0,True
timtrack_super_pos_y2,9,0.991991991991994,0.991991991991994,1.042094804070551,0.9673747618667594,timtrack,2.0,2.0,True
timtrack_deep_pos_y1,9,0.6838838838838165,0.6838838838838165,1.1107059564869988,0.956125568376596,timtrack,2.0,2.0,True
timtrack_deep_pos_y2,9,-0.3297661297661168,0.463099463099493,0.6252328208377569,0.997090134075512,timtrack,2.0,2.0,True
