comparison,n,bias,mae,rmse,corr
final_FL_mm,9,13.71040354625808,14.328663087705074,23.671804855976674,-0.9223488488899472
final_PEN_deg,9,-5.591631579353077,5.591631579353077,8.85453785259349,-0.9337705206455135
final_ANG_deg,9,-5.41569334409606,5.552439240919455,9.038245075827763,-0.9437237454201785
timtrack_alpha_deg,9,-6.111111111111111,6.111111111111111,10.214368964029708,-0.9374927662874272
timtrack_phi_vs_python_pen_deg,9,-5.917269290042532,5.959998670938682,10.047954493111606,-0.9472023806029205
timtrack_formula_faslen_px,9,160.42098769837926,165.60647607992192,277.4016091606116,-0.9187932127455949
timtrack_gamma_deep_apo_deg,9,-0.07138130466609928,0.1245134740636963,0.14670085509517405,0.9633884230238092
timtrack_betha_super_apo_deg,9,-0.1938419998825136,0.3408080406659948,0.407214495713616,0.28836610118164785
timtrack_super_pos_y1,9,-0.5249249249249419,2.5931931931932004,3.0777782612351516,0.22188520977201
timtrack_super_pos_y2,9,1.8616434616434507,1.9678223678223605,2.3397215537372267,0.5043897820675912
timtrack_deep_pos_y1,9,-0.4055055055056932,2.8725725725726456,3.54291862204776,0.4688799442523027
timtrack_deep_pos_y2,9,0.4734188734187228,2.784311584311644,3.6451317547956057,0.9522890582613527
