comparison,n,bias,mae,rmse,corr
final_FL_mm,9,13.71040354625808,14.328663087705074,23.671804855976674,-0.9223488488899472
final_PEN_deg,9,-5.591631579353077,5.591631579353077,8.85453785259349,-0.9337705206455135
final_ANG_deg,9,-5.41569334409606,5.552439240919455,9.038245075827763,-0.9437237454201785
timtrack_alpha_deg,9,-6.111111111111111,6.111111111111111,10.214368964029708,-0.9374927662874272
timtrack_phi_vs_python_pen_deg,9,-5.917269290042532,5.959998670938682,10.047954493111606,-0.9472023806029205
timtrack_formula_faslen_px,9,160.42098769837926,165.60647607992192,277.4016091606116,-0.9187932127455949
timtrack_gamma_deep_apo_deg,9,-0.07138130466609928,0.1245134740636963,0.14670085509517405,0.9633884230238092
timtrack_betha_super_apo_deg,9,-0.1938419998825136,0.3408080406659948,0.407214495713616,0.28836610118164785
timtrack_super_pos_y1,9,-0.8836836836836931,3.843443443443446,4.391320319060666,-0.05536892593164604
timtrack_super_pos_y2,9,0.5951587951587913,1.0589316589316562,1.387216774825502,0.6160019172902879
timtrack_deep_pos_y1,9,5.914414414414302,5.914414414414302,7.050013551011557,0.39681709339270715
timtrack_deep_pos_y2,9,4.079989079989035,4.079989079989035,6.047842698917374,0.9313036617770343
