frame,mode,stage,iou,dice,mae,matlab_density,python_density,xor_px
0,current_python_nb36_cache,apo_thres,0.726617969718857,0.8416661733656938,0.10111852650892704,0.30256923371608885,0.3360721018620266,40121
0,current_python_nb36_cache,apo_super,0.7333295174861199,0.8461513060132748,0.011742260038510782,0.036416380188118117,0.03990704989263355,4659
0,current_python_nb36_cache,apo_deep,0.6695754485733896,0.8020906741836974,0.01698708578226286,0.03992469226659139,0.045907977377435905,6740
0,current_python_nb36_cache,fas_thres_raw,0.8547869352379424,0.9217090319091401,0.036484429344812636,0.2265583256883046,0.23945238071234864,14476
0,current_python_nb36_cache,fas_thres_after_subtraction,0.8547869352379424,0.9217090319091401,0.036484429344812636,0.2265583256883046,0.23945238071234864,14476
0,current_python_nb36_cache,ellipse_mask,0.9992916360583483,0.9996456925398596,0.00027219662677809925,0.3839887895315194,0.38426098615829746,108
0,current_python_nb36_cache,fascicle_masked,0.8247633191015408,0.9039674465920651,0.014275200871029205,0.0714843789380299,0.0771652233524543,5664
0,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9992916360583483,0.9996456925398596,0.00027219662677809925,0.3839887895315194,0.38426098615829746,108
0,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.999400986610289,0.9997004035740091,4.284576532618229e-05,0.0714843789380299,0.07152722470335608,17
122,current_python_nb36_cache,apo_thres,0.706314706890641,0.8278832785515097,0.10795620658715836,0.2987610012803323,0.3284657183470608,42834
122,current_python_nb36_cache,apo_super,0.7174990256667223,0.8355160788381742,0.012788200780296997,0.03691036665893763,0.040837055034125394,5074
122,current_python_nb36_cache,apo_deep,0.700284458236359,0.8237262357414449,0.014605365297954493,0.0405799804421683,0.04227616868125775,5795
122,current_python_nb36_cache,fas_thres_raw,0.8263722077015058,0.9049329640659582,0.04135372455717641,0.21081628743963787,0.22417912554313307,16408
122,current_python_nb36_cache,fas_thres_after_subtraction,0.8263722077015058,0.9049329640659582,0.04135372455717641,0.21081628743963787,0.22417912554313307,16408
122,current_python_nb36_cache,ellipse_mask,0.992096533312187,0.996032588503795,0.003014325607653766,0.3783785146129263,0.38139284022058006,1196
122,current_python_nb36_cache,fascicle_masked,0.7970835010371838,0.8870856591551237,0.01651830270281169,0.07035526700472816,0.0759352978536792,6554
122,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9994008787112235,0.9997003495921425,0.00022683052231508273,0.3783785146129263,0.3786053451352414,90
122,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.999570308303792,0.9997851079832384,3.024406964201103e-05,0.07035526700472816,0.07038551107437016,12
533,current_python_nb36_cache,apo_thres,0.7289141792286447,0.843204582374181,0.10265845372153277,0.30851723407901765,0.34621142620951073,40732
533,current_python_nb36_cache,apo_super,0.7243403398926654,0.84013616469444,0.0124277922837297,0.03687760225015878,0.040862258425493736,4931
533,current_python_nb36_cache,apo_deep,0.6924159347857732,0.8182574041686975,0.015976429788392327,0.04087486012117791,0.047032048632463984,6339
533,current_python_nb36_cache,fas_thres_raw,0.8541195197729278,0.9213208864523803,0.03834191928865948,0.23572731946810763,0.25159285433447925,15213
533,current_python_nb36_cache,fas_thres_after_subtraction,0.8541195197729278,0.9213208864523803,0.03834191928865948,0.23572731946810763,0.25159285433447925,15213
533,current_python_nb36_cache,ellipse_mask,0.992327432360259,0.9961489424302854,0.0029689595031907492,0.3839887895315194,0.3869577490347101,1178
533,current_python_nb36_cache,fascicle_masked,0.8260379379351166,0.9047325039360355,0.015555533152541006,0.07809774883308299,0.08518494248586089,6172
533,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9992916360583483,0.9996456925398596,0.00027219662677809925,0.3839887895315194,0.38426098615829746,108
533,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.9994194484760522,0.9997096399535423,4.5366104463016544e-05,0.07809774883308299,0.078143114937546,18
691,current_python_nb36_cache,apo_thres,0.7003869854049197,0.8237971607835306,0.1067363624449306,0.2878353311221558,0.3179231397376831,42350
691,current_python_nb36_cache,apo_super,0.7215815485996705,0.8382775119617225,0.011926244795499683,0.034780680088312685,0.03896444305545754,4732
691,current_python_nb36_cache,apo_deep,0.7108872096277637,0.831015867822673,0.015621061970098696,0.04563326041152097,0.046807738449285735,6198
691,current_python_nb36_cache,fas_thres_raw,0.8186002362004834,0.9002530846589426,0.04142177371387094,0.2010020868408053,0.21426663171796398,16435
691,current_python_nb36_cache,fas_thres_after_subtraction,0.8186002362004834,0.9002530846589426,0.04142177371387094,0.2010020868408053,0.21426663171796398,16435
691,current_python_nb36_cache,ellipse_mask,0.9797902816431794,0.9897919903212945,0.00748540723639773,0.36302460859133207,0.37026302259232,2970
691,current_python_nb36_cache,fascicle_masked,0.7731031289276973,0.872034024772422,0.01728952647868297,0.06430141239805229,0.07080892804935832,6860
691,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9993894231436382,0.9996946183423329,0.00022178984404141422,0.36302460859133207,0.3632463984353735,88
691,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.9996473630593213,0.9998236504359753,2.2683052231508272e-05,0.06430141239805229,0.0643240954502838,9
955,current_python_nb36_cache,apo_thres,0.7209695960956619,0.8378644198378808,0.09971469760971036,0.2946200840785136,0.320388031413507,39564
955,current_python_nb36_cache,apo_super,0.7309287134336836,0.8445509139238014,0.011938846491183853,0.036615486979928016,0.040186807536822154,4737
955,current_python_nb36_cache,apo_deep,0.7058794020266881,0.8275841787972357,0.014776748359259222,0.04208462290685835,0.043619509441190404,5863
955,current_python_nb36_cache,fas_thres_raw,0.8308194003642749,0.9075929610522678,0.039095500690572924,0.2052690209994657,0.21781022854435292,15512
955,current_python_nb36_cache,fas_thres_after_subtraction,0.8308194003642749,0.9075929610522678,0.039095500690572924,0.2052690209994657,0.21781022854435292,15512
955,current_python_nb36_cache,ellipse_mask,0.9995439363657094,0.9997719161724851,0.00017138306130472917,0.37561622291895597,0.37578760598026073,68
955,current_python_nb36_cache,fascicle_masked,0.7991392153616951,0.888357286127008,0.01529089754317341,0.06591947012389987,0.0710433195890839,6067
955,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9995439363657094,0.9997719161724851,0.00017138306130472917,0.37561622291895597,0.37578760598026073,68
955,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.9996942246684248,0.9998470889559998,2.016271309467402e-05,0.06591947012389987,0.06593963283699454,8
1066,current_python_nb36_cache,apo_thres,0.7238106061112485,0.8397797339744832,0.10413033177744398,0.30511477624429145,0.34480507697115725,41316
1066,current_python_nb36_cache,apo_super,0.7081795648581658,0.8291629046820586,0.013352756746947868,0.037081749720242356,0.04107900759126148,5298
1066,current_python_nb36_cache,apo_deep,0.6760418704754452,0.8067123887348606,0.016692206103253254,0.03961721089189761,0.046742209631728045,6623
1066,current_python_nb36_cache,fas_thres_raw,0.850869837598188,0.9194269854246838,0.038997207464236384,0.23391771596786062,0.2500806508523787,15473
1066,current_python_nb36_cache,fas_thres_after_subtraction,0.850869837598188,0.9194269854246838,0.038997207464236384,0.23391771596786062,0.2500806508523787,15473
1066,current_python_nb36_cache,ellipse_mask,0.9953564026549834,0.9976727980330542,0.0017844001088786507,0.3839887895315194,0.38276894538929157,708
1066,current_python_nb36_cache,fascicle_masked,0.8343379574885358,0.9096883745794158,0.014476828001975946,0.07699384029114957,0.08330476948978255,5744
1066,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9992916360583483,0.9996456925398596,0.00027219662677809925,0.3839887895315194,0.38426098615829746,108
1066,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.999476525437592,0.9997381941944563,4.032542618934804e-05,0.07699384029114957,0.07703416571733893,16
1600,current_python_nb36_cache,apo_thres,0.7231375382124916,0.8393265449519987,0.10431431653443288,0.3041419253374734,0.3450898752936195,41389
1600,current_python_nb36_cache,apo_super,0.7044229905702739,0.8265823618520713,0.013272105894569173,0.03615426491788735,0.04037835331122156,5266
1600,current_python_nb36_cache,apo_deep,0.6664721330609863,0.7998599194536858,0.017284485800409304,0.03931729053461434,0.047044650328148155,6858
1600,current_python_nb36_cache,fas_thres_raw,0.8470200970200971,0.9171747490854516,0.04005827024084361,0.23346153458409363,0.2501865050961257,15894
1600,current_python_nb36_cache,fas_thres_after_subtraction,0.8470200970200971,0.9171747490854516,0.04005827024084361,0.23346153458409363,0.2501865050961257,15894
1600,current_python_nb36_cache,ellipse_mask,0.992327432360259,0.9961489424302854,0.0029689595031907492,0.3839887895315194,0.3869577490347101,1178
1600,current_python_nb36_cache,fascicle_masked,0.8182075765732582,0.9000155836060464,0.016170495901928563,0.07717026403072798,0.084559898379926,6416
1600,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9992916360583483,0.9996456925398596,0.00027219662677809925,0.3839887895315194,0.38426098615829746,108
1600,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.9994777215603068,0.9997387925686486,4.032542618934804e-05,0.07717026403072798,0.07721058945691732,16
2133,current_python_nb36_cache,apo_thres,0.7264721848046805,0.8415683625819524,0.10286764186989002,0.3043485931466938,0.34493865494540943,40815
2133,current_python_nb36_cache,apo_super,0.7122997040924571,0.8319801754214353,0.012987307572106904,0.03640377849243394,0.04089250249513574,5153
2133,current_python_nb36_cache,apo_deep,0.668026418026418,0.8009782228950739,0.01722903833939895,0.039471031221961224,0.047097577450021674,6836
2133,current_python_nb36_cache,fas_thres_raw,0.8531755939234478,0.9207714549241914,0.038535985402195716,0.234855282126763,0.25153488653433204,15290
2133,current_python_nb36_cache,fas_thres_after_subtraction,0.8531755939234478,0.9207714549241914,0.038535985402195716,0.234855282126763,0.25153488653433204,15290
2133,current_python_nb36_cache,ellipse_mask,0.9952723602383355,0.997630579235258,0.0018297662133416673,0.38528424384785215,0.3869577490347101,726
2133,current_python_nb36_cache,fascicle_masked,0.832204407099374,0.9084187374233703,0.014796911072353897,0.07721815047432783,0.0843532305707056,5871
2133,rebuilt_get_fasMask_from_matlab_fas_thres,ellipse_mask,0.9991633877567027,0.9995815188251141,0.0003226034095147843,0.38528424384785215,0.38560684725736694,128
2133,rebuilt_get_fasMask_from_matlab_fas_thres,fascicle_masked,0.9995106514859883,0.999755265862851,3.7805087052513786e-05,0.07721815047432783,0.07725595556138035,15
2665,current_python_nb36_cache,apo_thres,0.7215926637038629,0.8382850123808224,0.10452098434365328,0.30250622523766796,0.3438221447077919,41471
2665,current_python_nb36_cache,apo_super,0.7086983205936506,0.8295183673469387,0.013158690633411631,0.0362903632312764,0.04089502283427258,5221
