dataset,variant,problem_FL_range,baseline_problem_FL_range,problem_max_abs_FL_step,baseline_problem_max_abs_FL_step,problem_max_abs_ANG_step,baseline_problem_max_abs_ANG_step,problem_max_abs_deep_mid_step_px,baseline_problem_max_abs_deep_mid_step_px,outside_median_abs_FL_delta_vs_baseline,outside_median_abs_ANG_delta_vs_baseline,outside_p95_abs_FL_delta_vs_baseline,outside_p95_abs_ANG_delta_vs_baseline,deep_line_rejects_total,super_line_rejects_total,endpoint_rejects_total,alpha_raw_rejects_total
test_23june_2,apo_gate,16.342019867387535,25.291517861566376,8.011396842403258,13.710645553723609,0.8967589012007124,0.8967589012007409,2.0063629150390625,6.3567949376764545,0.12592452701871082,0.0,11.66881577368078,2.842170943040401e-14,54,0,108,0
test_23june_2,apo_gate_alpha_persist,16.16561321971257,25.291517861566376,7.826496855211772,13.710645553723609,0.8312231524808169,0.8967589012007409,2.0063629150390625,6.3567949376764545,2.192331016280235,0.1916384972802092,14.673788464459047,0.5502745530551408,54,0,108,29
test23_june_3,apo_gate,3.4659097290719387,13.114962127593017,2.8419162774729756,10.489111588936794,0.3094420017667119,0.3094420017667119,1.667862150588121,7.169964104655662,0.3616813169325752,0.0,1870.6239866927642,2.842170943040401e-14,49,0,98,0
test23_june_3,apo_gate_alpha_persist,3.1345278629925843,13.114962127593017,2.460998336217969,10.489111588936794,0.31474582600341705,0.3094420017667119,1.667862150588121,7.169964104655662,3.9028765108009082,0.5272865214646743,488.17124683623626,0.6320764665035086,49,0,98,21
