name,group,note,block_size,stride,search_radius,zncc_low,zncc_high,confidence_floor,r_min_scale,r_max_scale,r_gamma,motion_spread_scale_px,forward_backward_scale_px,base_grid_points,median_band_points,median_valid_points,confidence_min,confidence_q10,confidence_median,confidence_q90,confidence_no_fb_median,median_fb_penalty_drop,median_zncc,valid_fraction_median,fb_error_median_px,fb_error_q90_px,R_scale_min,R_scale_median,R_scale_q90,R_scale_max,frames_R_gt_5,frames_R_gt_10,frames_at_R_min,theta_delta_rmse_deg,pen_delta_rmse_deg,length_delta_rmse_mm,cache_path,loaded_cache
zncc_low_035,zncc_low,more forgiving low threshold,21,24,8,0.35,0.9,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,215.0,0.15819767117500305,0.4345982074737549,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,8.790302601991549,15.560860838351635,143,29,211,0.08691897474505154,0.08691897474505154,0.13926202344894564,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/zncc_low_035_34dcdbb079_first_500_frames.npz,False
zncc_low_055,zncc_low,stricter low threshold,21,24,8,0.55,0.9,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,215.0,0.11209919303655624,0.40209707915782933,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,9.515325727608218,16.814782463365912,154,42,211,0.07907275508893685,0.07907275508893685,0.12856718327067354,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/zncc_low_055_c0719ea39a_first_500_frames.npz,False
zncc_high_085,zncc_high,easier to reach full speckle confidence,21,24,8,0.45,0.85,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,215.0,0.15463609993457794,0.4564557403326035,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,8.314254851356097,15.6565430851013,137,28,221,0.10494231627907076,0.10494231627907076,0.1671139554966143,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/zncc_high_085_f1f042b6e7_first_500_frames.npz,False
zncc_high_095,zncc_high,harder to reach full speckle confidence,21,24,8,0.45,0.95,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,215.0,0.1275286078453064,0.3835184872150421,0.7165313363075256,1.0,0.7165313363075256,0.011166125535964966,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,9.93875682952666,16.391372388216773,171,49,185,0.05727925566847912,0.05727925566847912,0.11284481504730948,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/zncc_high_095_1442edb86d_first_500_frames.npz,False
fb_scale_1,forward_backward_scale_px,stricter FB penalty,21,24,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,1.0,216,216.0,215.0,0.10064322501420975,0.3678794503211975,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,10.30018953481773,17.131546228068487,150,57,211,0.08258995827778604,0.08258995827778604,0.13334984694926066,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/fb_scale_1_90c2b0878a_first_500_frames.npz,False
fb_scale_4,forward_backward_scale_px,softer FB penalty,21,24,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,4.0,216,216.0,215.0,0.1753518134355545,0.4688987821340561,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,8.047463354428764,15.102851668164517,135,15,211,0.08624023558033156,0.08624023558033156,0.13788223989797832,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/fb_scale_4_32edce6f21_first_500_frames.npz,False
motion_scale_2,motion_spread_scale_px,stricter motion coherence,21,24,8,0.45,0.9,0.05,0.5,20.0,1.5,2.0,2.0,216,216.0,215.0,0.07902370393276215,0.32692191004753113,0.6065306663513184,1.0,0.6065306663513184,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,5.312834703191647,11.267944087225013,17.734841357038526,275,97,211,0.06747493452350062,0.06747493452350062,0.11890848250484672,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/motion_scale_2_7c1c6c7c20_first_500_frames.npz,False
motion_scale_5,motion_spread_scale_px,softer motion coherence,21,24,8,0.45,0.9,0.05,0.5,20.0,1.5,5.0,2.0,216,216.0,215.0,0.2225024551153183,0.5394866049289704,0.8187307715415955,1.0,0.8187307715415955,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,2.004945389246936,6.593938159698355,13.868514481645985,84,5,211,0.12599253754947337,0.12599253754947337,0.2020362937307518,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/motion_scale_5_cae35cf4ea_first_500_frames.npz,False
r_gamma_1,r_gamma,more linear R ramp,21,24,8,0.45,0.9,0.05,0.5,20.0,1.0,3.0,2.0,216,216.0,215.0,0.1416984498500824,0.4261316478252411,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,6.02763894200325,11.6904328674078,17.236880227923393,276,84,211,0.05963690024564577,0.05963690024564577,0.11900892599782815,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/r_gamma_1_8a7ed27ed5_first_500_frames.npz,False
r_gamma_25,r_gamma,more delayed R ramp,21,24,8,0.45,0.9,0.05,0.5,20.0,2.5,3.0,2.0,216,216.0,215.0,0.1416984498500824,0.4261316478252411,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,1.3342519920493434,5.364811441985928,13.80866071787328,64,3,211,0.20135351795177514,0.20135351795177514,0.33703641792846234,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/r_gamma_25_b595bd9247_first_500_frames.npz,False
r_min_1,r_min_scale,never reduce R below baseline,21,24,8,0.45,0.9,0.05,1.0,20.0,1.5,3.0,2.0,216,216.0,215.0,0.1416984498500824,0.4261316478252411,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,1.0,3.8675512303256734,9.259849909155436,16.108225081142624,157,37,211,0.40953551024639734,0.40953551024639734,0.8054433027097291,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/r_min_1_d097c48663_first_500_frames.npz,False
r_max_10,r_max_scale,cap penalty lower,21,24,8,0.45,0.9,0.05,0.5,10.0,1.5,3.0,2.0,216,216.0,215.0,0.1416984498500824,0.4261316478252411,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,1.9337756151628367,4.629924954577718,8.054112540571312,37,0,211,0.14429767670512006,0.14429767670512006,0.23450653825961545,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/r_max_10_f2e4aeb458_first_500_frames.npz,False
r_max_30,r_max_scale,allow stronger penalty,21,24,8,0.45,0.9,0.05,0.5,30.0,1.5,3.0,2.0,216,216.0,215.0,0.1416984498500824,0.4261316478252411,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,4.9522505944530195,13.32450380632028,23.957507362826707,178,111,211,0.06519881889495366,0.06519881889495366,0.11768114400485587,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/r_max_30_15b516c0db_first_500_frames.npz,False
