alpha_deg,variable,bias,mae,rmse
16.5,FL,-1.503352611729622,1.9851842815405993,2.169311051862727
16.5,ANG,0.9001939001921614,1.094793769376067,1.180228401963248
16.5,PEN,0.8320867336587455,1.035660404063191,1.1180136463925583
16.6,FL,-1.5340049640218343,1.9727059888963798,2.140773884948744
16.6,ANG,0.9133182709353427,1.0891074900843694,1.1743968400579934
16.6,PEN,0.8452111044019268,1.0299267884570689,1.1110116038818598
16.7,FL,-1.5640432159720246,1.9609521484522028,2.1152480346225118
16.7,ANG,0.9262418569404967,1.0834507579114738,1.1695309498881719
16.7,PEN,0.8581346904070807,1.0242161457294614,1.1050358788491963
16.8,FL,-1.5934696698060165,1.9501729066672646,2.0926938535167303
16.8,ANG,0.9389631601152019,1.0781761891787458,1.1656165200191995
16.8,PEN,0.8708559935817859,1.0186257547820552,1.1000740926108732
16.9,FL,-1.6223087554998736,1.939960095873176,2.0730584333390576
16.9,ANG,0.9514939056462306,1.0733142867218362,1.1626422407758206
16.9,PEN,0.8833867391128148,1.0134671836165954,1.0961164913929944
17.0,FL,-1.650581291982867,1.9300250409636024,2.0562896423412775
17.0,ANG,0.9638381585626394,1.0686038466485155,1.1605834813819786
17.0,PEN,0.8957309920292237,1.0086552891816425,1.0931407195877298
17.1,FL,-1.678286101723864,1.9206186642838727,2.042325854801706
17.1,ANG,0.9759885693815336,1.0640102968079157,1.1594156194137215
17.1,PEN,0.9078814028481177,1.004048956874863,1.0911243938872413
17.2,FL,-1.7054332183914136,1.9134713816566482,2.0310785205182933
17.2,ANG,0.987951077820503,1.060408830785484,1.1591145764022572
17.2,PEN,0.9198439112870871,0.9998804969793823,1.0900425767132365
17.3,FL,-1.7320468829364846,1.9145732347746454,2.0224840516955855
17.3,ANG,0.99973700366091,1.0604320223546873,1.1596694719667275
17.3,PEN,0.9316298371274943,0.9968649757583744,1.089884395947377
17.4,FL,-1.7581364863610343,1.9190098293806086,2.0164415983935093
17.4,ANG,1.0113388253471582,1.064727297729652,1.161032790501193
17.4,PEN,0.9432316588137424,0.9993135717988894,1.090603122848968
17.5,FL,-1.7837162358207992,1.9236593961719775,2.0128665527591894
17.5,ANG,1.0227690749146625,1.0693277616090704,1.163194376990356
17.5,PEN,0.9546619083812466,1.0038349368030122,1.092186799658998
17.6,FL,-1.8087915923008904,1.9281209078385453,2.011657775257766
17.6,ANG,1.0340186865445895,1.0738449714041192,1.1661081870180685
17.6,PEN,0.9659115200111739,1.0083581000485766,1.09458941970611
17.7,FL,-1.8333777077738669,1.9323710116439983,2.0127058164004317
17.7,ANG,1.0451015162548212,1.078235029863398,1.1697582726970581
17.7,PEN,0.9769943497214053,1.0127325356420398,1.0977917448363987
17.8,FL,-1.8574782182117382,1.9380099272756914,2.0159077323418613
17.8,ANG,1.0560128606897268,1.082673645308685,1.1741103424257933
17.8,PEN,0.9879056941563109,1.0169895098681805,1.1017584575297001
17.9,FL,-1.8811228419928592,1.9452243014726749,2.02115627336677
17.9,ANG,1.0667646328681728,1.0879804313596655,1.179133731082915
17.9,PEN,0.9986574663347569,1.0219358051860525,1.1064559899898854
18.0,FL,-1.9043072927989346,1.9544335105610258,2.028345126580636
18.0,ANG,1.0773467377450159,1.0938619374032688,1.1847877002815248
18.0,PEN,1.0092395712116002,1.0275182564299241,1.1118430306555314
18.1,FL,-1.9270466902724275,1.9657486405246112,2.037357152410567
18.1,ANG,1.0877741533646044,1.10057322894311,1.1910571763291697
18.1,PEN,1.0196669868311885,1.0337840180389688,1.1178992228895723
18.2,FL,-1.949349619005396,1.9771169109143283,2.0480853131259877
18.2,ANG,1.0980379591771425,1.1077878759444364,1.1978933127566946
18.2,PEN,1.0299307926437269,1.0406665833471729,1.124574504585324
18.3,FL,-1.9712245632842,1.9884961123434215,2.060416604507471
18.3,ANG,1.1081506602983693,1.1149744246743467,1.2052814286482916
18.3,PEN,1.0400434937649532,1.0476416468210104,1.1318502169659066
18.4,FL,-1.9926810362020086,1.9997324850923246,2.074246589992397
18.4,ANG,1.1181090469026767,1.1220065613076886,1.213182175359091
18.4,PEN,1.050001880369261,1.0545275159142387,1.1396847437703026
18.5,FL,-2.0137332070895577,2.013746635813166,2.089472572609998
18.5,ANG,1.1279134631376053,1.1288844410562786,1.2215569402961897
18.5,PEN,1.0598062966041895,1.0613058209878774,1.1480369005747009
18.6,FL,-2.0343863616405646,2.034402020957624,2.105994441904765
18.6,ANG,1.137572919080446,1.1377111457449998,1.2303936411012202
18.6,PEN,1.0694657525470304,1.0694657525470304,1.1568898467093025
18.7,FL,-2.0546529816314543,2.054670802058267,2.1237138648779372
18.7,ANG,1.147083807733231,1.147222036415363,1.2396463966827875
18.7,PEN,1.0789766411998152,1.0789766411998152,1.1661970696693833
18.8,FL,-2.0745378843036364,2.0745578852877284,2.142535347416246
18.8,ANG,1.1564564602569405,1.156594724520302,1.2493062191474866
18.8,PEN,1.0883492937235248,1.0883492937235248,1.175944247310788
18.9,FL,-2.0940526427734847,2.0940747955589085,2.1623723645524535
18.9,ANG,1.1656809984845662,1.1658192095341027,1.2593219606246489
18.9,PEN,1.0975738319511503,1.0975738319511503,1.1860793097629219
19.0,FL,-2.113201092459,2.1132253548761732,2.1831332816311715
19.0,ANG,1.174769347613922,1.174907520396294,1.2696856754949775
19.0,PEN,1.1066621810805064,1.1066621810805064,1.196590360656097
19.1,FL,-2.1319966309626963,2.132023031257156,2.204744071510372
19.1,ANG,1.1837212332842417,1.1838594399705902,1.2803654291821969
19.1,PEN,1.1156140667508263,1.1156140667508263,1.2074431820653644
