frame,FL_mm,PEN_deg,ANG_deg
0,72.30705121227311,20.387453928083147,18.52048841094924
1,72.30877425298324,20.386852126309662,18.519220718641293
2,72.30327314642284,20.388489273613573,18.520199421450343
3,72.30250088626441,20.388976315083028,18.5191389650972
4,72.30624099720735,20.387877761527477,18.517179315036373
5,72.30838997809757,20.386974723841433,18.515583957294922
6,72.31798154382759,20.383884774933847,18.511911820893573
7,72.30211407838159,20.388565247874226,18.50737342039747
8,72.29121257525259,20.391748972577886,18.503183756149866
9,72.29223183410113,20.391502106692087,18.499867429755767
10,72.27447569874602,20.396910969128896,18.498316311230326
11,72.25859503926593,20.402225480321363,18.49749680049166
12,72.24881986910891,20.405787563899537,18.496583359068694
13,72.24000181044545,20.408891692306668,18.49595227051944
14,72.23472768945993,20.410966376040847,18.494755251996395
15,72.22760210926668,20.41357779401514,18.494622759323704
16,72.22451178279373,20.414972108393954,18.49375185185272
17,72.21622972207297,20.417626204675372,18.49378844760372
18,72.21501576170546,20.41759630388944,18.490796266393744
19,72.18369819586158,20.42732634603928,18.4968102625715
20,72.18540218622698,20.426569568488077,18.49354635976391
21,72.19962218322291,20.422002308725638,18.48679020464914
22,72.19903718942433,20.422538029891342,18.48522510407747
23,72.19112721536015,20.42532262825162,18.48539054343786
24,72.20924683205857,20.420028092269547,18.481875032249633
25,72.22822500194694,20.414826485776985,18.47899704587857
26,72.24880555396022,20.409974941089786,18.479460852106655
27,72.29071227305587,20.399082493192623,18.48207946344604
28,72.28635097230473,20.401364453498957,18.486779627076146
29,72.2853280137833,20.400983417462413,18.48931989728908
30,72.26819729035702,20.404473171775862,18.495130602801026
31,72.26632472068887,20.404672539296627,18.496036659785176
32,72.25130488373762,20.406843425653477,18.500344850748434
33,72.22953781588758,20.408533270213667,18.506094994085828
34,72.20842210912207,20.41252249998402,18.512271473219556
35,72.20612133074134,20.408911104004574,18.513235568232602
36,72.19324362049262,20.406399182766137,18.51601614903913
37,72.18097424407468,20.40569203342909,18.516096482065535
38,72.18159970807741,20.402887901677673,18.511521879846384
39,71.93068417132321,20.443957820556676,18.510857373655114
40,72.07058439523749,20.201542944887166,18.504164212489883
41,71.51604167055949,20.182689321793163,18.777491239177806
42,70.45818158751464,20.33779139575455,19.090088311496828
43,69.55167600676278,20.57098427133016,19.37000022512663
44,68.29203965871628,20.89440877385354,19.7169647354595
45,67.32204877490578,21.12266309147708,19.969231382454183
46,66.65047850837817,21.285172833285316,20.17678337947774
47,66.0700594368453,21.406638946523145,20.396574208850296
48,65.28795490882648,21.64260522128231,20.662267120727023
49,64.62800420601835,21.813394028567302,20.873809138307536
50,63.857860975204076,22.02640637924543,21.13204437294027
51,63.14538460829457,22.22450127699406,21.330461346064936
52,62.83975173482943,22.301100919843208,21.433369780133347
53,62.5244839770768,22.381307643132487,21.525577376290755
54,62.19512007300259,22.481526327990167,21.641932338130516
55,61.88279709137734,22.604777559738324,21.764609636233274
56,61.52256736129936,22.752276218842695,21.890421125860627
57,61.266772487928336,22.853952209313007,21.98629336175236
58,61.05359106176899,22.957034420903483,22.077474146591527
59,60.797969284039894,23.080011527737497,22.1968539908994
60,60.561075043179486,23.19240315814764,22.30237127295584
61,60.4252871476494,23.273918882411067,22.368004786970147
62,60.25205438684206,23.364620244711034,22.436517228595307
63,60.08182216907654,23.432564140871023,22.502351127421065
64,59.80011232325037,23.549912943554915,22.60055395958284
65,59.72018366593137,23.596356426444146,22.64204093079195
66,59.712928301294006,23.618920584482055,22.689855149981696
67,59.609986795887885,23.661664363608963,22.75617634510175
68,59.5196761866477,23.710351688923026,22.816192022444596
69,59.45204480767714,23.77066968844727,22.847563930051194
70,59.40992688855975,23.790021194230007,22.888976798474346
71,59.261009934315446,23.873694364903713,22.988164846060073
72,59.11967622730915,23.94254997780044,23.09335727225769
73,58.901166771282604,24.06456695139559,23.225191426702168
74,58.658729686030505,24.17271943838557,23.346776425375907
75,58.3803752134872,24.277739406653495,23.475382001423753
76,58.12291528005824,24.387843564908167,23.569543149958236
77,57.87479684152991,24.498115458302436,23.656962639434653
78,57.77118304412758,24.558312909735804,23.710639629528202
79,57.710620867698054,24.610358185704143,23.734156733821322
80,57.715780317337405,24.63241920270889,23.721265516685747
81,57.79440077971513,24.634641912772906,23.700257065747678
82,57.76693344543466,24.65340710077234,23.721970927753034
83,57.75499967440562,24.718016828932434,23.760768002372743
84,57.769442480361604,24.76335940526323,23.79831491050706
85,57.7191579021444,24.825310488867018,23.848482138097324
86,57.65084777823403,24.86003370742486,23.879202491286264
87,57.872893848889035,24.855543171922193,23.872523094000513
88,57.91391497380296,24.82786863703646,23.902414747841647
89,57.86940894861625,24.773231011190546,23.996391908450846
90,57.935367950200906,24.75806847170702,24.065378404573607
91,57.51318900491932,24.9406734026621,24.17815883981433
92,56.66503026511239,25.310538180940426,24.457870832648837
93,56.21240734254621,25.500107646428916,24.651524792480075
94,55.60749234359381,25.798006425235627,24.895114000577195
95,54.889758326170146,26.12606953493605,25.188380673789993
96,54.381938397912684,26.271701821690698,25.434996156510408
97,53.945372385296615,26.461155454260904,25.69790593670723
98,53.37117265941445,26.652671114376034,25.94430006989677
99,52.82104247615798,26.835730975326754,26.193182923571044
100,52.279675183272595,27.08509364125294,26.38885219889562
101,50.66869339323432,27.960257926951698,27.238360579669802
102,48.60094729180831,29.19268746866834,28.452739129960946
103,48.75501654063624,29.027442845644572,28.24760375287113
104,49.40738494948972,28.529555419215285,27.767000669389574
105,49.26401457832603,28.584304476467082,27.800064305193132
106,49.23459330234528,28.58441402528223,27.7794524089974
107,49.21740452165301,28.570812220367372,27.75017397103821
108,49.05329812165496,28.66233496165316,27.82126444980895
109,48.804551559393595,28.828270470402487,27.977282380606567
110,48.46907401767155,29.05789261153498,28.162273133990425
111,48.00299218439525,29.378949701680597,28.46707900396231
112,47.65854415125489,29.614989042964424,28.666145074303415
113,47.493586473380205,29.729831901067058,28.782687568505395
114,47.27569286953862,29.879403826565863,28.93135581440498
115,47.34683833845014,29.824602171972117,28.855946124334423
116,46.859136092829,30.189382999272112,29.0221027601755
117,46.539286760755665,30.427719451449292,29.097230968340227
118,46.44032107502067,30.38518052674533,29.21263915862329
119,46.29534512229137,30.601814522175943,29.290836440848352
120,46.59855417546844,30.36967784185319,29.250306048158137
121,46.78484847673896,30.271513721824647,29.176271813188208
122,46.87775515491312,30.216453795221724,29.165972327905877
123,46.92360593145779,30.20339587024847,29.169619479633667
124,46.937076125746245,30.210658965094666,29.198768952045214
125,46.92100106868769,30.227527613657344,29.228527454975733
126,46.826696590071066,30.29207344735306,29.297207195098622
127,46.88387270884837,30.22604047493138,29.24932609585136
128,46.8528814335951,30.226243011973878,29.263943347574212
129,46.770735799834426,30.28412850849483,29.312580994638154
130,46.75459927709755,30.304227402248642,29.301829397653677
131,46.732396254932816,30.326076712028737,29.304958510511142
132,46.8300373901634,30.314980894026263,29.29886636289706
133,46.83355547203758,30.349414205532895,29.327253437812942
134,46.94315108249044,30.296082813702043,29.258128353807393
135,46.89739207170492,30.3728757547143,29.32551345481886
136,46.79562562223983,30.464574959392195,29.423463035069375
137,46.736888037621725,30.553713506474452,29.534083610152123
138,46.78840586593873,30.525334026593896,29.51131370320826
139,46.89138886224177,30.448701436661253,29.42499558898723
140,46.81400461324248,30.495589859571652,29.461905668680856
141,46.79732878105968,30.49158862998911,29.453620448288376
142,46.83168302949068,30.469619063624123,29.437038348817595
143,46.80712814480533,30.50062023062563,29.47201343449123
144,46.79085355962022,30.52203257402377,29.496462376622077
145,46.805106761549105,30.54788149826578,29.514344174273106
146,46.84669366643446,30.564138232127362,29.53615002920708
147,46.83853909394653,30.56935051079796,29.548081690312472
148,46.95088874908513,30.50945002236469,29.488471002093036
149,47.081509996635255,30.44132959726099,29.42063731678317
150,47.0064067994969,30.52446963540362,29.505212191512555
151,46.94757126627208,30.552285654472882,29.537742372484644
152,46.917683602179146,30.565822730886993,29.55204909726143
153,47.01803199220984,30.501683587794787,29.490231809592387
154,47.04691011210852,30.4802719677335,29.464925349484588
155,47.19538001648021,30.3560251562148,29.344880290172938
156,48.36665157444296,29.526833108257335,28.525913053196064
157,50.0978346255735,28.403356877835563,27.408100658258974
158,46.4974202951676,30.836193430468768,29.82736859074481
159,46.583656081476526,30.746614651138742,29.759842089283666
160,47.000503898276214,30.405104052194616,29.432853930441865
161,47.92330391062578,29.736594234040552,28.767064283151143
162,47.64161656033208,29.913326908028097,28.951636424643738
163,47.59088508319119,29.948968421070475,29.00596667564804
164,48.070690758797745,29.58923046082316,28.67500433985819
165,49.409801636376706,28.725819732712665,27.817809508922466
166,49.24807547030956,28.822479541437787,27.905664661475413
167,48.95300398374233,29.04917606091533,28.13734629590533
