run,method,variable,unit,python_offset,n,bias,mae,rmse,max_abs,pearson_r,lins_ccc
previous,normal,FL_mm,mm,1,2666,-1.774770380316117,2.1120082283260437,2.549415784288532,5.827917132132221,0.9810227350885807,0.9638234252424953
previous,normal,ANG_deg,deg,1,2666,1.0062800840363928,1.1382501483270169,1.3936508783645936,4.276030785395683,0.9831480776454206,0.9586493200772985
previous,normal,PEN_deg,deg,1,2666,0.9381729175029768,1.091325205716227,1.330770570389603,4.057620655048218,0.9809791027400102,0.9572145515371437
previous,adaptive,FL_mm,mm,1,2666,-1.8737797460577066,2.1358586239072137,2.5935711745177605,6.037670985165249,0.9817130130132746,0.9624717449334972
previous,adaptive,ANG_deg,deg,1,2666,1.0556749479837335,1.1532228179869364,1.406780344188131,4.2518953943713385,0.9843280754738954,0.9578514061720917
previous,adaptive,PEN_deg,deg,1,2666,0.9875677814503175,1.0962248213043941,1.342695412857495,4.033485264023874,0.9822574516792902,0.9564086358564825
updated,normal,FL_mm,mm,1,2666,-1.793345385870895,1.9120032954237862,1.9953959084098687,3.2767624674683304,0.9958229356715492,0.9781586860058824
updated,normal,ANG_deg,deg,1,2666,1.0340207411810447,1.0738468399503196,1.1661094152876308,2.241169388007414,0.9973003315695673,0.9711518432061506
updated,normal,PEN_deg,deg,1,2666,0.965913574647629,1.0083600049219552,1.0945904788804743,2.1583151509598366,0.9965467572150188,0.9711182293948811
updated,adaptive,FL_mm,mm,1,2666,-1.884983269493204,1.9975893985745667,2.0802961517772154,3.3475725360661244,0.9957729574113564,0.9763043752732844
updated,adaptive,ANG_deg,deg,1,2666,1.0893324875927735,1.1267254287246486,1.2219686233418752,2.328188504894591,0.9972912373566988,0.9685211802727038
updated,adaptive,PEN_deg,deg,1,2666,1.0212253210593576,1.0612296615766692,1.1495272685958287,2.2453342678470136,0.9965365821444201,0.9683528097585049
