metric,key,unit,n_valid,mean_delta,mean_abs_delta,median_abs_delta,rmse_delta,max_abs_delta
ANG,ANG_deg,deg,84,0.1070416474041634,0.1070416474041634,0.14537048578434053,0.12318085501678883,0.16813699868114895
PEN,PEN_deg,deg,84,0.1070416474041634,0.1070416474041634,0.14537048578434053,0.12318085501678883,0.16813699868114895
FL,FL_mm,mm,84,-0.49620279855232274,0.49620279855232274,0.6152239534545529,0.575677868417355,0.8824056820658797
