frame0,mask,kind,matlab_density,python_density,iou,dice,mae,matlab_foreground_px,python_foreground_px,corr,mae_raw,mae_norm01,matlab_min,matlab_max,python_min,python_max,bias,max_abs_error,matlab_alpha,python_alpha,abs_error
0,apo_thres,binary,0.30256923371608885,0.3360721018620266,0.726617969718857,0.8416661733656938,0.10111852650892704,120051.0,133344.0,,,,,,,,,,,,
0,apo_super,binary,0.036416380188118117,0.03990704989263355,0.7333295174861199,0.8461513060132748,0.011742260038510782,14449.0,15834.0,,,,,,,,,,,,
0,apo_deep,binary,0.03992469226659139,0.045907977377435905,0.6695754485733896,0.8020906741836974,0.01698708578226286,15841.0,18215.0,,,,,,,,,,,,
0,fas_thres_raw,binary,0.2265583256883046,0.23945238071234864,0.8547869352379424,0.9217090319091401,0.036484429344812636,89892.0,95008.0,,,,,,,,,,,,
0,fas_thres,binary,0.2265583256883046,0.23945238071234864,0.8547869352379424,0.9217090319091401,0.036484429344812636,89892.0,95008.0,,,,,,,,,,,,
0,Emask,binary,0.3839887895315194,0.38426098615829746,0.9992916360583483,0.9996456925398596,0.00027219662677809925,152356.0,152464.0,,,,,,,,,,,,
0,fascicle_masked,binary,0.0714843789380299,0.0771652233524543,0.8247633191015408,0.9039674465920651,0.014275200871029205,28363.0,30617.0,,,,,,,,,,,,
0,fas_filt,float,,,,,,,,0.9999666247555353,0.001108134971552019,0.0011080133511972353,0.0,0.999999485293939,0.0,0.9999981569702758,,,,,
0,super_vec,vector,,,,,,,,,1.3,,,,,,-0.1,4.0,,,
0,deep_vec,vector,,,,,,,,,0.6,,,,,,0.4,1.0,,,
0,Emask_radius,vector,,,,,,,,,0.0,,,,,,0.0,0.0,,,
0,alpha,scalar,,,,,,,,,,,,,,,1.0,,18.5,19.5,1.0
122,apo_thres,binary,0.2987610012803323,0.3284657183470608,0.706314706890641,0.8278832785515097,0.10795620658715836,118540.0,130326.0,,,,,,,,,,,,
122,apo_super,binary,0.03691036665893763,0.040837055034125394,0.7174990256667223,0.8355160788381742,0.012788200780296997,14645.0,16203.0,,,,,,,,,,,,
122,apo_deep,binary,0.0405799804421683,0.04227616868125775,0.700284458236359,0.8237262357414449,0.014605365297954493,16101.0,16774.0,,,,,,,,,,,,
122,fas_thres_raw,binary,0.21081628743963787,0.22417912554313307,0.8263722077015058,0.9049329640659582,0.04135372455717641,83646.0,88948.0,,,,,,,,,,,,
122,fas_thres,binary,0.21081628743963787,0.22417912554313307,0.8263722077015058,0.9049329640659582,0.04135372455717641,83646.0,88948.0,,,,,,,,,,,,
122,Emask,binary,0.3783785146129263,0.38139284022058006,0.992096533312187,0.996032588503795,0.003014325607653766,150130.0,151326.0,,,,,,,,,,,,
122,fascicle_masked,binary,0.07035526700472816,0.0759352978536792,0.7970835010371838,0.8870856591551237,0.01651830270281169,27915.0,30129.0,,,,,,,,,,,,
122,fas_filt,float,,,,,,,,0.9999527137611076,0.0012078378443199408,0.0012078585361422747,0.0,0.9999995309433841,0.0,0.9999998042347717,,,,,
122,super_vec,vector,,,,,,,,,2.4,,,,,,-1.6,13.0,,,
122,deep_vec,vector,,,,,,,,,0.7,,,,,,0.7,2.0,,,
122,Emask_radius,vector,,,,,,,,,0.5,,,,,,0.5,1.0,,,
122,alpha,scalar,,,,,,,,,,,,,,,0.0,,15.0,15.0,0.0
533,apo_thres,binary,0.30851723407901765,0.34621142620951073,0.7289141792286447,0.843204582374181,0.10265845372153277,122411.0,137367.0,,,,,,,,,,,,
533,apo_super,binary,0.03687760225015878,0.040862258425493736,0.7243403398926654,0.84013616469444,0.0124277922837297,14632.0,16213.0,,,,,,,,,,,,
533,apo_deep,binary,0.04087486012117791,0.047032048632463984,0.6924159347857732,0.8182574041686975,0.015976429788392327,16218.0,18661.0,,,,,,,,,,,,
533,fas_thres_raw,binary,0.23572731946810763,0.25159285433447925,0.8541195197729278,0.9213208864523803,0.03834191928865948,93530.0,99825.0,,,,,,,,,,,,
533,fas_thres,binary,0.23572731946810763,0.25159285433447925,0.8541195197729278,0.9213208864523803,0.03834191928865948,93530.0,99825.0,,,,,,,,,,,,
533,Emask,binary,0.3839887895315194,0.3869577490347101,0.992327432360259,0.9961489424302854,0.0029689595031907492,152356.0,153534.0,,,,,,,,,,,,
533,fascicle_masked,binary,0.07809774883308299,0.08518494248586089,0.8260379379351166,0.9047325039360355,0.015555533152541006,30987.0,33799.0,,,,,,,,,,,,
533,fas_filt,float,,,,,,,,0.999960857910996,0.0013037155340976266,0.0013036664590112398,0.0,0.9999988541179428,0.0,0.9999983447385601,,,,,
533,super_vec,vector,,,,,,,,,2.7,,,,,,-1.7,10.0,,,
533,deep_vec,vector,,,,,,,,,0.5,,,,,,0.5,3.0,,,
533,Emask_radius,vector,,,,,,,,,0.5,,,,,,0.5,1.0,,,
533,alpha,scalar,,,,,,,,,,,,,,,0.0,,19.5,19.5,0.0
691,apo_thres,binary,0.2878353311221558,0.3179231397376831,0.7003869854049197,0.8237971607835306,0.1067363624449306,114205.0,126143.0,,,,,,,,,,,,
691,apo_super,binary,0.034780680088312685,0.03896444305545754,0.7215815485996705,0.8382775119617225,0.011926244795499683,13800.0,15460.0,,,,,,,,,,,,
691,apo_deep,binary,0.04563326041152097,0.046807738449285735,0.7108872096277637,0.831015867822673,0.015621061970098696,18106.0,18572.0,,,,,,,,,,,,
691,fas_thres_raw,binary,0.2010020868408053,0.21426663171796398,0.8186002362004834,0.9002530846589426,0.04142177371387094,79752.0,85015.0,,,,,,,,,,,,
691,fas_thres,binary,0.2010020868408053,0.21426663171796398,0.8186002362004834,0.9002530846589426,0.04142177371387094,79752.0,85015.0,,,,,,,,,,,,
691,Emask,binary,0.36302460859133207,0.37026302259232,0.9797902816431794,0.9897919903212945,0.00748540723639773,144038.0,146910.0,,,,,,,,,,,,
691,fascicle_masked,binary,0.06430141239805229,0.07080892804935832,0.7731031289276973,0.872034024772422,0.01728952647868297,25513.0,28095.0,,,,,,,,,,,,
691,fas_filt,float,,,,,,,,0.9999644116989339,0.0009781446549152538,0.0009781425260531676,0.0,0.9999995741377417,0.0,0.9999995366110558,,,,,
691,super_vec,vector,,,,,,,,,4.4,,,,,,-3.2,13.0,,,
691,deep_vec,vector,,,,,,,,,0.8,,,,,,0.8,1.0,,,
691,Emask_radius,vector,,,,,,,,,1.25,,,,,,1.25,2.5,,,
691,alpha,scalar,,,,,,,,,,,,,,,0.0,,16.5,16.5,0.0
955,apo_thres,binary,0.2946200840785136,0.320388031413507,0.7209695960956619,0.8378644198378808,0.09971469760971036,116897.0,127121.0,,,,,,,,,,,,
955,apo_super,binary,0.036615486979928016,0.040186807536822154,0.7309287134336836,0.8445509139238014,0.011938846491183853,14528.0,15945.0,,,,,,,,,,,,
955,apo_deep,binary,0.04208462290685835,0.043619509441190404,0.7058794020266881,0.8275841787972357,0.014776748359259222,16698.0,17307.0,,,,,,,,,,,,
955,fas_thres_raw,binary,0.2052690209994657,0.21781022854435292,0.8308194003642749,0.9075929610522678,0.039095500690572924,81445.0,86421.0,,,,,,,,,,,,
955,fas_thres,binary,0.2052690209994657,0.21781022854435292,0.8308194003642749,0.9075929610522678,0.039095500690572924,81445.0,86421.0,,,,,,,,,,,,
955,Emask,binary,0.37561622291895597,0.37578760598026073,0.9995439363657094,0.9997719161724851,0.00017138306130472917,149034.0,149102.0,,,,,,,,,,,,
955,fascicle_masked,binary,0.06591947012389987,0.0710433195890839,0.7991392153616951,0.888357286127008,0.01529089754317341,26155.0,28188.0,,,,,,,,,,,,
955,fas_filt,float,,,,,,,,0.9999646254339366,0.0010186186607135227,0.0010186201371439835,0.0,0.9999994874288439,0.0,0.9999995003835258,,,,,
955,super_vec,vector,,,,,,,,,0.6,,,,,,0.6,1.0,,,
955,deep_vec,vector,,,,,,,,,0.2,,,,,,0.2,1.0,,,
955,Emask_radius,vector,,,,,,,,,0.0,,,,,,0.0,0.0,,,
955,alpha,scalar,,,,,,,,,,,,,,,0.0,,14.5,14.5,0.0
1066,apo_thres,binary,0.30511477624429145,0.34480507697115725,0.7238106061112485,0.8397797339744832,0.10413033177744398,121061.0,136809.0,,,,,,,,,,,,
1066,apo_super,binary,0.037081749720242356,0.04107900759126148,0.7081795648581658,0.8291629046820586,0.013352756746947868,14713.0,16299.0,,,,,,,,,,,,
1066,apo_deep,binary,0.03961721089189761,0.046742209631728045,0.6760418704754452,0.8067123887348606,0.016692206103253254,15719.0,18546.0,,,,,,,,,,,,
1066,fas_thres_raw,binary,0.23391771596786062,0.2500806508523787,0.850869837598188,0.9194269854246838,0.038997207464236384,92812.0,99225.0,,,,,,,,,,,,
1066,fas_thres,binary,0.23391771596786062,0.2500806508523787,0.850869837598188,0.9194269854246838,0.038997207464236384,92812.0,99225.0,,,,,,,,,,,,
1066,Emask,binary,0.3839887895315194,0.38276894538929157,0.9953564026549834,0.9976727980330542,0.0017844001088786507,152356.0,151872.0,,,,,,,,,,,,
1066,fascicle_masked,binary,0.07699384029114957,0.08330476948978255,0.8343379574885358,0.9096883745794158,0.014476828001975946,30549.0,33053.0,,,,,,,,,,,,
1066,fas_filt,float,,,,,,,,0.9999573035715519,0.0013602659919630786,0.0013603855280352483,0.0,0.9999987831881874,0.0,0.9999999870432889,,,,,
1066,super_vec,vector,,,,,,,,,0.7,,,,,,0.7,1.0,,,
1066,deep_vec,vector,,,,,,,,,0.5,,,,,,0.3,1.0,,,
1066,Emask_radius,vector,,,,,,,,,0.25,,,,,,-0.25,0.5,,,
1066,alpha,scalar,,,,,,,,,,,,,,,0.0,,20.0,20.0,0.0
1600,apo_thres,binary,0.3041419253374734,0.3450898752936195,0.7231375382124916,0.8393265449519987,0.10431431653443288,120675.0,136922.0,,,,,,,,,,,,
1600,apo_super,binary,0.03615426491788735,0.04037835331122156,0.7044229905702739,0.8265823618520713,0.013272105894569173,14345.0,16021.0,,,,,,,,,,,,
1600,apo_deep,binary,0.03931729053461434,0.047044650328148155,0.6664721330609863,0.7998599194536858,0.017284485800409304,15600.0,18666.0,,,,,,,,,,,,
1600,fas_thres_raw,binary,0.23346153458409363,0.2501865050961257,0.8470200970200971,0.9171747490854516,0.04005827024084361,92631.0,99267.0,,,,,,,,,,,,
1600,fas_thres,binary,0.23346153458409363,0.2501865050961257,0.8470200970200971,0.9171747490854516,0.04005827024084361,92631.0,99267.0,,,,,,,,,,,,
1600,Emask,binary,0.3839887895315194,0.3869577490347101,0.992327432360259,0.9961489424302854,0.0029689595031907492,152356.0,153534.0,,,,,,,,,,,,
1600,fascicle_masked,binary,0.07717026403072798,0.084559898379926,0.8182075765732582,0.9000155836060464,0.016170495901928563,30619.0,33551.0,,,,,,,,,,,,
1600,fas_filt,float,,,,,,,,0.9999576930722534,0.0013644986547560003,0.001364438789563499,0.0,0.9999998133520224,0.0,0.9999992020664026,,,,,
1600,super_vec,vector,,,,,,,,,2.5,,,,,,-0.9,9.0,,,
1600,deep_vec,vector,,,,,,,,,0.8,,,,,,0.8,2.0,,,
1600,Emask_radius,vector,,,,,,,,,0.5,,,,,,0.5,1.0,,,
1600,alpha,scalar,,,,,,,,,,,,,,,1.5,,19.0,20.5,1.5
2133,apo_thres,binary,0.3043485931466938,0.34493865494540943,0.7264721848046805,0.8415683625819524,0.10286764186989002,120757.0,136862.0,,,,,,,,,,,,
