box_size_px,search_radius_px,mean_zncc,median_zncc,invalid_rows,fallback_rows,invalid_frames,max_cumulative_displacement_px,peak_abs_longitudinal_strain_percent,peak_longitudinal_strain_percent
21,8,0.8781386118337332,0.9033136963844299,60,60,44,61.9148988880094,28.76848723097677,28.76848723097677
31,8,0.8907103653413704,0.9152031540870667,37,37,29,59.833668771899774,35.51451184605553,35.51451184605553
41,8,0.9129878337603496,0.9260794520378113,33,33,23,72.16872917022955,30.267325243393934,30.267325243393934
