fraction,x,y,texture_variance,zncc_0_1,match_ok,texture_score,zncc_score,combined_score
0.55,343.4847496867603,229.14965445673124,1662.3931884765625,0.9870226979255676,True,1.0,1.0,1.0
0.585,304.6240761827488,238.12134799898547,1013.5313720703125,0.967840313911438,True,1.0,1.0,1.0
0.59,299.07255139646145,239.40301850502178,1047.291015625,0.9702290296554565,True,1.0,1.0,1.0
0.535,360.1393240456224,225.3046429386223,1316.4002685546875,0.9874945282936096,True,1.0,1.0,1.0
0.54,354.58779925933504,226.5863134446586,1691.4024658203125,0.9898085594177246,True,1.0,1.0,1.0
0.545,349.0362744730477,227.86798395069493,1720.9962158203125,0.9878482222557068,True,1.0,1.0,1.0
0.6,287.96950182388673,241.96635951709442,1027.8751220703125,0.9824371933937073,True,1.0,1.0,1.0
0.555,337.93322490047296,230.43132496276758,1387.5272216796875,0.9849959015846252,True,1.0,1.0,1.0
0.595,293.5210266101741,240.6846890110581,989.4008178710938,0.980254590511322,True,0.9867430542329142,1.0,0.9940343744048115
0.58,310.17560096903617,236.83967749294914,891.0320434570312,0.9643449783325195,True,0.8786585488530799,1.0,0.945396346983886
0.605,282.41797703759937,243.24803002313075,845.8742065429688,0.9807990789413452,True,0.8290405425705709,1.0,0.923068244156757
0.56,332.3817001141855,231.71299546880388,836.32958984375,0.97379469871521,True,0.8185532189140541,1.0,0.9183489485113243
0.655,226.90272917472578,256.06473508349393,794.910400390625,0.97257000207901,True,0.7730431204916559,1.0,0.8978694042212452
0.53,365.69084883190976,224.02297243258596,792.4210815429688,0.9832993149757385,True,0.7703079354902744,1.0,0.8966385709706235
0.66,221.35120438843842,257.34640558953026,786.4518432617188,0.9716403484344482,True,0.7637491248212758,1.0,0.8936871061695741
0.575,315.7271257553235,235.55800698691283,716.8606567382812,0.960699200630188,True,0.6872845249623774,1.0,0.8592780362330699
0.68,199.14510524328898,262.4730876136756,677.9345703125,0.976950466632843,True,0.6445137694785946,1.0,0.8400311962653677
0.65,232.45425396101314,254.78306457745765,661.8946533203125,0.9690040946006775,True,0.6268896148140597,1.0,0.8321003266663269
0.61,276.866452251312,244.52970052916706,649.28857421875,0.974950909614563,True,0.6130384528717934,1.0,0.825867303792307
0.32,598.8548898559789,170.19281117906053,638.3208618164062,0.9794186949729919,True,0.6009874765613055,1.0,0.8204443644525875
0.5650000000000001,326.83017532789813,232.99466597484022,635.6614990234375,0.9721643924713135,True,0.5980654526384124,1.0,0.8191294536872856
0.665,215.79967960215106,258.6280760955666,626.5208129882812,0.9716472029685974,True,0.5880219552498652,1.0,0.8146098798624394
0.685,193.5935804570015,263.7547581197119,623.1839599609375,0.9745573997497559,True,0.5843555264350919,1.0,0.8129599868957914
0.675,204.69663002957634,261.19141710763927,603.3082275390625,0.9781204462051392,True,0.5625166988124395,1.0,0.8031325144655979
0.315,604.4064146422662,168.9111406730242,600.925048828125,0.9842261075973511,True,0.5598981372441192,1.0,0.8019541617598537
0.325,593.3033650696915,171.47448168509686,595.49658203125,0.9732894897460938,True,0.5539335092185492,1.0,0.7992700791483471
0.57,321.2786505416109,234.2763364808765,559.1708984375,0.9638354182243347,True,0.5140199943130149,1.0,0.7813089974408568
0.64,243.55730353358786,252.219723565385,547.98388671875,0.9668341875076294,True,0.5017280588334706,1.0,0.7757776264750618
0.67,210.2481548158637,259.90974660160293,532.716552734375,0.9713817238807678,True,0.4849527939996942,1.0,0.7682287572998625
0.645,238.0057787473005,253.50139407142132,529.314208984375,0.9654936790466309,True,0.48121440604537247,1.0,0.7665464827204177
0.635,249.10882831987522,250.93805305934868,480.8650817871094,0.9619469046592712,True,0.4279800338536567,1.0,0.7425910152341455
0.32999999999999996,587.7518402834041,172.75615219113314,478.8417053222656,0.9729634523391724,True,0.4257568116400782,1.0,0.7415905652380352
0.525,371.2423736181971,222.74130192654965,465.3104553222656,0.9779172539710999,True,0.41088910110762084,1.0,0.7349000954984294
0.31,609.9579394285536,167.62947016698786,427.0999755859375,0.9835474491119385,True,0.3689046316738246,1.0,0.7160070842532211
0.615,271.31492746502465,245.8113710352034,420.9698181152344,0.9696301817893982,True,0.3621690080771284,1.0,0.7129760536347078
0.63,254.66035310616257,249.65638255331237,409.78228759765625,0.9621937870979309,True,0.34987650255780206,1.0,0.707444426151011
0.625,260.21187789244993,248.37471204727603,405.76849365234375,0.966893196105957,True,0.34546627242268246,1.0,0.7054598225902071
0.62,265.7634026787373,247.0930415412397,352.6462707519531,0.9674214124679565,True,0.2870972501280913,1.0,0.6791937625576412
0.43000000000000005,476.7213445576569,198.38956231185955,343.01239013671875,0.9661226868629456,True,0.27651184609730645,1.0,0.674430330743788
0.42500000000000004,482.27286934394425,197.10789180582324,336.00042724609375,0.9686567187309265,True,0.26880732252984996,1.0,0.6709632951384326
0.43500000000000005,471.16981977136953,199.67123281789588,308.1086730957031,0.9692448377609253,True,0.23816074317092342,1.0,0.6571723344269156
0.43999999999999995,465.6182949850823,200.9529033239322,287.79443359375,0.9709383845329285,True,0.2158400978054139,1.0,0.6471280440124363
0.44999999999999996,454.51524541250757,203.51624433600483,258.4827575683594,0.9745937585830688,True,0.18363335309471243,1.0,0.6326350088926207
0.39,521.1335428479558,188.13619826356899,243.66429138183594,0.9548701643943787,True,0.1673512900335586,1.0,0.6253080805151014
0.33499999999999996,582.2003154971169,174.03782269716947,243.0074462890625,0.9474945664405823,True,0.16662956937182957,1.0,0.6249833062173233
0.44499999999999995,460.0667701987949,202.2345738299685,227.7090301513672,0.9573400616645813,True,0.14982015244875677,1.0,0.6174190686019406
0.395,515.5820180616685,189.41786876960532,221.68170166015625,0.956391453742981,True,0.14319751409004214,1.0,0.614438881340519
0.385,526.6850676342432,186.85452775753268,220.6214141845703,0.9517075419425964,True,0.14203250366837367,1.0,0.6139146266507682
0.52,376.7938984044845,221.45963142051332,197.6491241455078,0.9600586891174316,True,0.1167912762453022,1.0,0.602556074310386
0.48,421.20609669478335,211.20626737222275,197.52955627441406,0.9714342355728149,True,0.11665989884141091,1.0,0.6024969544786349
0.38,532.2365924205305,185.57285725149637,194.38905334472656,0.95615553855896,True,0.11320921331827534,1.0,0.600944145993224
0.475,426.7576214810707,209.92459686618645,194.16339111328125,0.9671000838279724,True,0.11296126277895065,1.0,0.6008325682505279
0.485,415.654571908496,212.48793787825906,189.632568359375,0.9700259566307068,True,0.10798293770337007,1.0,0.5985923219665166
0.49,410.10304712220864,213.7696083842954,179.48651123046875,0.9689934849739075,True,0.09683477028067418,1.0,0.5935756466263035
0.4,510.0304932753811,190.69953927564165,172.71971130371094,0.9617431163787842,True,0.08939962404199785,1.0,0.5902298308188991
0.375,537.7881172068179,184.29118674546004,168.16513061523438,0.957464873790741,True,0.08439519449757364,1.0,0.5879778375239082
0.45499999999999996,448.9637206262202,204.79791484204117,165.8912811279297,0.9638951420783997,True,0.08189676043038674,1.0,0.586853542193674
0.33999999999999997,576.6487907108294,175.3194932032058,148.1544647216797,0.9479832053184509,True,0.062408106233955055,1.0,0.5780836478052798
0.37,543.3396419931053,183.0095162394237,144.01092529296875,0.9522783160209656,True,0.05785531585569007,1.0,0.5760348921350605
0.495,404.5515223359213,215.05127889033173,143.78414916992188,0.9664908647537231,True,0.05760614140742151,1.0,0.5759227636333397
0.5,398.9999975496339,216.33294939636804,131.2359619140625,0.9618467092514038,True,0.04381858919848383,1.0,0.5697183651393177
0.47,432.3091462673581,208.6429263601501,129.7326202392578,0.9534859657287598,True,0.042166764802927185,1.0,0.5689750441613173
0.505,393.44847276334656,217.61461990240437,124.87427520751953,0.9504109621047974,True,0.03682856858316277,1.0,0.5665728558624233
0.51,387.8969479770592,218.89629040844068,122.19702911376953,0.9456068873405457,True,0.03388689505366422,1.0,0.565249102774149
0.515,382.34542319077184,220.177960914477,119.2809829711914,0.9417661428451538,True,0.030682835565653828,1.0,0.5638072760045443
0.405,504.4789684890937,191.98120978167796,94.43232727050781,0.9464728832244873,True,0.003379916760779117,1.0,0.5515209625423506
0.45999999999999996,443.41219583993285,206.07958534807747,94.08080291748047,0.9428867697715759,True,0.002993672893736537,1.0,0.5513471528021815
0.46499999999999997,437.86067105364543,207.36125585411378,84.96897888183594,0.9271239042282104,True,0.0,1.0,0.55
0.365,548.8911667793926,181.7278457333874,88.63166046142578,0.9191536903381348,True,0.0,1.0,0.55
0.35,565.5457411382547,177.88283421527842,55.310935974121094,0.9156813025474548,True,0.0,1.0,0.55
0.345,571.0972659245422,176.60116370924212,84.20103454589844,0.9273955225944519,True,0.0,1.0,0.55
0.41000000000000003,498.92744370280633,193.26288028771427,73.05049133300781,0.9122744202613831,True,0.0,1.0,0.55
0.36,554.44269156568,180.4461752273511,67.22122955322266,0.897523820400238,True,0.0,0.9944973786671956,0.5469735582669576
0.42000000000000004,487.8243941302316,195.82622129978694,107.91078186035156,0.8812922835350037,True,0.018189617362472873,0.9584272967444525,0.5353203410225617
0.355,559.9942163519673,179.16450472131476,53.174949645996094,0.8762649893760681,True,0.0,0.947255531946818,0.52099054257075
0.41500000000000004,493.37591891651897,194.5445507937506,80.52750396728516,0.87019944190979,True,0.0,0.9337765375773112,0.5135770956675212
