comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
one_step_x_sup_px,px,2665,-0.0067841249857047885,0.6557369566543886,1.2426148881098393,0.9949536266420798,2.0,True
one_step_y_sup_px,px,2665,-0.0028737324226390695,0.16903624000921125,0.2867033901713631,0.9951303622651934,2.0,True
one_step_x_deep_px,px,2665,-0.029242586800612185,3.372742005207715,5.725075081297557,0.9986176668442525,2.0,False
one_step_y_deep_px,px,2665,-0.011568578787432308,0.37199103424610874,0.6048953479589122,0.9925598638379277,2.0,True
one_step_angle_deg,deg,2665,0.0016023645505833543,0.16711230606141475,0.3013109932225762,0.9980618097799612,1.0,True
one_step_length_px,px,2665,0.02647596981789694,3.164068546423519,5.167993935651766,0.9988425848983369,22.16962524654832,True
one_step_length_mm,mm,2665,0.0023884905156002965,0.2854417710029758,0.46622294045826423,0.9988425848983373,2.0,True
one_step_super_y1_px,px,2665,-0.0011527568418452105,0.2009731602670501,0.3076491828583208,0.9902978602456315,2.0,True
one_step_super_y2_px,px,2665,0.0008872073210636689,0.15964745575961323,0.24892194404548434,0.9922113880916623,2.0,True
one_step_deep_y1_px,px,2665,-0.004070149427921997,0.4373682530522666,0.7272541228894437,0.9901019677899547,2.0,True
one_step_deep_y2_px,px,2665,-0.002476840462223044,0.38667585858433073,0.622645202903617,0.9972697329271127,2.0,True
