cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,mean_lateral_span_score,hough_peak_fraction
a20.50_x400_lp750,11,30,1.0263703937939617,0.5896585294927167,20.5,0.06428243465332341,747.3621532888454,16.019896045507355,,,400.0000026188876,5.67039993640295e-06,0.3841818181818182,0.6315524080361526,0.8805681818181817,0.0
a22.00_x400_lp700,11,32,1.0231873822394986,0.5871638105029877,21.9,0.09958591954639526,699.8324255757635,15.877678980488621,,,399.9999966880527,5.330915148839606e-06,0.398,0.6376580282415737,0.8142045454545453,0.0
a17.00_x400_lp900,11,26,1.0215543927019226,0.5855390105941374,17.0,0.08999540851465279,895.8938001448828,17.477677775372314,,,399.99999853126,5.408596619953723e-06,0.3217388101362739,0.8845898044379694,0.9992045454545454,0.0
a18.00_x400_lp850,11,29,1.0205240263755577,0.5840306190205233,18.1,0.0782029569731159,846.9120406608344,15.540268044025053,,,399.99999678213766,4.01976876908462e-06,0.32315464070306305,0.8017232487479821,0.9951136363636363,0.09090909090909091
a23.75_x400_lp650,11,21,1.020201397792317,0.5831408472735284,23.7,0.04979295977319763,647.0772555520664,15.548722285979132,,,400.0000016653213,5.8665096696055565e-06,0.4078181818181818,0.6306169454705717,0.7476136363636363,0.0
a24.00_x400_lp650,11,30,1.0192083930602491,0.5826599309571391,24.0,0.07496555682941307,641.0809420530412,15.6178140824144,,,399.99999820706336,3.932648719581774e-06,0.4130909090909091,0.6051440736882369,0.739659090909091,0.0
a10.50_x400_lp1450,11,23,1.0180145673576817,0.581747494710315,10.4,0.08624393618641003,1444.8630092436163,16.064389031239713,,,400.0000033125265,7.377874068246603e-06,0.334541685465535,0.8619836522958899,0.9976136363636364,0.0
a13.75_x400_lp1100,10,16,1.0114025065944992,0.6145596574494028,13.8,0.04898979485566426,1104.0593388158622,17.418839662320874,,,400.00000253157793,4.332713014489343e-06,0.3871268829670321,0.8155941179210977,0.998625,0.0
a12.50_x400_lp1200,10,22,1.0095604081855556,0.612922579165438,12.5,0.07483314773547857,1214.5654728721129,14.924064201382695,,,400.0000028761939,6.239839793962549e-06,0.39925035058050046,0.7266570764875738,0.9981249999999999,0.0
a14.50_x400_lp1050,10,23,1.008913776147853,0.6119499303222187,14.4,0.039999999999999855,1054.3339848143164,17.88923339492691,,,399.99999510980547,7.334825696483249e-06,0.3820146588132915,0.8420880353195846,0.9987499999999999,0.2
