frame0,stage,kind,unit,n,matlab_mean,python_mean,bias_py_minus_mat,mae,rmse,max_abs,corr,dice,jaccard,different_pixels
0,apo_thres,binary,fraction/pixels,396772,0.9316181585394131,0.32399967739659047,-0.6076184811428227,0.6076184811428226,0.779498865389054,241086.0,,0.5160800812534876,0.3477816253652202,241086.0
0,apo_super,binary,fraction/pixels,396772,0.11390924762836087,0.03758581754760921,-0.07632343008075165,0.07632343008075167,0.276266954377015,30283.0,,0.4961985725931225,0.3299628285688999,30283.0
0,apo_deep,binary,fraction/pixels,396772,0.12595898904156544,0.042492917847025496,-0.08346607119453994,0.08346607119453994,0.2889049518345782,33117.0,,0.5045109744602541,0.3373551833843568,33117.0
0,fas_thres_raw,binary,fraction/pixels,396772,0.22793191051787928,0.23295242607845312,0.0050205155605738405,0.006230278346254272,0.07893211226271772,2472.0,,0.9864819047827371,0.9733244126946444,2472.0
0,fas_thres,binary,fraction/pixels,396772,0.22793191051787928,0.23295242607845312,0.0050205155605738405,0.006230278346254272,0.07893211226271772,2472.0,,0.9864819047827371,0.9733244126946444,2472.0
0,Emask,binary,fraction/pixels,396772,0.3239341485790328,0.38560684725736694,0.06167269867833414,0.06173318681761818,0.24846164053555264,24494.0,,0.9129956025375987,0.8399189595451277,24494.0
0,fascicle_masked,binary,fraction/pixels,396772,0.06328823606504491,0.07451382658050468,0.011225590515459766,0.01186575665621566,0.10893005396223605,4708.0,,0.9138927500182895,0.841438771386232,4708.0
0,super_vec,numeric,px,10,64.3,46.4,-17.9,26.3,27.171676429694212,42.0,-0.5472492096302023,,,
0,deep_vec,numeric,px,10,295.6,321.6,26.0,26.0,27.575351312358652,42.0,-0.27458073926105353,,,
0,fas_filt,numeric,Frangi response,396772,0.1186725685836277,0.11768038498375637,-0.0009921835998713358,0.0011267293272025425,0.00239911534756733,0.11734540135784684,0.999965616761647,,,
0,Emask_radius,numeric,px,2,234.5,245.5,11.0,11.0,15.556349186104045,22.0,1.0,,,
0,alpha_full_python,numeric,deg,1,19.5,19.0,-0.5,0.5,0.5,0.5,,,,
0,alphas_full_python,numeric,deg,10,18.75,16.0,-2.75,6.05,8.171597151108221,15.0,0.07304890722671233,,,
0,weights_full_python,numeric,votes,10,292.7,290.4,-2.3,3.7,5.224940191045253,10.0,0.991310833428987,,,
0,h_by_angle_full_python,numeric,votes,111,223.9189189189189,219.76576576576576,-4.153153153153153,9.18018018018018,11.697000462504045,36.0,0.9646831952828193,,,
1,apo_thres,binary,fraction/pixels,396772,0.9334025586482917,0.3240904096055165,-0.6093121490427752,0.6093121490427752,0.7805844919307424,241758.0,,0.5154548260505313,0.3472139717238921,241758.0
