stage,kind,unit,frames,mean_bias,mean_mae,mean_rmse,worst_mae,worst_rmse,worst_max_abs,mean_dice,worst_dice
apo_thres,binary,fraction/pixels,15,-0.5826311668498114,0.5826311668498113,0.7631693746251752,0.6135337170969726,0.7832839313409746,243433.0,0.5148876778239821,0.5020980671069825
apo_deep,binary,fraction/pixels,15,-0.07681170378286102,0.07681170378286102,0.2769388969094422,0.08610990694907907,0.29344489593291456,34166.0,0.5365501286268942,0.4903487574211641
apo_super,binary,fraction/pixels,15,-0.07303774795936539,0.07303774795936539,0.2702285846429261,0.07642424364622503,0.27644935096003576,30323.0,0.5054320088674026,0.4960696657969521
Emask,binary,fraction/pixels,15,0.04399503997257871,0.04536173587517936,0.21069514225690958,0.06593207181958405,0.2567724124971062,26160.0,0.9354182571403543,0.9061591993399577
fascicle_masked,binary,fraction/pixels,15,0.006666297016926601,0.007829349517271045,0.08720252900143818,0.01187079733448933,0.10895318873024933,4710.0,0.9415725556002231,0.9138927500182895
fas_thres,binary,fraction/pixels,15,0.0033179424623377305,0.006274132247235188,0.07918746044265793,0.0071754055225671165,0.08470776542069279,2847.0,0.9848907566816812,0.980831251725322
fas_thres_raw,binary,fraction/pixels,15,0.0033179424623377305,0.006274132247235188,0.07918746044265793,0.0071754055225671165,0.08470776542069279,2847.0,0.9848907566816812,0.980831251725322
super_vec,numeric,px,15,-19.85333333333333,23.14666666666666,23.811731574514493,26.3,27.171676429694212,42.0,,
deep_vec,numeric,px,15,11.62,12.833333333333336,14.511447491022832,26.0,27.575351312358652,42.0,,
h_by_angle_full_python,numeric,votes,15,-5.983183183183183,9.278078078078078,11.05255683992231,12.468468468468469,13.997425760757865,36.0,,
Emask_radius,numeric,px,15,7.833333333333333,7.833333333333333,11.078006238589246,11.75,16.617009357883866,23.5,,
alphas_full_python,numeric,deg,15,-0.8699999999999999,5.956666666666666,8.286475119188614,10.95,13.280624985293425,30.5,,
weights_full_python,numeric,votes,15,-2.5733333333333333,5.4,6.909129528414706,8.0,10.449880382090505,23.0,,
alpha_full_python,numeric,deg,15,-0.23333333333333334,0.9666666666666667,0.9666666666666667,5.5,5.5,5.5,,
fas_filt,numeric,Frangi response,15,-0.0009726052180439498,0.0010869971763744735,0.0023080816472114624,0.0012442566948585587,0.0025257337521176104,0.12214961588170341,,
