frame0,matlab_export_alpha,python_same_matlab_mask_alpha,python_rebuilt_get_fasMask_alpha,python_full_low_level_alpha
0,19.5,21.0,21.0,19.0
1,19.5,21.0,21.0,19.0
2,19.5,21.0,21.0,19.0
100,30.5,29.5,29.5,29.5
250,20.5,20.5,20.5,20.5
500,20.0,20.5,20.5,20.0
750,23.5,23.5,23.5,23.5
1000,26.5,26.5,26.5,26.5
1250,28.5,28.5,28.5,28.5
1500,32.0,32.0,32.0,32.0
1750,25.0,31.5,31.5,30.5
2000,33.5,33.5,33.5,33.5
2250,30.5,33.5,33.5,25.0
2500,32.0,34.0,34.0,32.0
2665,21.0,20.5,20.5,20.0
