variant,mode,note,start_frame,frames_evaluated,raw_vs_matlab_bias,raw_vs_matlab_mae,raw_vs_matlab_rmse,selected_vs_matlab_bias,selected_vs_matlab_mae,selected_vs_matlab_rmse,final_alpha_vs_matlab_bias,final_alpha_vs_matlab_mae,final_alpha_vs_matlab_rmse,FL_vs_matlab_bias,FL_vs_matlab_mae,FL_vs_matlab_rmse,ANG_proxy_vs_matlab_bias,ANG_proxy_vs_matlab_mae,ANG_proxy_vs_matlab_rmse,raw_vs_fulltail_rmse,selected_vs_fulltail_rmse,final_alpha_vs_fulltail_rmse,FL_vs_fulltail_rmse
baseline_current,full_tail_existing,no conditional patch,50,2616,1.1821483180428134,1.558677370030581,2.8270921997364002,1.2255351681957187,1.5451070336391437,2.811278616888355,1.069265530386718,1.0788893275397236,1.171443568294439,-1.8950737002317375,1.9132391794161139,1.9925326161314532,1.069265530386716,1.0788893275397216,1.1714435682944369,0.0,0.0,0.0,0.0
baseline_current,restart50_replayed,no conditional patch,50,2616,1.1821483180428134,1.558677370030581,2.8270921997364002,1.2255351681957187,1.5451070336391437,2.811278616888355,1.0114323006959522,1.064157387985549,1.1592719460584868,-1.7982970836357093,1.9042252047138783,1.9939714394474664,1.01143230069595,1.064157387985547,1.1592719460584844,0.0,0.0,0.17839035327499225,0.35065770049451167
oracle_overweight_to_localmax,full_tail_existing,MATLAB-aware ceiling: baseline nearest peak <=2 deg and baseline raw >5 deg too high,50,2616,0.9378822629969419,1.3373470948012232,2.307972984381768,0.13723241590214066,2.191131498470948,4.362821625763114,0.14991509666549754,0.6278943614666899,0.7928836432528007,-0.3299634811815454,1.1252299107024755,1.3474255713973622,0.1499150966654954,0.6278943614666891,0.7928836432528003,0.0,0.0,0.0,0.0
oracle_overweight_to_localmax,restart50_replayed,MATLAB-aware ceiling: baseline nearest peak <=2 deg and baseline raw >5 deg too high,50,2616,0.9378822629969419,1.3373470948012232,2.307972984381768,0.13723241590214066,2.191131498470948,4.362821625763114,0.1386384144046497,0.6292606585315854,0.8021213237662208,-0.31782791119632253,1.136649416609021,1.374166663950324,0.13863841440464758,0.6292606585315845,0.8021213237662203,0.0,0.0,0.027453980340592158,0.0595744024313421
nb90_mass10_gap4_reference,full_tail_existing,Notebook 90 broad reference: mass below alpha-10 deg >=0.25 and nearest lower-gap >=4 deg,50,2616,0.7788608562691132,1.7895642201834863,3.2346585685425704,0.4904434250764526,2.032874617737003,3.836589495925339,0.4214332020244826,0.5646984543283299,0.6990765265636868,-0.8061794254409441,1.032503087967382,1.2025385686789059,0.4214332020244803,0.5646984543283289,0.6990765265636852,0.0,0.0,0.0,0.0
nb90_mass10_gap4_reference,restart50_replayed,Notebook 90 broad reference: mass below alpha-10 deg >=0.25 and nearest lower-gap >=4 deg,50,2616,0.7788608562691132,1.7895642201834863,3.2346585685425704,0.4904434250764526,2.032874617737003,3.836589495925339,0.3991767492106696,0.5766814881222054,0.7132194275911009,-0.771427471321505,1.0677467189474954,1.254097208034287,0.39917674921066737,0.5766814881222044,0.7132194275910995,0.0,0.0,0.07477954648335727,0.17283871732664924
branch1_plus_branch2_coverage,full_tail_existing,Notebook 92 two-branch coverage union: mass_below_10deg >= 0.3 and best_upper_share <= 0.1 OR selected_is_top_family <= 0 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6,50,2616,0.9415137614678899,1.6551987767584098,2.9897569782493734,0.8790137614678899,1.7417813455657492,3.2702702382513684,0.8023787004144295,0.8990991928606402,1.0116021506426824,-1.4508379927242943,1.594843915003825,1.7232783357208075,0.8023787004144274,0.8990991928606389,1.0116021506426804,0.0,0.0,0.0,0.0
branch1_plus_branch2_coverage,restart50_replayed,Notebook 92 two-branch coverage union: mass_below_10deg >= 0.3 and best_upper_share <= 0.1 OR selected_is_top_family <= 0 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6,50,2616,0.9415137614678899,1.6551987767584098,2.9897569782493734,0.8790137614678899,1.7417813455657492,3.2702702382513684,0.777749513494409,0.9084707532492226,1.0162940691810205,-1.4118986499525903,1.625474359177659,1.7537770063537426,0.7777495134944068,0.9084707532492208,1.0162940691810185,0.0,0.0,0.0813231214102454,0.18575823698687907
