signal,bias,mae,rmse
python_timtrack_alpha_vs_matlab_geofeature_alpha,1.2303075768942235,1.5438859714928732,2.7930293147742464
python_X_minus_alpha_vs_matlab_X_minus_alpha,1.0062027908684066,1.0833504365186386,1.2189538357777905
python_forward_alpha_vs_matlab_forward_alpha,1.0068636056355142,1.0829370463591448,1.217960582984479
python_smoothed_alpha_vs_matlab_final_alpha,1.0340192333774567,1.0738455265339448,1.1661089520096926
