transform,bias,mae,rmse
identity_alpha,7.65625,8.322916666666666,10.031460927169748
complement_90_minus_alpha,40.052083333333336,40.052083333333336,40.82540314150819
negative_alpha,-49.947916666666664,49.947916666666664,50.57013487886567
abs_alpha,7.65625,8.322916666666666,10.031460927169748
