variant,n_frames,raw_alpha_rmse_deg,raw_alpha_mae_deg,nearest_peak_rmse_deg,nearest_peak_mae_deg,top_peak_rmse_deg,candidate_hit_rate_1deg,candidate_hit_rate_2deg,candidate_present_but_weighted_median_wrong_rate,mean_candidates,mean_emask_density,mean_fas_thres_density,mean_fascicle_masked_density,recomputed_vs_saved_raw_rmse_deg
matlab_literal__matlab,48,10.031460927169748,8.322916666666666,1.4825372395547662,0.8333333333333334,11.556022960632548,0.75,0.875,0.375,10.0,0.29289365176978216,0.19951183131202135,0.056984552841430336,0.0
matlab_literal__dynamic,48,6.7241015508889115,4.78125,1.0180659769058846,0.46875,8.406037017128424,0.875,0.9583333333333334,0.3125,10.0,0.3700642308429023,0.19951183131202135,0.06653427535209137,6.716739040139443
line_mask__matlab,48,10.031460927169748,8.322916666666666,1.4825372395547662,0.8333333333333334,11.556022960632548,0.75,0.875,0.375,10.0,0.29289365176978216,0.19269084848057152,0.056984552841430336,0.0
line_mask__dynamic,48,6.605710913040826,4.541666666666667,1.0180659769058846,0.46875,8.406037017128424,0.875,0.9583333333333334,0.2916666666666667,10.0,0.3700642308429023,0.19269084848057152,0.06609085318520459,7.050044326101787
