Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,speckle_zncc,speckle_confidence,forward_backward_error,valid_patch_fraction,n_valid_patches,n_total_patches,motion_consistency,motion_spread_px,n_motion_points,feature_reliability,feature_peak_score,feature_peak_count_score,feature_mask_score,feature_mask_density,geometry_stability,geometry_alpha_score,geometry_pennation_score,geometry_length_score,geometry_angle_jump_deg,geometry_angle_jump_score,geometry_length_jump_px,geometry_length_jump_score,confidence_theta,confidence_length,combined_confidence,r_scale,r_scale_theta,r_scale_length,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length,detection_success,fixed_ANG_deg,fixed_PEN_deg,fixed_FL_px,fixed_FL_mm,delta_vs_fixed_ANG_deg,delta_vs_fixed_PEN_deg,delta_vs_fixed_FL_px,delta_vs_fixed_FL_mm
0,0.0,49.330774478576465,19.783737493613177,24.70000184580087,986.6154895715292,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,first frame,False,False,False,False,,,nan,1.0,nan,nan,0.0,0.0,1.0,nan,0.0,0.8878865979381443,0.7508591065292096,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan,1.0,nan,1.0,0.9592352397939763,1.0,0.9707097128451926,0.5977507403786672,0.6604951634263543,0.5,50.0,2.0180056622060887,50.0,2.0180056622060887,0.5746717164722631,0.6604951634263543,0.5,True,24.70000184580087,19.783737493613177,986.6154895715292,49.330774478576465,0.0,0.0,0.0,0.0
1,0.041666666666666664,49.31475320442371,19.788696921621703,24.704148594287346,986.2950640884742,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,0,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.966903805732727,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8890410958904109,0.7534246575342466,1.0,1.0,nan,0.9999415761270225,1.0,1.0,1.0,0.0,1.0,0.01752767391553789,0.9997079147666076,0.9596716002629669,0.9999474183607162,0.9710165969537752,0.5962185207168152,0.6579250762162052,0.5000074350825313,50.00074350825313,2.010153295028198,50.00074350825313,2.010153295028198,0.5735568235452733,0.6579250762162052,0.5000074350825313,True,24.704148594287346,19.788696921621703,986.295064101617,49.31475320508085,0.0,0.0,-1.3142766874807421e-08,-6.571383437403711e-10
2,0.08333333333333333,49.66909960540636,19.523374983334143,24.70562512761839,993.3819921081271,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,0,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9668137431144714,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8893875838926173,0.7541946308724832,1.0,1.0,nan,0.9998659580961882,1.0,1.0,1.0,0.0,1.0,0.040215266469203925,0.9993299701291787,0.9598024889317613,0.9998793614780042,0.9711001762298157,0.5958026236985773,0.6571568649034208,0.5000258382813589,50.0025838281359,2.0078061850646254,50.0025838281359,2.0078061850646254,0.5732324242885103,0.6571568649034208,0.5000258382813589,True,24.70562512761842,19.523374983334172,993.381992128303,49.66909960641515,-2.842170943040401e-14,-2.842170943040401e-14,-2.0175889403617475e-08,-1.0087930490954022e-09
3,0.125,49.85615759815325,19.387064512569985,24.70294358656608,997.123151963065,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,0,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9672468900680542,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8897727272727272,0.7550505050505051,1.0,1.0,nan,0.9998114197792352,1.0,1.0,1.0,0.0,1.0,0.05657940127514394,0.9990574544541148,0.959947941093255,0.9998302762008885,0.9711973448456828,0.5953198605921282,0.656304643672095,0.5000431170190875,50.004311701908755,2.0052024002596824,50.004311701908755,2.0052024002596824,0.5728705086979918,0.656304643672095,0.5000431170190875,True,24.70294358656605,19.387064512569957,997.1231519943485,49.85615759971743,2.842170943040401e-14,2.842170943040401e-14,-3.128354819637025e-08,-1.5641745676475693e-09
4,0.16666666666666666,49.978373811875166,19.303079231323792,24.699165705054128,999.5674762375032,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9660161733627319,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8897881355932202,0.7550847457627119,1.0,1.0,nan,0.9997219697551422,1.0,1.0,1.0,0.0,1.0,0.08342067072953796,0.9986106215689918,0.9599537593046275,0.9997497693007366,0.9711885153551361,0.5953636945876698,0.6562705862308806,0.5000771872370895,50.00771872370895,2.005098344828218,50.00771872370895,2.005098344828218,0.5728751598985372,0.6562705862308806,0.5000771872370895,True,24.699165705054156,19.30307923132382,999.5674762921917,49.97837381460959,-2.842170943040401e-14,-2.842170943040401e-14,-5.468848485179478e-08,-2.734424242589739e-09
5,0.20833333333333334,50.05084847362496,19.249032781631996,24.698566789783825,1001.0169694724991,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,0,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9659419059753418,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8878852739726026,0.7508561643835616,1.0,1.0,nan,0.999910672134066,1.0,1.0,1.0,0.0,1.0,0.026799556771607058,0.9995534404578791,0.959234739168944,0.9999196045615717,0.9706963437753028,0.5978176730916852,0.6604981199558171,0.5000140566465011,50.001405664650115,2.018014695267232,50.001405664650115,2.018014695267232,0.5746810805712116,0.6604981199558171,0.5000140566465011,True,24.698566789783825,19.249032781631996,1001.0169695317668,50.05084847658834,0.0,0.0,-5.9267676988383755e-08,-2.9633824283337162e-09
6,0.25,50.101307088040905,19.212497450492787,24.69815535090632,1002.0261417608181,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9657714366912842,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8886479591836733,0.7525510204081632,1.0,1.0,nan,0.999808724313972,1.0,1.0,1.0,0.0,1.0,0.05738819446651178,0.9990439873637667,0.9595230495051764,0.9998278502360719,0.9708898822360705,0.596850207362851,0.6587984612416458,0.5000440447610887,50.00440447610887,2.01282174140634,50.00440447610887,2.01282174140634,0.5739584020132938,0.6587984612416458,0.5000440447610887,True,24.69815535090632,19.212497450492787,1002.0261418249381,50.10130709124691,0.0,0.0,-6.412005859601777e-08,-3.20600435088636e-09
7,0.2916666666666667,50.13074083953504,19.18678861044576,24.69891543179517,1002.6148167907007,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9670657515525818,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8875,0.75,1.0,1.0,nan,0.999716199206107,1.0,1.0,1.0,0.0,1.0,0.0851523218877901,0.9985818012308922,0.9590890366642516,0.999744575660689,0.970562706811016,0.5984875698270538,0.6613593628639762,0.5000796027423078,50.007960274230776,2.0206460439302325,50.007960274230776,2.0206460439302325,0.5750933206453741,0.6613593628639762,0.5000796027423078,True,24.69891543179517,19.18678861044576,1002.6148168670691,50.13074084335346,0.0,0.0,-7.636833743163152e-08,-3.81842113483799e-09
8,0.3333333333333333,50.177561587980406,19.157174966029288,24.694665863708394,1003.5512317596081,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9675235748291016,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8909438775510203,0.7576530612244898,1.0,1.0,nan,0.9995636595696186,1.0,1.0,1.0,0.0,1.0,0.13093069637045573,0.9978202009472242,0.9603899831343581,0.9996072850436019,0.9714806521902828,0.5939169533966435,0.6537241684081825,0.5001517577131986,50.01517577131986,1.9973182945430799,50.01517577131986,1.9973182945430799,0.5718052919385685,0.6537241684081825,0.5001517577131986,True,24.694665863708394,19.157174966029288,1003.5512318888436,50.17756159444218,0.0,0.0,-1.29235559143126e-07,-6.4617751149853575e-09
9,0.375,50.20387418081379,19.138628821663048,24.694829542862635,1004.0774836162758,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9656288623809814,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8875,0.75,1.0,1.0,nan,0.9999992138702689,1.0,1.0,1.0,0.0,1.0,0.0002358390120207332,0.9999960693575246,0.9590890366642516,0.9999992924832142,0.9706039160715825,0.5982808331294076,0.6613593628639762,0.5000000116048554,50.00000116048554,2.0206460439302325,50.00000116048554,2.0206460439302325,0.5750475537787878,0.6613593628639762,0.5000000116048554,True,24.694829542862635,19.138628821663048,1004.0774837469819,50.2038741873491,0.0,0.0,-1.3070609838905511e-07,-6.53530918270917e-09
10,0.4166666666666667,50.1189488040041,19.1986408475157,24.69882853441152,1002.3789760800819,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,0,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9676188230514526,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8902061855670103,0.7560137457044673,1.0,1.0,nan,0.9996034196858913,1.0,1.0,1.0,0.0,1.0,0.11899769186356934,0.9980186705653098,0.9601115907906282,0.9996430706388552,0.9712852909872396,0.5948836189609852,0.6553476493814389,0.5001314946318008,50.013149463180085,2.002278503153117,50.013149463180085,2.002278503153117,0.572503274565811,0.6553476493814389,0.5001314946318008,True,24.69882853441152,19.1986408475157,1002.3789762425213,50.118948812126064,0.0,0.0,-1.6243939171545208e-07,-8.12196532251619e-09
11,0.4583333333333333,50.145589822979396,19.178518660964674,24.694822874087436,1002.9117964595879,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9669213891029358,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8886678200692042,0.7525951557093425,1.0,1.0,nan,0.9997979543334892,1.0,1.0,1.0,0.0,1.0,0.06061982414587419,0.9989901798094878,0.9595305551699241,0.9998181570629938,0.970893738143786,0.5968309649246385,0.658754294151124,0.5000478166632881,50.00478166632881,2.0126867980431005,50.00478166632881,2.0126867980431005,0.5739413267119167,0.658754294151124,0.5000478166632881,True,24.694822874087407,19.178518660964645,1002.9117966456469,50.14558983228235,2.842170943040401e-14,2.842170943040401e-14,-1.8605896912049502e-07,-9.302951298195694e-09
12,0.5,50.164626166788004,19.163839431664115,24.69624180215044,1003.29252333576,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9657912850379944,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8882785467128027,0.7517301038062284,1.0,1.0,nan,0.9997695620415977,1.0,1.0,1.0,0.0,1.0,0.06913935399245474,0.9988483411021631,0.9593834242612744,0.9997926034476616,0.9707832624272661,0.5973827850810945,0.6596208323731396,0.5000582420845234,50.005824208452346,2.015334325436752,50.005824208452346,2.015334325436752,0.5743246763624581,0.6596208323731396,0.5000582420845234,True,24.696241802150467,19.163839431664144,1003.2925235363177,50.16462617681589,-2.842170943040401e-14,-2.842170943040401e-14,-2.0055767890880816e-07,-1.0027882524354936e-08
13,0.5416666666666666,50.18001017848968,19.151473822866848,24.698617375768492,1003.6002035697935,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9667770266532898,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8898195876288659,0.7551546391752577,1.0,1.0,nan,0.9999927819369074,1.0,1.0,1.0,0.0,1.0,0.002165426742863019,0.9999639102055379,0.9599656354503423,0.9999935037408721,0.9712365558110782,0.5951252789784957,0.6562010757867878,0.5000003228714331,50.00003228714331,2.004885970116745,50.00003228714331,2.004885970116745,0.5728007941352523,0.6562010757867878,0.5000003228714331,True,24.698617375768492,19.151473822866848,1003.6002037747476,50.180010188737384,0.0,0.0,-2.0495406261034077e-07,-1.0247703130517039e-08
14,0.5833333333333334,50.13501495086371,19.187420821968825,24.692005153027623,1002.7002990172742,19.0,19.0,19.0,houghpeaks,False,0.0,2.0,0,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9669793844223022,1.0,0.0,1.0,260.0,260.0,1.0,0.0,260.0,0.8890570934256055,0.7534602076124568,1.0,1.0,nan,0.9995836183550479,1.0,1.0,1.0,0.0,1.0,0.12494050675798007,0.9979198247902362,0.9596776441924,0.9996252487165364,0.9709688164219474,0.5964565500285088,0.6578895757155682,0.5001414650979884,50.01414650979884,2.0100448306286633,50.01414650979884,2.0100448306286633,0.5736182147309116,0.6578895757155682,0.5001414650979884,True,24.69221638804686,19.18763205698806,1002.6896767216338,50.13448383608169,-0.00021123501923625554,-0.00021123501923625554,0.010622295640473567,0.0005311147820208362
