frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,lateral_span_score,phi_score,pennation_score,boundary_score,length_px,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin_px,length_bin,cluster_id
0,grid_scan,24.6,24.599999999999994,850.4598228588272,145.01662851262557,-50.459834803978644,557.4898520495801,399.9999940274243,351.2532402811029,,,0.6481569821012482,0.1963882618510158,0.44243792325056436,1.0,0.886,1.0,1.0,0.99875,1.0,1.0,0.8103821830367846,990.8533643775116,,24.53844975906084,19.683735647812313,50.459834803978644,24.5,400.0,1000.0,1000.0,a24.50_x400_lp1000
0,hough_peak,24.5,24.49999999999997,852.7652215373492,145.01415192709152,-52.76522867603476,557.6881532735725,399.99999643065723,351.35115260033206,291.0,1.0,0.6453139924805903,0.18594104308390022,0.4399092970521542,1.0,0.882,1.0,1.0,0.99875,1.0,1.0,0.8026350757234334,995.1307590718767,,24.438449759060838,19.58373564781231,52.76522867603476,24.5,400.0,1000.0,1000.0,a24.50_x400_lp1000
0,grid_scan,24.4,24.399999999999977,855.0906203701885,145.0116538562961,-55.09061711407424,557.8881743541829,400.00000162805713,351.4499141052395,,,0.6450560194283632,0.18906605922551253,0.43735763097949887,1.0,0.878,1.0,1.0,1.0,1.0,1.0,0.7948957924946407,999.4483009374851,,24.338449759060836,19.48373564781231,55.0906203701885,24.5,400.0,1000.0,1000.0,a24.50_x400_lp1000
0,grid_scan,24.2,24.19999999999999,859.802514594416,145.00659208143583,-59.802499918270144,558.2934726152336,400.0000073380729,351.65003234833466,,,0.645030201256684,0.1728110599078341,0.4470046082949309,1.0,0.868,0.9965635738831615,1.0,0.99875,1.0,1.0,0.7794418875890093,1008.2060445852502,,24.138449759060837,19.28373564781231,59.80251459441604,24.25,400.0,1000.0,1000.0,a24.25_x400_lp1000
0,grid_scan,24.7,24.69999999999999,848.1741620874317,145.0190838946188,-48.174154387582576,557.2932465021634,400.00000384992455,351.1561651983911,,,0.6445482222912051,0.1797752808988764,0.4404494382022472,1.0,0.89,1.0,1.0,0.99875,1.0,1.0,0.8181368358620887,986.6155733624644,,24.638449759060837,19.78373564781231,48.17416208743168,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
0,grid_scan,24.3,24.299999999999983,857.4363018975216,145.0091339967194,-57.436267342719354,558.0899382770581,400.0000172774011,351.5495361368887,,,0.6440748568454002,0.1834862385321101,0.4380733944954128,1.0,0.872,1.0,1.0,0.99875,1.0,1.0,0.7871645836226003,1003.8065395349499,,24.23844975906084,19.383735647812312,57.436301897521616,24.25,400.0,1000.0,1000.0,a24.25_x400_lp1000
0,grid_scan,24.1,24.099999999999994,862.1895721065446,145.0040277735099,-62.18956669003008,558.4987990318295,400.0000027082572,351.75141340266975,,,0.6433445320392296,0.16435185185185186,0.44675925925925924,1.0,0.864,0.9965635738831615,1.0,0.99875,1.0,1.0,0.7717279270997517,1012.6473809279651,,24.03844975906084,19.183735647812313,62.189572106544574,24.0,400.0,1000.0,1000.0,a24.00_x400_lp1000
0,grid_scan,24.0,23.99999999999997,864.5977548723172,145.00144077167948,-64.59777230504305,558.7059437314277,399.9999912836371,351.85369225155364,,,0.6424811993991087,0.16046511627906976,0.44651162790697674,1.0,0.86,0.9965635738831615,1.0,0.99875,1.0,1.0,0.7640230007276299,1017.1311338738898,,23.938449759060838,19.08373564781231,64.59777230504305,24.0,400.0,1000.0,1000.0,a24.00_x400_lp1000
0,grid_scan,23.9,23.899999999999977,867.0273787394748,144.99883073664353,-67.02738981155709,558.9149302006012,399.99999446395884,351.9568804686224,,,0.6403562078278195,0.14754098360655737,0.44730679156908665,1.0,0.854,0.9965635738831615,1.0,0.99875,1.0,1.0,0.7563275035300858,1021.6578918837649,,23.838449759060836,18.98373564781231,67.02738981155709,24.0,400.0,1000.0,1000.0,a24.00_x400_lp1000
0,grid_scan,24.8,24.799999999999983,845.9079564997718,145.02151837678798,-45.907942260195206,557.0983155430181,400.0000071197883,351.05991695990303,,,0.6393086679043195,0.17410714285714285,0.4375,1.0,0.896,0.9347079037800687,1.0,0.99875,1.0,1.0,0.8258987001030414,982.4168585910087,,24.73844975906084,19.883735647812312,45.907956499771785,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
0,grid_scan,23.8,23.799999999999983,869.4787303353486,144.9961973604913,-69.47874082925665,559.1257861038537,399.99999475304594,352.0609917321725,,,0.6390940076656928,0.15058823529411763,0.4423529411764706,1.0,0.85,0.9965635738831615,1.0,0.99875,1.0,1.0,0.7486417206828873,1026.2282635596123,,23.73844975906084,18.883735647812312,69.47874082925665,23.75,400.0,1050.0,1050.0,a23.75_x400_lp1050
0,grid_scan,24.9,24.899999999999977,843.6609488662365,145.02393223546335,-43.66093250112511,556.9050362986566,400.0000081825557,350.96448426705996,,,0.6381442925520903,0.16666666666666666,0.43777777777777777,1.0,0.9,0.9347079037800687,1.0,0.99875,1.0,1.0,0.8336675140864649,978.2566969040535,,24.838449759060836,19.98373564781231,43.66094886623648,25.0,400.0,1000.0,1000.0,a25.00_x400_lp1000
0,grid_scan,25.0,25.0,841.4328774285667,145.02632575183986,-41.43287506173967,556.7133872608453,400.00000118341353,350.86985650634256,,,0.6369909757538705,0.1592920353982301,0.43805309734513276,1.0,0.904,0.9347079037800687,1.0,0.99875,1.0,1.0,0.8414430122389265,974.1345767060086,,24.938449759060838,20.08373564781231,41.43287742856671,25.0,400.0,950.0,950.0,a25.00_x400_lp950
0,grid_scan,17.6,17.599999999999994,1081.9120810593793,144.76798981952692,-281.91206903150004,577.3984940822631,400.0000060139396,361.08324195089506,,,0.6359451972341562,0.13993174061433447,0.4641638225255973,1.0,0.586,0.9072164948453608,1.0,0.99875,1.0,1.0,0.3089321297348956,1430.7988906865069,,17.53844975906084,12.683735647812313,281.91208105937926,17.5,400.0,1450.0,1450.0,a17.50_x400_lp1450
0,grid_scan,17.9,17.900000000000006,1067.8258425006718,144.78312202853255,-267.82579484268786,576.186846282296,400.00002382899197,360.4849841554143,,,0.6357876167540877,0.16722408026755853,0.4682274247491639,1.0,0.598,0.7766323024054983,1.0,0.9975,1.0,1.0,0.3276068523445023,1403.5934132212271,,17.838449759060836,12.98373564781231,267.8258425006718,18.0,400.0,1400.0,1400.0,a18.00_x400_lp1400
0,grid_scan,17.7,17.69999999999999,1077.156381897741,144.77309865205035,-277.1563524205849,576.9894254036583,400.0000147385781,360.8812620278543,,,0.6353789219080406,0.14915254237288136,0.4576271186440678,1.0,0.59,0.9072164948453608,1.0,0.99875,1.0,1.0,0.3151148013230255,1421.6096283605543,,17.638449759060837,12.78373564781231,277.1563818977411,17.75,400.0,1400.0,1400.0,a17.75_x400_lp1400
0,grid_scan,25.2,25.19999999999999,837.0325742897237,145.0310527984895,-37.03257150781585,556.3348898633905,400.0000013909539,350.68297133093995,,,0.6343021317766269,0.1400437636761488,0.43982494529540483,1.0,0.914,0.9347079037800687,1.0,0.99875,1.0,1.0,0.8570128272525016,966.002445898759,,25.138449759060837,20.28373564781231,37.0325742897237,25.25,400.0,950.0,950.0,a25.25_x400_lp950
0,grid_scan,10.3,10.299999999999983,1750.5117533972068,144.04974343027686,-950.5116801027199,634.908892996465,400.00003664724346,389.47931821337096,,,0.6330952372993415,0.0945945945945946,0.5135135135135135,1.0,0.296,0.7319587628865979,1.0,0.99625,1.0,1.0,0.019054239825490486,2745.2632465810225,,10.238449759060838,5.383735647812311,950.5117533972068,10.25,400.0,2750.0,2750.0,a10.25_x400_lp2750
0,grid_scan,25.1,25.099999999999994,839.2234995337608,145.02869918658882,-39.22350659668363,556.523345777617,399.9999964685386,350.7760224821029,,,0.63285401739401,0.14065934065934066,0.4351648351648352,1.0,0.91,0.9347079037800687,1.0,1.0,1.0,1.0,0.8492248578633064,970.0499918832102,,25.03844975906084,20.183735647812313,39.22350659668363,25.0,400.0,950.0,950.0,a25.00_x400_lp950
0,grid_scan,23.3,23.30000000000001,882.0724429944075,144.98266850455724,-82.07241992830764,560.2090465437205,400.0000115330499,352.59585752413886,,,0.6327470719251659,0.13526570048309178,0.4420289855072464,1.0,0.828,0.9347079037800687,1.0,0.99875,1.0,1.0,0.7103705721669716,1049.7562868207951,,23.23844975906084,18.383735647812312,82.07244299440754,23.25,400.0,1050.0,1050.0,a23.25_x400_lp1050
0,hough_peak,17.0,17.0,1111.7909586023973,144.73589229271374,-311.7909618714594,579.9685629514145,399.99999836546897,362.3522276220641,289.0,0.993127147766323,0.6325769072262301,0.12857142857142856,0.45,1.0,0.56,0.993127147766323,1.0,0.99625,1.0,1.0,0.2727692695056756,1488.6278789236546,,16.938449759060838,12.083735647812311,311.7909618714594,17.0,400.0,1500.0,1500.0,a17.00_x400_lp1500
0,grid_scan,23.7,23.69999999999999,871.9521344049082,144.99354029436392,-71.9521125426144,559.3385361437025,400.0000109311469,352.1660382190332,,,0.6321510833996675,0.1347517730496454,0.4397163120567376,1.0,0.846,0.9347079037800687,1.0,0.99875,1.0,1.0,0.7409659841869858,1030.8428604743588,,23.638449759060837,18.78373564781231,71.95213440490818,23.75,400.0,1050.0,1050.0,a23.75_x400_lp1050
0,grid_scan,23.4,23.400000000000006,879.5076892009421,144.98542370356148,-79.5076941066345,559.9884385704769,399.9999975471538,352.48693113701916,,,0.6319625367889686,0.1346153846153846,0.43990384615384615,1.0,0.832,0.9347079037800687,1.0,0.99875,1.0,1.0,0.7180026215349871,1044.9583760940945,,23.338449759060836,18.48373564781231,79.5076941066345,23.5,400.0,1050.0,1050.0,a23.50_x400_lp1050
0,grid_scan,17.8,17.799999999999983,1072.4613591295642,144.77814230266853,-272.46132715743806,576.5855771642566,400.0000159860631,360.6818597334626,,,0.6318613446474202,0.16498316498316498,0.45791245791245794,1.0,0.594,0.7766323024054983,1.0,0.99875,1.0,1.0,0.3213399560815324,1412.541926064919,,17.73844975906084,12.883735647812312,272.46135912956424,17.75,400.0,1400.0,1400.0,a17.75_x400_lp1400
0,hough_peak,23.5,23.5,876.9662821252401,144.98815382224274,-76.96627733347441,559.7698355530483,400.00000239588286,352.37899468764556,272.0,0.9347079037800687,0.6308414982400986,0.11933174224343675,0.4439140811455847,1.0,0.838,0.9347079037800687,1.0,1.0,1.0,1.0,0.7256461046321925,1040.2072733330072,,23.438449759060838,18.58373564781231,76.96628212524013,23.5,400.0,1050.0,1050.0,a23.50_x400_lp1050
