metric,key,unit,n_valid,mean_delta,mean_abs_delta,median_abs_delta,rmse_delta,max_abs_delta
ANG,ANG_deg,deg,728,-0.0033448490396409,0.003344849039641056,0.003790887691806688,0.003654969269066618,0.004938585410457108
PEN,PEN_deg,deg,728,-0.0033448490396409,0.003344849039641056,0.003790887691806688,0.003654969269066618,0.004938585410457108
FL,FL_mm,mm,728,0.00860497892472566,0.008604979107829848,0.00973261462754138,0.009399453590422834,0.012693027607916463
