cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,mean_lateral_span_score,hough_peak_fraction
a24.75_x400_lp1000,11,22,1.0739172619820194,0.6358100925886923,24.7,0.044536177141512964,1001.5817159635434,8.016856510740654,,,400.0000010099154,8.095795244560161e-06,0.43974115452989176,0.9735339195671346,0.9987499999999998,0.0
a24.50_x400_lp1000,11,33,1.0734631020194092,0.6357788390035677,24.6,0.06428243465332341,1010.3557048501907,8.240706328734898,,,400.00000048931525,6.426038610870614e-06,0.4382181280634295,0.9928946532562677,0.9993181818181818,0.18181818181818182
a25.00_x400_lp1000,11,27,1.071879432158707,0.6345964614031838,25.0,0.0953462589245606,988.725126120219,6.4808325278839245,,,400.00000263503074,6.187215096024598e-06,0.43756660801315433,0.9215843446039098,0.9987499999999998,0.0
a24.25_x400_lp1000,11,14,1.0713092070171075,0.6330320412067579,24.3,0.03856946079199405,1023.4670988614174,7.611559790484353,,,400.0000019649166,4.065307753338625e-06,0.434194277205537,0.9922698485077516,0.9987499999999998,0.0
a23.75_x400_lp1050,11,22,1.0703751731553044,0.632381291418853,23.8,0.03856946079199405,1047.1757517216313,9.877832381669878,,,399.99999475304594,5.514550457226803e-06,0.43324253656800094,0.9711522531380532,0.9987499999999998,0.0
a25.50_x400_lp950,11,25,1.0690583314886932,0.6306872023421731,25.5,0.03856946079199405,971.7713926887479,6.859853101120072,,,400.0000053173609,8.658593178583266e-06,0.43039545259139095,0.8402456569841231,0.9987499999999998,0.18181818181818182
a21.75_x400_lp1150,11,22,1.067713287693298,0.6299644297320246,21.7,0.04810456929208415,1153.4419694994608,10.312405223078626,,,400.00000040101975,8.858462021500841e-06,0.43711375831278915,0.896534026820821,0.9987499999999998,0.0
a26.00_x400_lp950,11,33,1.066682320879011,0.6283770944125396,26.0,0.03856946079199405,952.2143986152374,7.38707454150966,,,400.0000006403057,6.562713527916373e-06,0.4362770417008883,0.8194523321344996,0.999431818181818,0.0
a25.75_x400_lp950,11,22,1.0665697703715755,0.6283751256092631,25.7,0.03856946079199405,963.5729176248919,8.27172817478208,,,400.00000716391276,6.357514896309499e-06,0.43185992332974477,0.8402456569841231,0.9987499999999998,0.0
a23.50_x400_lp1050,11,33,1.0658712790067368,0.6288766445598912,23.6,0.09359663764533768,1056.8367231952384,9.067462401981903,,,400.0000015504771,8.183828745009717e-06,0.4273000193548562,0.9342488040563065,0.9987499999999998,0.09090909090909091
a18.75_x400_lp1350,11,22,1.0642170513703564,0.6266161423847957,18.8,0.028747978728803858,1362.937163688778,14.593051518905387,,,399.99999713685037,8.789434880974273e-06,0.425892950352706,0.9856931599224602,0.9980681818181818,0.0
a23.25_x400_lp1050,11,14,1.0641702543250493,0.6253798330640596,23.3,0.0,1071.3199860935374,9.67662991208297,,,400.00000770151973,4.902916794949795e-06,0.42116661726856636,0.9342488040563065,0.9987499999999998,0.0
a26.25_x400_lp950,11,19,1.0631594666164341,0.6246532605271882,26.2,0.028747978728803858,944.0344618902001,7.3506746894224095,,,399.9999981269896,6.146013746677451e-06,0.43320772585005485,0.815664453346621,0.9987499999999998,0.0
a21.50_x400_lp1150,11,25,1.0622255079589193,0.6246771165910522,21.6,0.06555547773570983,1164.701113301252,9.123992619349075,,,400.00000108185094,7.418220067864798e-06,0.43031235496772896,0.899840164177104,0.9980681818181817,0.18181818181818182
a15.75_x400_lp1650,11,11,1.0601626886157811,0.623300174803041,15.8,0.044536177141512964,1672.314579451197,17.974101155438397,,,399.99999838807554,1.0151409443974153e-05,0.42357471078578524,0.9137077729137768,0.9969318181818181,0.0
a15.00_x400_lp1750,11,11,1.0575831737432322,0.6211051161774046,15.1,0.08907235428302433,1766.621257184948,13.923962788094805,,,400.00000950430194,9.15308616931639e-06,0.4448035624506213,0.8794277657334256,0.9969318181818181,0.0
a22.25_x400_lp1100,11,14,1.0562897566209912,0.6182144555377836,22.3,0.044536177141512964,1124.2263933251083,8.271802991698163,,,400.0000002116529,8.247069617889406e-06,0.425932400932401,0.7843746670873138,0.9987499999999998,0.0
a20.25_x400_lp1250,11,19,1.0561848077304707,0.6183939090009839,20.2,0.028747978728803858,1255.6706265495347,13.073133567496821,,,400.0000020040087,7.3686873892084245e-06,0.4262421002981997,0.8716988372169038,0.9980681818181817,0.0
a22.75_x400_lp1100,11,19,1.055682843859521,0.6178180757305841,22.7,0.04810456929208415,1097.4690642915746,9.385123881772214,,,399.99999847157403,5.534566592717045e-06,0.42252286094923686,0.757718633491885,0.9985227272727272,0.0
a26.75_x400_lp900,11,15,1.0552492370634468,0.6169404498154217,26.8,0.04810456929208415,922.1368629075513,5.832970929066241,,,400.00000032771595,4.19786043555947e-06,0.41515179138996827,0.7271911053272379,0.9987499999999998,0.0
a19.25_x400_lp1300,11,14,1.0549232115902398,0.61723616998305,19.3,0.044536177141512964,1322.4947834633258,11.377878799839943,,,399.999998683566,1.0415015947965384e-05,0.422056260457334,0.8923688990059234,0.9987499999999998,0.0
a20.00_x400_lp1250,11,25,1.0541608334564032,0.6172130893541748,20.0,0.06428243465332341,1263.1345585973156,14.132857637640768,,,399.99999529198567,1.196989144937699e-05,0.42382343209010637,0.8837582064191302,0.9976136363636363,0.45454545454545453
a21.00_x400_lp1200,11,28,1.0534157046441728,0.6165570984535587,21.1,0.09359663764533768,1195.940519824672,10.155688451833838,,,399.9999974926182,6.75601677970984e-06,0.4401987382348623,0.7506913038016638,0.9986363636363635,0.0
a19.50_x400_lp1300,11,28,1.0528726636055978,0.6154595221876314,19.4,0.044536177141512964,1307.823375440638,13.56908031362791,,,400.0000056602428,8.250236927537946e-06,0.42282410655269675,0.854297534321086,0.9987499999999998,0.0
a22.50_x400_lp1100,11,33,1.0526612817434304,0.6162074589321583,22.4,0.08813963377120723,1118.6862268312498,14.267076106429858,,,399.99999539561736,9.694825007261167e-06,0.4255100416850175,0.7463065120159105,0.9987499999999998,0.0
a20.75_x400_lp1200,11,22,1.0523304652529293,0.6149075734053407,20.8,0.04810456929208415,1215.5611557106065,12.920134132558125,,,400.00000796271723,8.21728904232878e-06,0.4353757543029413,0.7659446313847673,0.9979545454545455,0.0
a27.00_x400_lp900,11,33,1.0516939270652002,0.6145509735355383,27.0,0.08999540851465278,915.0225850255152,8.457106400360631,,,400.000004831882,7.909802863760036e-06,0.41024137063550564,0.7118951575711856,0.9987499999999998,0.0
a27.25_x400_lp900,11,22,1.0508090570389572,0.6127481698499255,27.3,0.04810456929208415,904.0270042143351,7.816171401011734,,,400.00000407645933,5.234645918626781e-06,0.4096771514159478,0.7075353889882444,0.9963636363636362,0.0
a27.50_x400_lp900,11,33,1.050098761201695,0.6109497546912103,27.4,0.0,900.5646949010385,6.807947916123081,,,399.99999827877815,5.88299895195618e-06,0.4062386591364548,0.7056915048280302,0.9946590909090911,0.0
a17.50_x400_lp1450,11,17,1.0471653980216469,0.6094347869682255,17.6,3.552713678800501e-15,1471.376345522218,18.15511157262786,,,399.9999982100952,5.521732161087457e-06,0.40312499668849955,0.8721094868275917,0.9969318181818182,0.0
a18.25_x400_lp1400,11,19,1.0465781412744772,0.6090718858906476,18.3,0.044536177141512964,1406.0415011654725,12.824168586720836,,,399.99999941419026,8.377515021727794e-06,0.41262728718181324,0.8661276719733391,0.9977272727272729,0.0
a14.00_x400_lp1900,11,11,1.046471568406583,0.610297897313258,14.1,0.08907235428302433,1921.9496102151575,16.359054568115763,,,400.00000901461834,5.69123123781272e-06,0.40182628826202527,0.8623847359570779,0.9957954545454545,0.0
a17.00_x400_lp1500,11,17,1.0463500582213647,0.6091860084169707,17.1,0.028747978728803854,1522.0336653949485,18.0879249682388,,,400.0000002058101,1.0321273765166776e-05,0.4071597321247888,0.9467812108106742,0.99625,0.09090909090909091
a27.75_x400_lp900,11,19,1.0424687269671709,0.6038617984943391,27.7,0.028747978728803858,890.3512079359045,6.544895620735773,,,400.0000049327082,5.674068824498981e-06,0.3983636363636364,0.7032177880685991,0.9817045454545453,0.0
a28.25_x400_lp850,11,22,1.0398739094483593,0.6017936264086619,28.3,0.04979295977319763,871.0125730497862,7.3908621187071075,,,400.0000022026738,5.0289497413672914e-06,0.4029090909090909,0.6606907099914195,0.9569318181818179,0.0
a28.50_x400_lp850,11,33,1.0396528994988885,0.6021698644287801,28.4,0.08907235428302593,861.5689148097464,5.884142753847828,,,399.9999980801561,6.2134992337640305e-06,0.40672727272727277,0.6526154703937829,0.9487500000000003,0.0
a28.75_x400_lp850,11,22,1.036367619319938,0.5981981955259306,28.7,0.04979295977319763,855.4567917167375,6.677736084227754,,,399.999995931445,6.095153596524821e-06,0.40418181818181825,0.6536184559731587,0.9360227272727273,0.0
a29.25_x400_lp850,11,22,1.0351071828359877,0.5958498125515345,29.2,0.0,842.9052712695341,5.941037724375323,,,400.0000018426513,4.902387518725758e-06,0.40199999999999997,0.6455962510306914,0.917159090909091,0.0
a29.00_x400_lp850,11,33,1.034495086754556,0.5972298125515345,28.9,0.09359663764533768,846.2992979342393,6.902344352574818,,,399.9999995979037,5.0079067237384305e-06,0.4020000000000001,0.6455962510306915,0.9264772727272728,0.0
