variant,final_alpha_vs_matlab_bias,final_alpha_vs_matlab_mae,final_alpha_vs_matlab_rmse,FL_vs_matlab_bias,FL_vs_matlab_mae,FL_vs_matlab_rmse,ANG_vs_matlab_bias,ANG_vs_matlab_mae,ANG_vs_matlab_rmse
baseline_current,1.0340201556450028,1.0738467267014231,1.1661119329346932,-1.8087794248192086,1.9281097324046388,2.0116464767411335,1.0340201556449953,1.073846726701416,1.1661119329346865
sqrt_weights,1.0351437804996195,1.07496566877842,1.1670904275984126,-1.810650633452155,1.92998005379627,2.0132216993558485,1.0351437804996115,1.0749656687784124,1.1670904275984053
dedup_gap1_sum,1.1759114285093353,1.213280321045587,1.315830835718691,-2.033610283471274,2.1471864871517075,2.228439578265929,1.1759114285093273,1.2132803210455798,1.3158308357186834
dedup_gap2_sum,1.3755049708658194,1.4094649615910255,1.544813830946535,-2.3570122707689833,2.4637157603301323,2.574884352695182,1.3755049708658114,1.4094649615910173,1.5448138309465274
top_peak_family_5deg,0.6729844271731428,0.7295729786957957,0.8796741600456769,-1.2027257530250766,1.3435739161956375,1.513712448232545,0.6729844271731347,0.7295729786957891,0.8796741600456707
dominant_window_8deg,1.5010052153570523,1.5359633196988112,1.6636534553018685,-2.5478282287134193,2.6560191659432317,2.7375331124403726,1.5010052153570441,1.5359633196988036,1.6636534553018614
dedup1_plus_dominant8,1.460946789238016,1.4961162774146215,1.626680029888036,-2.4778181469779264,2.5864600038588765,2.6726534720249133,1.460946789238008,1.4961162774146144,1.6266800298880286
