Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,77.20313263960081,-14.400000422526404,-14.400000422526404,1218.1953868181588,-10.5,-10.5,3,False,first frame,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.09090909090909091,77.30977734987177,-14.369854355171412,-14.378113533604193,1219.8781435877202,-10.5,-10.5,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.18181818181818182,77.24866029308733,-14.371094246510893,-14.372974934073255,1218.9137718830348,-14.0,-14.0,4,False,raw alpha jump 3.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.2727272727272727,77.29414428290809,-14.38359440173602,-14.375709798840319,1219.6314679748812,-11.0,-11.0,7,False,raw alpha jump 3.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.36363636363636365,77.48306035559831,-14.35715118117237,-14.350431842116109,1222.6123921987898,-14.0,-14.0,7,False,raw alpha jump 3.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.45454545454545453,77.38956679459065,-14.365105671058963,-14.347525926591658,1221.137148632594,-14.5,-14.5,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.5454545454545454,77.04040620243823,-14.408518806133102,-14.38850091836889,1215.6277112810767,-15.0,-15.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.6363636363636364,76.98290738906235,-14.411248629266128,-14.4087289874644,1214.7204321745537,-14.0,-14.0,8,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.7272727272727273,77.00515084896992,-14.398419990012616,-14.39250000573685,1215.0714137904524,-15.0,-15.0,5,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.8181818181818182,77.0082034021843,-14.392424693520901,-14.390017803460125,1215.1195803106002,-15.0,-15.0,7,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.9090909090909091,76.95510220435591,-14.395927379221831,-14.396502859030704,1214.28169158747,-15.0,-15.0,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
11,1.0,76.98525844043411,-14.387554578295493,-14.391274447679251,1214.7575296320963,-14.0,-14.0,1,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,1.0909090909090908,76.91352473696585,-14.407599034299608,-14.425537491376076,1213.6256368752008,-15.0,-15.0,1,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,1.1818181818181819,77.10986589268231,-14.390680168369585,-14.399870918031127,1216.723722172502,-14.5,-14.5,2,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
14,1.2727272727272727,77.95580321629213,-14.244723367352247,-14.239817432608135,1230.0718456219665,-16.0,-16.0,7,False,raw alpha jump 1.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
15,1.3636363636363635,78.95862345082679,-14.137708707408194,-14.13860097400331,1245.8954390663005,-15.0,-15.0,2,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
16,1.4545454545454546,79.54662599275903,-14.020802999396562,-14.016554410110444,1255.1735856845607,-14.0,-14.0,2,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
17,1.5454545454545454,80.38146024836837,-13.954089118786243,-13.958389744545514,1268.3465127947672,-15.0,-15.0,9,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
18,1.6363636363636365,81.13063557394634,-13.828568647679333,-13.844462757036041,1280.16781970724,-18.0,-8.5,1,True,raw alpha jump 6.50deg; selected candidate -18.00deg near previous -15.00deg,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
19,1.7272727272727273,82.05142156824004,-13.673928053184682,-13.69384547262058,1294.69698727006,-18.0,-12.5,3,True,raw alpha jump 5.50deg; selected candidate -18.00deg near previous -18.00deg,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
20,1.8181818181818181,82.43480373917413,-13.683124903241605,-13.688633320354171,1300.7464100855877,-18.5,-12.5,5,True,raw alpha jump 5.50deg; selected candidate -18.50deg near previous -18.00deg,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
