comparison,n,bias,mae,rmse,corr
final_FL_mm,2666,-0.5357648080633762,1.4583161030174483,1.7551973229680593,0.9854697522588544
final_PEN_deg,2666,0.25563133955753475,0.7224165048127162,0.8853617878534307,0.9848774960809802
final_ANG_deg,2666,0.3053172720575098,0.7353905168161274,0.8936726954351027,0.986478776455607
timtrack_alpha_deg,2666,0.4377344336084021,0.8375843960990248,2.0101486697303272,0.933033031017021
timtrack_phi_vs_python_pen_deg,2666,0.4127442408237909,0.8915705741565174,2.0228368635275302,0.9266599554629179
timtrack_formula_faslen_px,2666,-10.901087139052683,19.975458211796585,51.21378171286998,0.9106189652304786
timtrack_gamma_deep_apo_deg,2666,0.04935886743557531,0.056800723371843644,0.09028816975650546,0.9838190927583017
timtrack_betha_super_apo_deg,2666,0.02499024766626968,0.11083396707786894,0.230326033305247,0.8483066633099883
timtrack_super_pos_y1,2666,1.3560072450544922,1.6071876077127256,2.303976773623428,0.8213579878525162
timtrack_super_pos_y2,2666,1.0482073221007813,1.1852938050237256,1.5024829397181707,0.88536799621818
timtrack_deep_pos_y1,2666,0.3833921318166244,0.43120340896025977,0.6870310830665368,0.9940903416955782
timtrack_deep_pos_y2,2666,-0.22438926685000693,0.32582408501395543,0.4744140625522652,0.9987680228776781
