frame_idx,time_s,theta_deg,theta_sigma_deg,PEN_deg,FL_mm,FL_sigma_mm,combined_confidence,R_scale,median_zncc,valid_fraction,out_of_plane_score,median_dx_px,median_dy_px,epsilon_f_median,epsilon_perp_median,gamma_fperp_median,epsilon_f_sigma_median,strain_rate_f_median_s,fit_residual_median_px
30,0.8997930475990522,17.458308770042606,0.25,19.273499166282363,76.00649969367991,0.25,1.0,1.0,0.9994761943817139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.9297861491856872,17.468585837767876,0.25,19.28276190714996,75.96912716176554,0.25,1.0,1.0,0.9979705810546875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.9597792507723223,17.47782009937046,0.25,19.29113806136425,75.92892443167676,0.25,1.0,1.0,0.9979138970375061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.9897723523589574,17.48524079585613,0.25,19.294303443154575,75.90606823754439,0.25,1.0,1.0,0.9978179931640625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0197654539455925,17.489270412932655,0.25,19.296648287012886,75.89703324776578,0.25,1.0,1.0,0.9988073110580444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0497585555322275,17.49047185315561,0.25,19.29479152518371,75.89676294448975,0.25,1.0,1.0,0.9983459711074829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0797516571188626,17.48857620649852,0.25,19.290547815780997,75.89943796026307,0.25,1.0,1.0,0.9988985061645508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.1097447587054976,17.48441535281364,0.25,19.289478735778317,75.8987862845579,0.25,1.0,1.0,0.9987231492996216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.1397378602921329,17.483761954052284,0.25,19.29472678334372,75.88133160111379,0.25,1.0,1.0,0.9983513355255127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.169730961878768,17.47491414225874,0.30509126961968513,19.34932241283508,75.59856583329473,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9029300212860107,1.0,0.22119921445846558,0.0,0.0,-0.002783493371680379,0.0026252316311001778,0.007557766046375036,0.0012022755108773708,-0.09280445250519552,0.3113228380680084
40,1.199724063465403,17.82949451314275,0.456526411145418,19.475820597521732,74.54854962730552,0.456526411145418,0.5168166160583496,3.3346618251730433,0.8608762621879578,1.0,0.483183354139328,2.0,0.0,-0.00978423748165369,0.006274095270782709,0.026535099372267723,0.0029492483008652925,-0.3262162618758157,0.5467568039894104
41,1.229717165052038,18.204486433023874,0.4704322643438543,19.532718921506813,73.4719379529229,0.4704322643438543,0.495926171541214,3.5409042453709763,0.8657349348068237,1.0,0.5040738582611084,2.0,-1.0,-0.008486578240990639,0.007221734616905451,0.027088314294815063,0.0029020209331065416,-0.2829510051328689,0.5393792986869812
42,1.259710266638673,18.531354570726393,0.4962298701137551,19.730139748011993,72.28812959947594,0.4962298701137551,0.4577910602092743,3.939905343889828,0.8491700887680054,1.0,0.5422089695930481,3.0,-1.0,-0.011853395029902458,0.005791356787085533,0.033658694475889206,0.003437171457335353,-0.39520404369197787,0.6009742021560669
43,1.289703368225308,19.06131003045732,0.48924032497677716,20.268511762950425,70.60345378250686,0.48924032497677716,0.4680509865283966,3.829697529334121,0.8082627058029175,1.0,0.531948983669281,3.0,0.0,-0.010043791495263577,0.012331342324614525,0.020034480839967728,0.003775394754484296,-0.3348700522435829,0.6566638350486755
44,1.319696469811943,19.373503731061874,0.4863107715222753,20.51870184990517,69.3314013460785,0.4863107715222753,0.4723665416240692,3.783970663977451,0.8379797339439392,1.0,0.5276334285736084,3.0,-1.0,-0.010956183075904846,0.007380288559943438,0.02094740979373455,0.003534620860591531,-0.3652900999337435,0.6153002977371216
45,1.3496895713985784,19.630687014793324,0.47343210062478475,20.800272595496494,68.15406998891409,0.47343210062478475,0.49145233631134033,3.586207262431941,0.8448129892349243,1.0,0.5085476636886597,3.0,-1.0,-0.011034727096557617,0.005922524258494377,0.02582094818353653,0.0038245683535933495,-0.3679088361263275,0.7210636138916016
46,1.3796826729852134,19.926797486357202,0.4479416495188909,21.017865050438473,67.21039666037846,0.4479416495188909,0.5298481583595276,3.2104275419792785,0.859679102897644,1.0,0.4701518714427948,3.0,0.0,-0.008825061842799187,0.006775347050279379,0.02244468964636326,0.0038694082759320736,-0.2942363869007677,0.6712183356285095
47,1.4096757745718485,20.25849494290881,0.41491490876066656,21.21126279661462,66.28989285859974,0.41491490876066656,0.5811360478401184,2.7544701041899557,0.8643864393234253,1.0,0.418863981962204,3.0,0.0,-0.009035277180373669,0.009115838445723057,0.018307803198695183,0.003103534458205104,-0.3012451764708385,0.5993974804878235
48,1.4396688761584835,20.477084987928322,0.40927736670704,21.42915080913062,65.56881011002935,0.40927736670704,0.5901064276695251,2.680127406378382,0.8626946210861206,1.0,0.40989357233047485,3.0,0.0,-0.009726467542350292,0.007662163581699133,0.01593117229640484,0.003049852093681693,-0.3242901543295011,0.5927547216415405
49,1.4696619777451185,20.800142513004744,0.42233004343398817,21.667215305951373,64.58209959854933,0.42233004343398817,0.5694419145584106,2.8538026493912696,0.8462836146354675,1.0,0.43055808544158936,2.0,0.0,-0.009945698082447052,0.007896171882748604,0.018472643569111824,0.0032527996227145195,-0.3315995197668672,0.5714110732078552
50,1.4996550793317536,21.00124885407888,0.3990755853547182,21.841058635316074,63.9080571719933,0.3990755853547182,0.6065306663513184,2.5481811652193755,0.8670094013214111,1.0,0.39346933364868164,2.0,0.0,-0.0063016898930072784,0.00514956284314394,0.014233722351491451,0.0029197174590080976,-0.21010464272275567,0.5819242000579834
51,1.5296481809183886,21.116502805906407,0.32569442418965844,21.960286307260816,63.4533286473301,0.32569442418965844,0.735948920249939,1.697229727171731,0.8702577352523804,1.0,0.26405107975006104,1.0,0.0,-0.004567145369946957,0.002963194390758872,0.010045653209090233,0.0023571939673274755,-0.1522731937794015,0.5185664296150208
52,1.5596412825050239,21.218249619498607,0.30509126961968513,22.037085946707748,63.15920635210325,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9030309915542603,1.0,0.22119921445846558,1.0,0.0,-0.005081612151116133,0.003331409767270088,0.008640985935926437,0.001578716328367591,-0.169426030730363,0.38022202253341675
53,1.589634384091659,21.354930762160166,0.31795932745302913,22.159878455641206,62.73264916327733,0.31795932745302913,0.7514904141426086,1.6175701426301217,0.8840587735176086,1.0,0.24850958585739136,1.0,0.0,-0.005292179062962532,0.00473341578617692,0.00979563593864441,0.0021405320148915052,-0.1764465421382338,0.4869849383831024
54,1.619627485678294,21.48617197716476,0.30509126961968513,22.277351554601296,62.372650495214295,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.8945960998535156,1.0,0.22119921445846558,1.0,0.0,-0.00482105603441596,0.003823893377557397,0.007515170145779848,0.0018313699401915073,-0.16073882924346253,0.4286381006240845
55,1.649620587264929,21.641321076634057,0.30509126961968513,22.425868349254557,61.99031686345388,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.8969451785087585,0.9953703880310059,0.22119921445846558,1.0,0.0,-0.005097443703562021,0.004279682878404856,0.007182914763689041,0.001977579900994897,-0.16995387052046135,0.4597001373767853
56,1.679613688851564,21.75798281701475,0.3106502371643076,22.559768618612623,61.655473356878865,0.3106502371643076,0.7667496800422668,1.544057117603849,0.8865535855293274,0.9953703880310059,0.23325030505657196,2.0,0.0,-0.004474146757274866,0.0038712790701538324,0.008200417272746563,0.002139074495062232,-0.1491725270343013,0.4889947772026062
57,1.709606790438199,21.830560739415205,0.32570427030140214,22.640809479732155,61.465057776813474,0.32570427030140214,0.7359294891357422,1.697332347081101,0.8672237396240234,0.9953703880310059,0.2640704810619354,1.0,0.0,-0.004211298190057278,0.003918150905519724,0.006268457509577274,0.0021144154015928507,-0.1404088929546997,0.4644593596458435
58,1.7395998920248343,21.958768296359636,0.3056581585584433,22.78277135317589,61.14349258570282,0.3056581585584433,0.7775521278381348,1.4948305582934154,0.8915526270866394,1.0,0.22244787216186523,1.0,0.0,-0.0038501634262502193,0.003809885121881962,0.005910034757107496,0.0018698605708777905,-0.12836829879460857,0.4293050467967987
59,1.7695929936114694,22.086164310110064,0.30591867916613746,22.9071037458921,60.88384621957612,0.30591867916613746,0.7769798636436462,1.4973798122040662,0.881508469581604,1.0,0.22302012145519257,1.0,0.0,-0.0036317643243819475,0.002634212141856551,0.004236991051584482,0.001958332257345319,-0.12108665433921852,0.45643743872642517
60,1.7995860951981044,22.189965798038173,0.30509126961968513,23.01266230574774,60.653992391503415,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9042818546295166,1.0,0.22119921445846558,1.0,0.0,-0.00321320747025311,0.002650827867910266,0.004330174997448921,0.0015278529608622193,-0.10713155026570895,0.370561420917511
61,1.8295791967847395,22.269755743498138,0.30509126961968513,23.12536053746888,60.459009661431054,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.8896342515945435,1.0,0.22119921445846558,1.0,0.0,-0.0014698466984555125,0.003808635752648115,0.004374100361019373,0.0019314924720674753,-0.049006158773205244,0.4444305896759033
62,1.8595722983713745,22.307785825196788,0.31569477337263097,23.192382127902135,60.36200404836207,0.31569477337263097,0.7561535239219666,1.5946110389567494,0.8825522065162659,0.9953703880310059,0.24384647607803345,2.0,0.0,-0.0033417583908885717,0.004401756450533867,0.006500802002847195,0.0021413154900074005,-0.11141756651061588,0.47650882601737976
63,1.8895653999580095,22.395908444431626,0.30631771724152657,23.29402796158854,60.10529522296313,0.30631771724152657,0.7761052250862122,1.5012887023369572,0.8867467045783997,0.9953703880310059,0.22389478981494904,1.0,0.0,-0.0027517168782651424,0.0032356777228415012,0.006244354881346226,0.0020413275342434645,-0.09174499243823812,0.4735637903213501
64,1.9195585015446446,22.436849921195034,0.30509126961968513,23.346656480084675,59.985816607125464,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9187097549438477,1.0,0.22119921445846558,1.0,0.0,-0.001981278182938695,0.0020361123606562614,0.0047036646865308285,0.0015452345833182335,-0.06605779589735904,0.36814212799072266
65,1.9495516031312798,22.48652234670186,0.25604687403714527,23.383752526605406,59.889384893023404,0.25604687403714527,0.9300285577774048,1.0489600272670998,0.9182136058807373,0.9953703880310059,0.06997141987085342,1.0,0.0,-0.0015332390321418643,0.0018025486497208476,0.0022731369826942682,0.0009680200600996614,-0.0511197225706419,0.2582046091556549
66,1.9795447047179149,22.5434056429541,0.30509126961968513,23.40954309535593,59.87630432988474,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.8705507516860962,0.9953703880310059,0.22119921445846558,1.0,0.0,-0.0007505930261686444,0.0020934161730110645,0.003067782148718834,0.0021355547942221165,-0.025025522085488774,0.47030067443847656
67,2.0095378063045497,22.600360092707632,0.30509126961968513,23.457223810646553,59.77507365698458,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9011490345001221,1.0,0.22119921445846558,1.0,0.0,-0.001992776058614254,0.001828485750593245,0.0031941095367074013,0.0015448956983163953,-0.06644114657025785,0.3887329399585724
68,2.039530907891185,22.629816180589074,0.27056856605113294,23.4791698861614,59.75804297148516,0.27056856605113294,0.8691116571426392,1.1713175829594604,0.9271625280380249,0.9953703880310059,0.13088835775852203,1.0,0.0,-0.0012257997877895832,0.0013104042736813426,0.0031908024102449417,0.0012307503493502736,-0.04086939072469249,0.3198711574077606
69,2.0695240094778202,22.667876128242256,0.2986991414587221,23.571653350082073,59.66575190478191,0.2986991414587221,0.793229877948761,1.4275388337308428,0.9213001132011414,0.9953703880310059,0.2067701369524002,1.0,0.0,-0.0013809428783133626,0.001713828998617828,0.0032206440810114145,0.001186744193546474,-0.04604201650584582,0.3003217875957489
70,2.099517111064455,22.74798816340234,0.30509126961968513,23.61861166703605,59.4935735187732,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9010446071624756,1.0,0.22119921445846558,1.0,0.0,-0.0021450091153383255,0.004105517640709877,0.0047524780966341496,0.0018198619363829494,-0.07151674891449511,0.4165549874305725
71,2.1295102126510903,22.851131116872608,0.3400178873299278,23.694314984644365,59.33384555887844,0.3400178873299278,0.7084876298904419,1.8497946192689199,0.867707371711731,1.0,0.2915123403072357,2.0,0.0,-0.0028276049997657537,0.004010513424873352,0.004450762178748846,0.0027442441787570715,-0.09427517829719,0.600990891456604
72,2.159503314237725,22.987772294534125,0.3321478168563975,23.79685430217785,59.134684574446986,0.3321478168563975,0.7233856916427612,1.7651547558795357,0.8731837272644043,1.0,0.27661430835723877,2.0,0.0,-0.004823058377951384,0.005578374955803156,0.005279473960399628,0.002199324080720544,-0.16080558937927708,0.47833940386772156
73,2.1894964158243604,23.115540289509198,0.3217727730781751,23.915691711669126,58.934445328788875,0.3217727730781751,0.7437572479248047,1.6566034799107001,0.8900631070137024,0.9953703880310059,0.2562427520751953,2.0,0.0,-0.0035756498109549284,0.005378141067922115,0.007957016117870808,0.0022266837768256664,-0.11921574034704827,0.5109410285949707
74,2.219489517410995,23.261074529161363,0.3431511066864687,24.037836933208325,58.638745402062355,0.3431511066864687,0.7026714086532593,1.8840429123223714,0.8723393678665161,0.9953703880310059,0.29732856154441833,2.0,0.0,-0.005249884910881519,0.004563161637634039,0.00821394007652998,0.0027888366021215916,-0.17503641281370075,0.6188759207725525
75,2.2494826189976305,23.36103157601906,0.32387860167154825,24.116820993525494,58.41015455605171,0.32387860167154825,0.7395470142364502,1.6783575779314788,0.8769563436508179,1.0,0.2604530155658722,2.0,0.0,-0.003650655271485448,0.002959574107080698,0.005959703121334314,0.0026100610848516226,-0.12171649740659632,0.5956836342811584
76,2.2794757205842657,23.404299772548853,0.30509126961968513,24.176281715814667,58.26749075766701,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9018135666847229,1.0,0.22119921445846558,1.0,0.0,-0.00359397497959435,0.003847624873742461,0.006907991599291563,0.0016503706574440002,-0.11982671979465523,0.3921012580394745
77,2.3094688221709005,23.44390852762868,0.30509126961968513,24.234282537187994,58.1218062054287,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9248408079147339,0.9953703880310059,0.22119921445846558,1.0,0.0,-0.002081578830257058,0.0022479393519461155,0.0038497382774949074,0.0012528763618320227,-0.06940191977960057,0.33214566111564636
78,2.339461923757536,23.469549975866187,0.2502765906629967,24.268190979259572,58.086176423114715,0.2502765906629967,0.9851206541061401,1.0022139493422912,0.9514970779418945,0.9953703880310059,0.014879345893859863,1.0,0.0,-0.0017121080309152603,0.0010306561598554254,0.0018670980352908373,0.0008452054462395608,-0.057083393858745696,0.2305055856704712
79,2.3694550253441706,23.452277239404566,0.2566110085778431,24.189932265272603,58.17075221036658,0.2566110085778431,0.9267966151237488,1.0535873555734057,0.9431812763214111,1.0,0.07320338487625122,1.0,0.0,-0.0008687887457199395,0.0008273511193692684,0.0017630393849685788,0.0008074567303992808,-0.0289662855710485,0.22144100069999695
80,2.399448126930806,23.421382700071774,0.30509126961968513,24.234268904243066,58.201660972871494,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9473891258239746,1.0,0.22119921445846558,1.0,0.0,-0.002288407413288951,0.0007936964393593371,0.0014922932023182511,0.000976680894382298,-0.07629779156646692,0.25208166241645813
81,2.4294412285174407,23.424047170118456,0.30277686714985286,24.26413252136723,58.215868149920716,0.30277686714985286,0.7839487791061401,1.4667813004972743,0.936455488204956,1.0,0.21605122089385986,1.0,0.0,-0.001364810625091195,0.001031470368616283,0.0016952401492744684,0.0011146602919325233,-0.04550415105116554,0.31044214963912964
82,2.459434330104076,23.468993756171187,0.30509126961968513,24.31593409921851,58.17026028701836,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9318537712097168,1.0,0.22119921445846558,1.0,0.0,-0.0015862074214965105,0.001444577588699758,0.0015852221986278892,0.0011200287844985723,-0.052885741640115155,0.3178274929523468
83,2.4894274316907112,23.513526652944506,0.30509126961968513,24.414358442296106,58.14608754026972,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.8995385766029358,1.0,0.22119921445846558,1.0,0.0,-0.0013290428323671222,0.0016422341577708721,0.001146232127211988,0.001979399938136339,-0.044311617073952224,0.45121437311172485
84,2.519420533277346,23.540465891350635,0.30509126961968513,24.47117255545274,58.167334205409134,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9158002138137817,1.0,0.22119921445846558,1.0,0.0,-0.001640682341530919,0.0027751915622502565,0.0027345784474164248,0.001609512371942401,-0.05470198994898237,0.38726016879081726
85,2.5494136348639813,23.550248192530177,0.30509126961968513,24.49564303164081,58.1560460431227,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9232378005981445,1.0,0.22119921445846558,1.0,0.0,-0.001475293654948473,0.0012230018619447947,0.0021145774517208338,0.0011803039815276861,-0.04918776574963704,0.3165881335735321
86,2.579406736450616,23.533946109514176,0.30509126961968513,24.48249975088092,58.18394011463568,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9510310888290405,1.0,0.22119921445846558,1.0,0.0,-0.0007807287038303912,0.001136296079494059,0.0021057419944554567,0.0008102281717583537,-0.026030275714409072,0.2145395129919052
87,2.6093998380372514,23.530954653709387,0.25586521929936124,24.462928073868454,58.23621558505358,0.25586521929936124,0.9310999512672424,1.0474721671537637,0.9492559432983398,1.0,0.06890002638101578,0.0,0.0,-0.0012577971210703254,0.001533891074359417,0.002918131183832884,0.0007449542754329741,-0.04193621381360572,0.21991750597953796
88,2.639392939623886,23.61771264778477,0.30509126961968513,24.42941826446193,58.22366204741932,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9326809644699097,1.0,0.22119921445846558,1.0,0.0,-0.0027774737682193518,0.003102856921032071,0.004302785731852055,0.0013156149070709944,-0.09260375290620142,0.3338005542755127
89,2.6693860412105215,23.654955423098727,0.30509126961968513,24.34453865209437,58.28645276270678,0.30509126961968513,0.7788007855415344,1.4892909247704225,0.9035776853561401,1.0,0.22119921445846558,1.0,0.0,-0.00263657933101058,0.002494145417585969,0.004028400871902704,0.0014017577050253749,-0.08790619147522376,0.36486509442329407
90,2.6993791427971567,23.74003825277768,0.31105980998900185,24.363134207914953,58.14535266928904,0.31105980998900185,0.7658779621124268,1.5481312862463028,0.9001870155334473,1.0,0.23412203788757324,1.0,0.0,-0.004860496614128351,0.005511333234608173,0.00944081787019968,0.0021040979772806168,-0.16205381761165336,0.4590562582015991
91,2.7293722443837916,24.10758903323685,0.4020066798612996,24.858106440606434,57.14212815087766,0.4020066798612996,0.6017852425575256,2.585749930449687,0.8625456094741821,1.0,0.39821478724479675,3.0,0.0,-0.010383364744484425,0.00933679286390543,0.013915094546973705,0.003010449931025505,-0.3461917639458552,0.5991142392158508
92,2.759365345970427,24.351267287038468,0.3990755853547182,25.19707140896699,56.422314997248925,0.3990755853547182,0.6065306663513184,2.5481811652193755,0.8787703514099121,1.0,0.39346933364868164,2.0,0.0,-0.00819412712007761,0.00863935798406601,0.015918493270874023,0.002638958627358079,-0.2732003923105076,0.543988823890686
93,2.7893584475570616,24.617175197996033,0.39951892312470205,25.444167197848145,56.165180322934354,0.39951892312470205,0.6058114767074585,2.5538459189555454,0.8665167093276978,1.0,0.3941884934902191,3.0,0.0,-0.008478011004626751,0.007343353237956762,0.01431918703019619,0.003736058948561549,-0.2826653649052605,0.7286058664321899
94,2.819351549143697,24.964695548430967,0.3970949852631064,25.83525039298712,55.33219603513976,0.3970949852631064,0.609749972820282,2.5229508371377065,0.880730390548706,1.0,0.390250027179718,2.5,0.0,-0.011167091317474842,0.009554969146847725,0.01643921434879303,0.002753871027380228,-0.3723219916159287,0.5703401565551758
95,2.8493446507303317,25.19498089130508,0.3990755853547182,26.081001159134786,54.74164861470862,0.3990755853547182,0.6065306663513184,2.5481811652193755,0.8673551082611084,1.0,0.39346933364868164,2.0,0.0,-0.009061483666300774,0.0076981838792562485,0.01653037592768669,0.0023699584417045116,-0.3021189269181341,0.4873568117618561
96,2.879337752316967,25.463706798627783,0.37847430472403815,26.26405989206779,54.36565533329453,0.37847430472403815,0.6405720114707947,2.2918847893815055,0.8927121758460999,0.9953703880310059,0.3594279885292053,2.0,0.0,-0.009257680736482143,0.007589402142912149,0.013873976655304432,0.002421812154352665,-0.30866033343505117,0.518955409526825
97,2.9093308539036022,25.74448557430796,0.3196731916243466,26.45649788088022,53.900483269846255,0.3196731916243466,0.747996985912323,1.6350551910927393,0.8903757929801941,0.9953703880310059,0.2520030438899994,1.0,0.0,-0.008141464553773403,0.006237578112632036,0.010302778333425522,0.0022523892112076283,-0.271444569687359,0.476184219121933
98,2.939323955490237,25.991402606914278,0.34341273855566135,26.658064946031715,53.272190137082866,0.34341273855566135,0.7021884918212891,1.8869169440367841,0.9016759991645813,1.0,0.29781150817871094,2.0,0.0,-0.008763241581618786,0.007542252540588379,0.013108713552355766,0.002298132050782442,-0.29217523757275193,0.5269251465797424
