time_s,python_time_s,python_frame,matlab_FL_mm,python_normal_FL_mm,python_adaptive_FL_mm,matlab_ANG_deg,python_normal_ANG_deg,python_adaptive_ANG_deg
0.029993091648583443,0.02999310158663507,1,72.30705044734124,75.44999663865008,75.44999667601715,18.520488637203375,17.599421687872507,17.599421687872507
0.05998618329716689,0.05998620317327014,2,72.3041431985567,75.44977333990742,75.44977339362055,18.520433447527072,17.59877204991443,17.598772049914402
0.08997927494575034,0.08997930475990522,3,72.30361344229226,75.45806147243692,75.45806169766264,18.519919797703597,17.594911159512947,17.594911159512947
0.11997236659433377,0.11997240634654029,4,72.30634400456518,75.46890319699098,75.46890360858578,18.51758253797967,17.59091197180362,17.59091197180362
0.1499654582429172,0.14996550793317537,5,72.31269435103422,75.48379266436984,75.48376503229991,18.514816747320342,17.585575821102907,17.58558340484413
0.17995854989150065,0.17995860951981044,6,72.32170149472275,75.50079569059311,75.50073561244119,18.511249455710093,17.579798518889078,17.57981486100894
0.2099516415400841,0.2099517111064455,7,72.3316822289853,75.480978575679,75.48088608198947,18.507505032136702,17.573962976319564,17.57398807708401
0.23994473318866755,0.23994481269308057,8,72.31229981154782,75.464873946498,75.4647816560511,18.50318897195092,17.569674699244047,17.569699800008465
0.269937824837251,0.26993791427971564,9,72.29563333136117,75.45645836931472,75.45636612109182,18.499978791062166,17.568567900182813,17.56859300094723
0.2999309164858344,0.29993101586635074,10,72.28822717813655,75.43115466152848,75.43106254599418,18.4992046034117,17.566945104432392,17.56697020519684
0.32992400813441786,0.3299241174529858,11,72.26940828709601,75.40709314050487,75.40700118256817,18.49794396912492,17.565405205546796,17.565430306311242
0.3599170997830013,0.3599172190396209,12,72.25316654788656,75.39173591833638,75.39164403627058,18.497087625454768,17.563947745337373,17.56397284610182
0.3899101914315848,0.38991032062625597,13,72.24426328006865,75.37830186045069,75.37821003896524,18.495858377753443,17.5629185668067,17.562943667571147
0.4199032830801682,0.419903422212891,14,72.23671685452085,75.36459222193493,75.36450046582274,18.494969592929685,17.562384407713694,17.56240950847811
0.44989637472875166,0.4498965237995261,15,72.22922317935888,75.3543022039936,75.35421049480736,18.494493820724575,17.56180524482886,17.56183034559328
0.4798894663773351,0.47988962538616114,16,72.22403370473043,75.34542325442969,75.3453315831902,18.493861350382964,17.561604038666815,17.56162913943126
0.5098825580259185,0.5098827269727962,17,72.21972839350939,75.34529581610428,75.34520421629483,18.493498044315924,17.559012022247913,17.55903712301236
0.539875649674502,0.5398758285594313,18,72.22073263822699,75.34321941402209,75.34312786509241,18.490869149449782,17.557298894889612,17.55732399565406
0.5698687413230854,0.5698689301460664,19,72.21411490873213,75.34473843247802,75.34464697605132,18.48964939200422,17.553798191655716,17.553823292420162
0.5998618329716688,0.5998620317327015,20,72.21135043671083,75.34683815338795,75.34674674491082,18.486982464794167,17.551512326497033,17.55153742726148
