run,method,variable,unit,n,matlab_mean,python_mean,bias_python_minus_matlab,mae,rmse,max_abs_diff,pearson_r,lins_ccc
revised,normal,FL_mm,mm,2666,55.21521649079192,53.440446110475804,-1.774770380316117,2.1120082283260437,2.549415784288532,5.827917132132221,0.9810227350885807,0.9638297635110519
revised,normal,ANG_deg,deg,2666,25.526129336451522,26.53240942048791,1.0062800840363928,1.1382501483270169,1.3936508783645936,4.276030785395683,0.9831480776454206,0.9586570721093448
revised,adaptive,FL_mm,mm,2666,55.21521649079192,53.341436744734224,-1.8737797460577066,2.1358586239072137,2.5935711745177605,6.037670985165249,0.9817130130132746,0.9624788167363617
revised,adaptive,ANG_deg,deg,2666,25.526129336451522,26.581804284435258,1.0556749479837335,1.1532228179869364,1.406780344188131,4.2518953943713385,0.9843280754738954,0.9578599338895045
