method,variable,before_mae,before_rmse,before_lins_ccc,after_mae,after_rmse,after_lins_ccc,rmse_change_after_minus_before,mae_change_after_minus_before
normal,FL_mm,2.4127482644670337,2.8670338416244565,0.9545664501743828,2.1120082283260437,2.549415784288532,0.9638297635110519,-0.3176180573359244,-0.30074003614099
normal,ANG_deg,1.3211708846781467,1.5992462684182551,0.9467899300177918,1.1382501483270169,1.3936508783645936,0.9586570721093448,-0.20559539005366156,-0.18292073635112982
adaptive,FL_mm,2.416540645492415,2.8856284220266506,0.9539141481821952,2.1358586239072137,2.5935711745177605,0.9624788167363617,-0.29205724750889006,-0.2806820215852013
adaptive,ANG_deg,1.326266691258359,1.600611016354061,0.9466874762787358,1.1532228179869364,1.406780344188131,0.9578599338895045,-0.19383067216592997,-0.17304387327142257
