quantity,matlab,python,delta_python_minus_matlab
x_sup_px,733.0,751.600376227138,18.600376227137986
y_sup_px,54.41875511875512,55.87288172493649,1.4541266061813687
x_deep_px,-27.0,-45.60036368757524,-18.60036368757524
y_deep_px,309.01343161343175,308.75985258913965,-0.2535790242920939
angle_deg,18.520488637203357,17.599999999999994,-0.9204886372033627
length_px,801.5101055504098,836.349711396757,34.83960584634724
seed_alpha_deg,18.520488637203357,17.6,-0.9204886372033556
