variant,description,FL_rmse_mm,PEN_rmse_deg,ANG_rmse_deg,passes_final_gate
image_alpha_py_masks_matlab_klt_prior_matlab_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + MATLAB raw KLT prior + MATLAB aponeuroses,10.319853907791343,4.298033109955752,4.298033109955752,False
strict_image_timtrack_prior_python_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + Python TimTrack prior + Python aponeuroses,12.234559926337592,5.269087616071836,5.640524615692619,False
