variant,description,comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
image_alpha_py_masks_matlab_klt_prior_matlab_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + MATLAB raw KLT prior + MATLAB aponeuroses,image_alpha_py_masks_matlab_klt_prior_matlab_apo_FL_mm,mm,2666,9.701860927073417,9.702014987038213,10.319853907791343,0.9737768792663145,2.0,False
image_alpha_py_masks_matlab_klt_prior_matlab_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + MATLAB raw KLT prior + MATLAB aponeuroses,image_alpha_py_masks_matlab_klt_prior_matlab_apo_PEN_deg,deg,2666,-4.184578250645781,4.184623884946729,4.298033109955752,0.9770189487125193,1.0,False
image_alpha_py_masks_matlab_klt_prior_matlab_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + MATLAB raw KLT prior + MATLAB aponeuroses,image_alpha_py_masks_matlab_klt_prior_matlab_apo_ANG_deg,deg,2666,-4.184578250645781,4.1846238849467285,4.298033109955752,0.9794263689787989,1.0,False
strict_image_timtrack_prior_python_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + Python TimTrack prior + Python aponeuroses,strict_image_timtrack_prior_python_apo_FL_mm,mm,2666,9.211440069923581,9.423108251698109,12.234559926337592,0.5736811308135124,2.0,False
strict_image_timtrack_prior_python_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + Python TimTrack prior + Python aponeuroses,strict_image_timtrack_prior_python_apo_PEN_deg,deg,2666,-3.9557700272763725,4.009870701638273,5.269087616071836,0.6153137616228801,1.0,False
strict_image_timtrack_prior_python_apo,image-derived TimTrack alpha + Python-geofeature KLT masks + Python TimTrack prior + Python aponeuroses,strict_image_timtrack_prior_python_apo_ANG_deg,deg,2666,-4.31336161153643,4.364144524673925,5.640524615692619,0.6260467997279474,1.0,False
