comparison,n,bias,mae,rmse,corr,unit,target_rmse,passes
saved_peak_stream_rebuild,2666,0.0,0.0,0.0,0.9999999999999999,deg,1e-09,True
image_alpha_entry_vs_saved,2666,-4.345273818454614,4.6734808702175545,6.201488399133804,0.5684551016812569,deg,1.0,False
image_alpha_peaks_vs_saved,2666,-4.345273818454614,4.6734808702175545,6.201488399133804,0.5684551016812569,deg,1.0,False
image_top_peak_alpha_vs_saved_top,2666,-3.9444861215303826,5.996999249812453,8.078977656237978,0.18930344900357152,deg,,True
image_top_peak_weight_vs_saved_top,2666,17.010877719429857,24.356714178544635,29.676645713847215,0.3726363731467534,hough weight,,True
