method,variable,unit,n,matlab_mean,python_mean,bias_python_minus_matlab,bias_95ci_low_block_bootstrap,bias_95ci_high_block_bootstrap,mae,rmse,pearson_r,lins_ccc,equivalence_margin,equivalent_by_block_bootstrap_ci
normal,FL_mm,mm,2666,55.21521649079192,53.1204024263045,-2.0948140644874202,-2.5657059500128385,-1.7611770229376367,2.4127482644670337,2.8670338416244565,0.9782908708806607,0.9545664501743829,5.0,True
normal,ANG_deg,deg,2666,25.526129336451522,26.718270424087986,1.1921410876364664,0.9959692665643076,1.443821055594289,1.3211708846781467,1.5992462684182553,0.9801716577177724,0.9467899300177918,5.0,True
normal,PEN_deg,deg,2666,26.95886582910092,28.068302903622964,1.1094370745220472,0.9166429491021367,1.3491243650572668,1.2610887163630429,1.5244742585482798,0.9775796506062322,0.945171523572112,5.0,True
adaptive,FL_mm,mm,2666,55.21521649079192,53.04457741675775,-2.1706390740341694,-2.6138495388620724,-1.8315308698838262,2.416540645492415,2.8856284220266506,0.9794578853275082,0.9539141481821951,5.0,True
adaptive,ANG_deg,deg,2666,25.526129336451522,26.756414775908954,1.230285439457434,1.050252757376681,1.4618256252562396,1.326266691258359,1.600611016354061,0.981828541934264,0.9466874762787358,5.0,True
adaptive,PEN_deg,deg,2666,26.95886582910092,28.106447255443932,1.1475814263430149,0.9696140591764979,1.374104982197995,1.2564621376912575,1.5240957202731737,0.979407451083768,0.9451597006218283,5.0,True
