variable,unit,n,mean_adaptive_minus_normal,median_adaptive_minus_normal,mae_adaptive_minus_normal,rmse_adaptive_minus_normal,max_abs_adaptive_minus_normal
FL_mm,mm,2666,-0.07582500954674896,-0.026161245105775777,0.10838709935369147,0.15297379004524184,0.4085348275489338
ANG_deg,deg,2666,0.038144351820967676,0.015202882960693387,0.058834013982042986,0.08126524129919135,0.22322536018620553
PEN_deg,deg,2666,0.038144351820967676,0.015202882960693387,0.058834013982042986,0.08126524129919135,0.22322536018620553
