metric,key,unit,n_valid,mean_delta,mean_abs_delta,median_abs_delta,rmse_delta,max_abs_delta
ANG,ANG_deg,deg,89,1.9280792860213742,1.9280792860213742,2.0091226738541366,2.3204235055844924,4.221861831589706
PEN,PEN_deg,deg,89,1.9280792860213742,1.9280792860213742,2.0091226738541366,2.320423505584493,4.221861831589706
FL,FL_mm,mm,89,-4.772861952032508,4.772861952032508,5.641128214610866,5.740224074995752,8.962948139463819
