variant,FL_RMSE_mm,PEN_RMSE_deg,ANG_RMSE_deg,passes_final_targets,prior_angle_RMSE_vs_MATLAB_final_deg,prior_angle_RMSE_vs_Python_TimTrack_deg,prior_xsup_RMSE_vs_MATLAB_raw_px,prior_length_RMSE_vs_MATLAB_raw_mm,seed_alpha_deg,target_score,seed_xsup,seed_ysup,seed_xdeep,seed_ydeep
calibrated_seed_17.40,1.7662564697568925,0.8786176323745741,0.8863115421915571,True,2.7351922002816678,3.5600465171507722,13.538941308196494,3.4748126227469007,17.4,0.8863115421915571,756.7351000034016,55.9891218545973,-50.7350968278758,309.0349428785875
calibrated_seed_17.35,1.7748984932783114,0.8766836176937575,0.8840486813771627,True,2.7060554215668295,3.553038549995502,13.64594787411626,3.3967933918183495,17.35,0.8874492466391557,757.8732753203527,56.016154684044864,-51.87327846192263,308.99952035484154
calibrated_seed_17.45,1.759705044672509,0.8815305919900397,0.8895397197768935,True,2.768031867569199,3.5700979092303537,13.528618542130985,3.560514288244504,17.45,0.8895397197768935,755.6026932421499,55.96222603425545,-49.60267448963455,309.07018616135264
calibrated_seed_17.30,1.7855534798714212,0.8757021281397975,0.8827263552996448,True,2.680536010062226,3.5489556107026714,13.848381451821302,3.3270198458781506,17.3,0.8927767399357106,759.0172562634592,56.04332540305953,-53.0172738637997,308.96391689483477
calibrated_seed_17.50,1.7551973233928713,0.8853617878534313,0.8936726954351034,True,2.8042631308881503,3.5830608782033395,13.613277946586104,3.6530501595301677,17.5,0.8936726954351034,754.4759862932572,55.93546559029468,-48.47598892348395,309.10525090412074
calibrated_seed_17.55,1.75279404283203,0.890141975337552,0.8987399191817396,True,2.8439826523262757,3.5990353759926808,13.790663235740743,3.7518407931271067,17.55,0.8987399191817396,753.3549595679739,55.908840057462044,-47.35497043864417,309.1401392758103
calibrated_seed_17.25,1.7982240893559436,0.8756992608272581,0.8823712626235762,True,2.6588158740889543,3.5478544996483974,14.143711163198837,3.2662247760656973,17.25,0.8991120446779718,760.1671156627366,56.0706357414287,-54.16710347933426,308.92813186225146
calibrated_seed_17.60,1.7524584954183848,0.8958184678582715,0.9046885817373519,True,2.8869393271859005,3.617936397754577,14.054483694815497,3.8561695841581445,17.6,0.9046885817373519,752.2395784407616,55.882348613365565,-46.23956498378934,309.1748529586084
calibrated_seed_17.20,1.8128857303212602,0.8766802427528428,0.882989372799266,True,2.6409369442816852,3.549721224577188,14.528583695096607,3.2152471935213067,17.2,0.9064428651606301,761.3228536574884,56.09808570246096,-55.322859855431794,308.892162376844
calibrated_seed_17.65,1.7542014951330798,0.9023837242532969,0.9115108516785605,True,2.933064317950122,3.639760049214577,14.400141751418621,3.965578745550239,17.65,0.9115108516785605,751.1297611560793,55.855989316227465,-45.129765555555174,309.209392170474
