variant,angle_RMSE_vs_MATLAB_raw_deg,angle_RMSE_vs_MATLAB_final_deg,x_sup_RMSE_vs_MATLAB_raw_px,x_deep_RMSE_vs_MATLAB_raw_px,length_RMSE_vs_MATLAB_raw_mm
main_control_matlab_raw_prior,0.0179955392482541,1.0698896675265568,0.18659811841703183,0.24669132869434418,0.03536596865582029
strict_one_step_python_timtrack_seed,2.5165425481754458,2.243266397424428,106.18216269382313,80.56091025495776,5.872221096945549
strict_python_cumulative_calibrated_seed_17.40deg,1.7044121021839758,2.7351922002816678,13.538941308196494,29.463081953903078,3.4748126227469007
cumulative_rebuilt_seed_near_matlab_saved_geofeature_alpha0_18p5,3.2796204484042373,4.087463854188025,26.799445425639718,47.45781157083934,6.216602492714065
cumulative_rebuilt_seed_matlab_raw_initial_angle_control,3.318260429859411,4.121769878765197,27.165431330565006,47.8215041485977,6.274905136922005
cumulative_python_timtrack_seed,4.263541130471532,4.978891364886514,35.81422445863495,56.37528231829657,7.637611329916478
cumulative_rebuilt_seed_python_timtrack_alpha0,4.263541130548961,4.978891364945021,35.81422445765965,56.37528232575373,7.637611330671047
