variant,FL_RMSE_mm,PEN_RMSE_deg,ANG_RMSE_deg,passes_final_targets,prior_angle_RMSE_vs_MATLAB_final_deg,prior_angle_RMSE_vs_Python_TimTrack_deg,prior_xsup_RMSE_vs_MATLAB_raw_px,prior_length_RMSE_vs_MATLAB_raw_mm
main_control_matlab_raw_prior,1.1460703752806933,0.4751401833295715,0.5094966221305933,True,1.0698896675265568,2.514222846482917,0.18659811841703183,0.03536596865582029
strict_python_cumulative_calibrated_seed_17.40deg,1.7662564697568925,0.8786176323745741,0.8863115421915571,True,2.7351922002816678,3.5600465171507722,13.538941308196494,3.4748126227469007
cumulative_rebuilt_seed_near_matlab_saved_geofeature_alpha0_18p5,2.0643605034927015,1.1224118819862106,1.1338414280990436,False,4.087463854188025,4.409221728139821,26.799445425639718,6.216602492714065
cumulative_rebuilt_seed_matlab_raw_initial_angle_control,2.0771720058420136,1.1296200355577926,1.141068212916048,False,4.121769878765197,4.435741832583866,27.165431330565006,6.274905136922005
cumulative_python_timtrack_seed,2.422119491872769,1.3128924427514879,1.3245200350393016,False,4.978891364886514,5.134555333939493,35.81422445863495,7.637611329916478
cumulative_rebuilt_seed_python_timtrack_alpha0,2.4221194953153296,1.3128924429167268,1.3245200352515343,False,4.978891364945021,5.134555333823487,35.81422445765965,7.637611330671047
strict_one_step_python_timtrack_seed,3.9532939040324373,2.0571061224401888,2.067603617570513,False,2.243266397424428,2.3790508222435087,106.18216269382313,5.872221096945549
