method,variable,unit,before_bias,after_bias,before_mae,after_mae,mae_change_after_minus_before,before_rmse,after_rmse,rmse_change_after_minus_before,rmse_percent_change,before_lins_ccc,after_lins_ccc,ccc_change_after_minus_before
normal,FL_mm,mm,-1.793345385870895,-1.808791611010859,1.9120032954237862,1.9281208748226457,0.016117579398859494,1.9953959084098687,2.0116571332303375,0.016261224820468767,0.8149372639250995,0.9781586860058824,0.977783373616695,-0.00037531238918742105
normal,ANG_deg,deg,1.0340207411810447,1.034019233377449,1.0738468399503196,1.0738455265339377,-1.313416381876209e-06,1.1661094152876308,1.1661089520096855,-4.6327794533951305e-07,-3.9728514259979764e-05,0.9711518432061506,0.971151865386758,2.2180607461841362e-08
normal,PEN_deg,deg,0.965913574647629,0.9659120668440333,1.0083600049219552,1.0083586559882662,-1.3489336889715986e-06,1.0945904788804743,1.094590007163528,-4.717169463930304e-07,-4.309529047571227e-05,0.9711182293948811,0.9711182540462999,2.465141879515187e-08
adaptive,FL_mm,mm,-1.884983269493204,-1.8995787539100222,1.9975893985745667,2.013007791263576,0.015418392689009242,2.0802961517772154,2.0957119992140014,0.015415847436786034,0.7410410014754938,0.9763043752732844,0.975935383987148,-0.00036899128613643306
adaptive,ANG_deg,deg,1.0893324875927735,1.0893326297589956,1.1267254287246486,1.126725972302382,5.43577733269629e-07,1.2219686233418752,1.2219702780029094,1.6546610341894308e-06,0.00013540945344932146,0.9685211802727038,0.968521113205793,-6.706691080271554e-08
adaptive,PEN_deg,deg,1.0212253210593576,1.0212254632255802,1.0612296615766692,1.0612302059966048,5.444199355775226e-07,1.1495272685958287,1.1495288085020579,1.5399062291976406e-06,0.00013395995652009786,0.9683528097585049,0.9683527447643264,-6.499417848360167e-08
