comparison,unit,n,bias,mae,rmse,max_abs,pearson_r,lins_ccc
raw_klt_x_superficial,px,2666,15.968457995277268,15.968457995277268,16.103269672502627,21.808938822433902,0.985873329138136,0.5373695741772355
raw_klt_y_superficial,px,2666,2.191043597412589,2.191362373781074,2.603738302389727,5.729786849792291,0.8801774513906253,0.6288757062846874
raw_klt_x_deep,px,2666,-9.48493001713626,9.553325286286622,10.315669382473866,25.700190973871187,0.9993244609017224,0.9955474625241754
raw_klt_y_deep,px,2666,-3.863349395633786,3.8635660589677725,4.454967280830106,9.250336720533028,0.8938332928857021,0.6588383866416672
raw_klt_angle,deg,2666,-1.4887613658052181,1.4887613658052181,1.597109110543861,3.513461738764363,0.9978808456763492,0.9423747644835411
raw_klt_segment_length,px,2666,20.386411347856015,20.386970463943722,21.14650137536512,38.867866535943335,0.9988527437081308,0.9813130120419667
forward_state_x,px,2666,1.3807443836984705,4.868116578929856,6.129491598826353,18.671830311163262,0.8078137013069325,0.7739289284049367
forward_state_alpha,deg,2666,1.0068636056355142,1.0829370463591448,1.217960582984479,2.6619248997595584,0.9944350930152744,0.9689309190167056
smoothed_state_x,px,2666,0.08944150034215748,4.501622881939827,5.638040694212225,18.670375561216815,0.8420616177597879,0.7988280794966964
smoothed_state_alpha,deg,2666,1.03401923337746,1.073845526533948,1.1661089520096954,2.241191237342399,0.9973002906714804,0.9711518653867575
