variant,final_alpha_vs_matlab_bias,final_alpha_vs_matlab_mae,final_alpha_vs_matlab_rmse,FL_vs_matlab_bias,FL_vs_matlab_mae,FL_vs_matlab_rmse,ANG_vs_matlab_bias,ANG_vs_matlab_mae,ANG_vs_matlab_rmse
weighted_median_current,1.0340201556450028,1.0738467267014231,1.1661119329346932,-1.8087794248192086,1.9281097324046388,2.0116464767411335,1.0340201556449953,1.073846726701416,1.1661119329346865
weighted_mean,-0.6376748388771792,0.6378443098349142,0.7312831133079305,1.0838764013353808,1.0893470290281166,1.2648801636337743,-0.6376748388771872,0.6378443098349221,0.7312831133079377
weighted_q25,-3.2220240639938216,3.2220240639938216,3.4461151589026904,6.5593433935291925,6.5593433935291925,6.782475922714957,-3.2220240639938296,3.2220240639938296,3.4461151589026984
weighted_q30,-1.919512581349807,1.919512581349807,2.1045801323315723,3.6078564333406797,3.6078564333406797,3.756303182229194,-1.919512581349815,1.919512581349815,2.1045801323315794
top_peak,1.3963857227136773,1.4286178759372792,1.5606142775382257,-2.365911542620052,2.4693184805126815,2.5648081883046934,1.3963857227136693,1.4286178759372716,1.5606142775382184
