variant,note,recomputed_vs_saved_python_raw_rmse_deg,raw_vs_matlab_bias,raw_vs_matlab_mae,raw_vs_matlab_rmse,selected_vs_matlab_bias,selected_vs_matlab_mae,selected_vs_matlab_rmse,raw_rejected_fraction,final_alpha_vs_matlab_bias,final_alpha_vs_matlab_mae,final_alpha_vs_matlab_rmse,FL_vs_matlab_bias,FL_vs_matlab_mae,FL_vs_matlab_rmse,ANG_vs_matlab_bias,ANG_vs_matlab_mae,ANG_vs_matlab_rmse
weighted_median_current,current raw rule,0.0,1.1877344336084021,1.5572018004501125,2.8086479622487333,1.2303075768942235,1.5438859714928732,2.7930293147742464,0.007876969242310577,1.0340201556450028,1.0738467267014231,1.1661119329346932,-1.8087794248192086,1.9281097324046388,2.0116464767411335,1.0340201556449953,1.073846726701416,1.1661119329346865
weighted_mean,"same candidates, weighted mean",2.6223200626743806,-0.5760437927356581,2.1295337348732137,2.905065726659798,-0.5760437927356581,2.1295337348732137,2.905065726659798,0.0,-0.6376748388771792,0.6378443098349142,0.7312831133079305,1.0838764013353808,1.0893470290281166,1.2648801636337743,-0.6376748388771872,0.6378443098349221,0.7312831133079377
weighted_q25,"same candidates, weighted 25th percentile",7.1369756623797835,-4.016316579144786,4.295386346586647,6.485058422688759,-3.383158289572393,3.9739309827456863,6.2062799427420225,0.14591147786946737,-3.2220240639938216,3.2220240639938216,3.4461151589026904,6.5593433935291925,6.5593433935291925,6.782475922714957,-3.2220240639938296,3.2220240639938296,3.4461151589026984
weighted_q30,"same candidates, weighted 30th percentile",4.782438491970636,-1.8385221305326331,2.539947486871718,4.457549628122136,-1.971117779444861,2.875093773443361,5.276542236587671,0.13240810202550637,-1.919512581349807,1.919512581349807,2.1045801323315723,3.6078564333406797,3.6078564333406797,3.756303182229194,-1.919512581349815,1.919512581349815,2.1045801323315794
top_peak,"same candidates, strongest single peak",3.913604198747762,0.7295573893473368,2.4261065266316577,4.485786505189758,1.6140285071267817,1.9163540885221306,3.2712746459831776,0.0603900975243811,1.3963857227136773,1.4286178759372792,1.5606142775382257,-2.365911542620052,2.4693184805126815,2.5648081883046934,1.3963857227136693,1.4286178759372716,1.5606142775382184
