frame,seq_angle_error_deg,seq_length_error_px,seq_length_error_mm,seq_max_endpoint_abs_error_px,one_step_angle_error_deg,one_step_length_error_px,one_step_length_error_mm,one_step_max_endpoint_abs_error_px
0,-2.2625411588705902e-07,-1.0602752809063531e-06,-9.565116857998596e-08,3.8790567487012595e-06,-2.2625411588705902e-07,-1.0602752809063531e-06,-9.565116857998596e-08,3.8790567487012595e-06
1,-0.001212728885747083,0.045799834747413115,0.004131764451412536,0.03224795464787178,-0.001212728885747083,0.045799834747413115,0.004131764451412536,0.03224795464787178
2,-0.001006756561025668,0.07050782624526164,0.006360759413940864,0.051481949258661786,0.000279623746763491,0.018731032906998735,0.0016897924704356512,0.016384827066278973
3,0.0004877823036224527,0.13011512538207626,0.011738143873436418,0.08577094205544356,0.0015564271175492195,0.059300960123209734,0.005349748537805576,0.03487143644020918
4,0.0029344992464075403,0.21469881529651502,0.019368736540094862,0.1369773453750298,0.0023625677160339364,0.08157592179793483,0.007359251308105509,0.048138768104522
5,0.007349778636069004,0.19596988404794047,0.017679133667670075,0.13155528855959275,0.004334501584878581,-0.018335647412186518,-0.0016541233519534813,0.03545889589468487
6,0.012113924338024162,0.16849864817947946,0.015200856695195034,0.14358017804219259,0.004406788756881497,-0.021277591272223617,-0.0019195264724230204,0.03634719174124257
7,0.016527969149734645,0.2006956964295341,0.01810546585227292,0.1726619664687341,0.004184448446579836,0.03943699566309533,0.0035577503204963228,0.05418700614158567
8,0.01975230846360887,0.20058869011916158,0.018095812436016892,0.20436978610412027,0.003204965087718392,-0.006396381530521467,-0.0005770401131627018,0.05016891434365789
9,0.020113554376166576,0.2551918187175488,0.023021753040889194,0.25061010591097244,0.0006628263440973114,0.05846389911835104,0.005274234315481135,0.047767393508628686
10,0.020496043714672396,0.2897921050888499,0.02614316677580906,0.283514286693201,0.00037234210540759705,0.03558366101799493,0.0032101274263564824,0.03262355488167756
11,0.02084596411958728,0.33234400867138447,0.029981923913948744,0.3141576477376695,0.00040917503690707235,0.0434517372383425,0.003919934302462571,0.03206650699059921
12,0.021650403933790585,0.34365515313572814,0.031002342106728503,0.326956474364291,0.000724981315244122,0.01764597622070596,0.001591905683967602,0.016897880614290983
13,0.02257529625120469,0.35921919764393806,0.03240642939599228,0.3388917349737248,0.0009826775897465723,0.011691874600273877,0.0010547651997044227,0.011264552966888886
14,0.022884433331171294,0.387618855509686,0.03496846258779552,0.3580728870046457,0.0002614312718094425,0.032912933571537906,0.002969191694087139,0.02253402286890349
15,0.023540953777796858,0.38055831769304405,0.03433150659615184,0.35880038764330635,0.000761408940718411,-0.008741668201423636,-0.000788616686498538,0.011726104919034697
16,0.02363401093612083,0.35228053356524924,0.03178046806362658,0.34967667011382986,0.0002538075368079262,-0.0341609978067936,-0.0030817839658441918,0.020793501334537723
17,0.026495388642558737,0.35490970344278594,0.03201765474119084,0.35895271377038895,0.002919298153926775,0.006704173234993505,0.0006048070872138269,0.02044716043795347
18,0.02815648567022322,0.36548144831067475,0.032971369091372264,0.3692199274746848,0.0011468743895193256,-0.006165881616880142,-0.0005562459038715716,0.015590325360790303
19,0.03853987350689181,0.3329855771860366,0.03003980206998587,0.3405006488625162,0.00982682777700461,-0.016313973623823586,-0.0014717410368823057,0.08485060083354057
20,0.045319294360638196,0.2925857651041497,0.026395192688221335,0.39456230061758646,0.00802370018098486,-0.0710611782859587,-0.0064106792510642465,0.06367927449453958
21,0.04743384205340817,0.3533976737470539,0.03188124921525914,0.4290125994044516,0.002144356426839522,0.03992111537661458,0.0036014244654703903,0.031139674599764078
22,0.04945479669586916,0.38799383399702947,0.03500229071823736,0.45357548593501207,0.0013043588754158009,0.027583440186731423,0.002488399319336803,0.019253128757277693
23,0.05184818766281296,0.37592436594013634,0.033913461482499845,0.46421648356263034,0.002923010643883117,-0.011573346841828425,-0.0010440723930261588,0.027464834651929948
24,0.052829628439894805,0.38053782669510383,0.03432965803103517,0.4732551737936532,0.000986765924892552,0.005580184044333691,0.0005034080623624879,0.014090516578789902
25,0.04972605041643874,0.39491028861004907,0.03562624845645817,0.4490224460164143,-0.0029727355497470853,0.02366148701696602,0.002134586106334835,0.06235323529153902
26,0.04739106760965228,0.3461870381704557,0.031230752375875633,0.4257491386822352,-0.0032585363306338877,-0.022224599746664353,-0.0020049594433378696,0.06692257919440792
27,0.041836440479414705,0.24733020084840973,0.022312528795399245,0.37554095561294787,-0.005625752159147623,-0.08188926883826753,-0.0073875194485768046,0.12595484852359107
28,0.03693557217789589,0.2955758306916323,0.026664937039262916,0.34927013492438874,-0.004753705090365656,0.03773385531906115,0.0034041040296733105,0.07607060345333139
29,0.03221489757518725,0.2775884120326282,0.02504222862998977,0.324292963270274,-0.004607394119403807,-0.01448596836098659,-0.0013068302418185412,0.04144550869881414
30,0.03103191487247159,0.2786253856301073,0.025135777671612885,0.3184352806316397,-0.00102544493583423,2.725139074755134e-05,2.458443969574472e-06,0.008650073216358578
31,0.02585398012377027,0.2716210731416595,0.024503893964914838,0.2656653290900053,-0.005321401519609026,-0.013323889252660592,-0.0012019949912987404,0.05517359913265096
32,0.01994830828610361,0.23654313371889657,0.021339389465388003,0.19630797115512877,-0.006148674655150899,-0.021180205150926668,-0.0019107409273166943,0.06874100955776186
33,0.014920591591277343,0.16622336375303348,0.014995595270958716,0.16796143049691636,-0.005078822246503023,-0.07180285230685968,-0.006477588277504958,0.06515986742560642
34,0.012246390175477018,0.12574030560745086,0.01134347596850135,0.170803914252474,-0.00258697389310214,-0.044495236001466765,-0.004014072002267554,0.033331931658636904
35,0.008417892464990473,0.12971306856445608,0.011701872911419794,0.19486567756803197,-0.0037907221270927494,0.00839523002707665,0.0007573632782433918,0.030032870376089704
36,0.008571202947535994,0.14258400182063724,0.012863005146452507,0.2087250465096986,-6.048554175208665e-05,0.019262897467001494,0.0017377738462223769,0.017257761353448586
37,0.011659046802748207,0.14642008086912028,0.013209071352427756,0.21449493871159575,0.0034096822180060826,-0.008717820978404234,-0.000786465344493051,0.029441155098083982
38,0.010730412606449136,0.18640676379436627,0.016816410897463295,0.23090788057095324,-0.0008073644775663524,0.045093346818475766,0.004068029686293099,0.02845008455002329
39,0.015467432477692,2.6154960997504304,0.23595311789563495,1.5150388212959065,0.00498386504955306,2.424197965343865,0.21869543922230242,1.6137307616035237
40,-0.2588790138470074,11.38898371121843,1.0274403454782464,8.660513750504332,-0.2744535960397627,8.786496536600907,0.7926608085510072,7.150786272476989
41,-0.5740023812763297,20.001823547083177,1.804434971240422,15.94049606665376,-0.3150784835822549,8.623287202151914,0.7779371194823881,7.285297015750439
42,-0.8554410264206922,30.363967827384045,2.7392405139650733,24.419267211934788,-0.2819122481022589,10.371957270992311,0.9356908071873847,8.48340085603879
43,-1.2051152365981181,39.80713070862896,3.591141506988414,32.6647481819456,-0.34945099553777936,9.44953389408954,0.8524757445379711,8.246960391647132
44,-1.4584274395068633,47.977759024701754,4.328242673580746,39.90436696707317,-0.2539222095791729,8.166913218106515,0.7367660145160149,7.238971707215992
45,-1.6681975108710674,56.670930690011346,5.1124843166967535,47.35187085195445,-0.20942875336700695,8.688748886576718,0.7838426486644834,7.445093470057479
46,-1.88989166941397,64.60468726665829,5.8282164491451525,54.2190203018207,-0.22137532354634004,7.944965893392805,0.7167433644039417,6.871156150819722
47,-2.159218587690276,71.7743407039411,6.475016145355542,60.73117393907897,-0.2691614576107497,7.164932782085998,0.6463738292735945,6.513211674064323
48,-2.3735237934409383,78.05150847423226,7.041301565202093,66.84869261896867,-0.2142063104900842,6.296239433804658,0.5680059418040857,6.1243426433827395
49,-2.6378832724266488,84.48561631110795,7.621745101375753,72.83650018656013,-0.26362877082297587,6.417975008962003,0.5789881369294904,5.9746093937134575
50,-2.8397361626183795,89.4590493923165,8.070416021691187,77.47328438658934,-0.2018268195887174,4.9569351409923,0.4471825830041097,4.626740120842264
51,-2.9437091227210033,92.82987860618516,8.374510400949445,80.71118729406444,-0.10413351166067741,3.3785181703892704,0.30478802711518865,3.2438239365204993
52,-3.0372341425609477,95.42273074478771,8.608420727332273,83.35373621674424,-0.09246164168308724,2.5890592547127653,0.23356815696430108,2.6384213516319406
53,-3.15515208398719,98.78015088933626,8.911305427205246,86.81113412174128,-0.11757987949170001,3.3462221538137555,0.3018744896767926,3.453698895300853
54,-3.2751754364752514,101.79367601587467,9.183166145916097,89.91001440929479,-0.11955072162558622,3.0291251697606185,0.27326805357093126,3.1043598835379527
55,-3.3968667972192463,104.59378895900454,9.43577419968244,92.99322060121185,-0.12384839921983826,2.7846580433763393,0.25121381280992955,3.0825665332186816
56,-3.49022160349827,107.1161091972848,9.663321594844021,95.91800954988183,-0.0946408487395729,2.553714214129286,0.23037955632803347,2.9487521951455022
57,-3.5809401207797293,109.5563759983869,9.883466660352697,98.89629916150608,-0.09097694703331172,2.3963905955106384,0.21618683842062167,2.9564493079904537
58,-3.7002886860860826,111.8515536599374,10.090522723414281,101.63770949399843,-0.11954927774604585,2.2817181377064344,0.20584183199593636,2.7335003570355383
59,-3.8088044836309507,113.6376197278646,10.251650035947929,103.93226181406581,-0.10668205766384631,1.8081037362942425,0.16311540823864432,2.3008855475863186
60,-3.873142061515381,115.15562120043899,10.38859429690793,105.9114561723171,-0.0659191589258512,1.5429938153112062,0.13919890824960526,1.9989748643337037
61,-3.942995455481366,116.49668667449623,10.509576538072881,107.94644820936024,-0.06878401270250833,1.3250637441207118,0.11953866873117455,2.0233505988866085
62,-4.01103225277194,118.76127292491833,10.713872842159004,110.81124731957246,-0.06709646807462377,2.2579334918257246,0.2036961352945983,2.859890431755076
63,-4.111093117564451,121.52366310266382,10.963077792357751,113.84192524616331,-0.09884279027764364,2.7540562976597585,0.24845312151485724,3.020701033516829
64,-4.154751112283151,122.79521527826569,11.077788993964539,115.58431456874749,-0.042743653689427674,1.267120685644727,0.11431142128503144,1.7351381618871358
65,-4.204108001842343,124.05798188429708,11.191707618387655,117.28871954544165,-0.049657917352902814,1.2508312425908343,0.11284189323728702,1.7013248310861826
66,-4.271940144089854,125.03723377959693,11.280049381896024,119.12778527620338,-0.06794947650729455,1.002233745967942,0.09041503722522183,1.8519922006418597
67,-4.332777773460407,126.38019377347052,11.401202534368249,120.9495574504807,-0.060885584826309014,1.3277779329138184,0.1197835252646452,1.810454514689681
68,-4.363225076384225,127.32479955027236,11.486418749464073,122.33255652655662,-0.031198980367719287,0.9458169847605404,0.08532548243302385,1.3840053485780999
69,-4.405366311397302,128.6162533202546,11.602925344015851,123.99827506325205,-0.04178239898033098,1.308210531363443,0.11801828103225367,1.6747219779249036
70,-4.503580926200328,130.22692610354568,11.748229810408837,126.37803756748598,-0.09866874695180172,1.6173915770597205,0.14591059245004953,2.384125824321913
71,-4.6098735799187125,132.57858850536456,11.960381560893211,129.4768686674392,-0.10551837994441371,2.334519940523478,0.21060526865576573,3.092310943440168
72,-4.739524000962575,134.7718375336416,12.158242282839199,132.48142421991906,-0.13003498257143065,2.176978745444785,0.19639292240934272,2.9987524822481504
73,-4.861739342560327,137.59008644238088,12.41248644595856,135.71689740397989,-0.12138142386447726,2.8122255177022453,0.2537007717927115,3.235398685718181
