signal,rmse_vs_matlab_raw_pre_kalman,rmse_vs_matlab_final_post_kalman,closer_target,final_minus_raw_rmse
angle_deg,6.118181484715813,5.932818807752833,final_post_kalman,-0.18536267696298037
length_px,121.01568860982493,149.05609348803534,raw_pre_kalman,28.04040487821041
length_mm,10.91725162369773,13.44687533779963,raw_pre_kalman,2.5296237141019002
x_sup_px,15.809669167263385,13.47308827099006,final_post_kalman,-2.3365808962733254
x_deep_px,126.97957108584545,167.0822781472985,raw_pre_kalman,40.102707061453046
