comparison_group,comparison,n,bias,mae,rmse,corr
matlab_raw_vs_final,matlab_raw_vs_final_angle_deg,2666,-0.12558638399745378,0.8638295802748932,1.069570789095167,0.9757923413095143
matlab_raw_vs_final,matlab_raw_vs_final_length_px,2666,-35.58228403260265,35.58503902446283,38.32807824821594,0.9912122217155118
matlab_raw_vs_final,matlab_raw_vs_final_length_mm,2666,-3.2100032036529447,3.2102517411748503,3.4577109736379863,0.9912122217155122
matlab_raw_vs_final,matlab_raw_vs_final_x_sup_px,2666,15.975650309755252,15.975650309755252,17.463506400930783,0.8614149140519705
matlab_raw_vs_final,matlab_raw_vs_final_y_sup_px,2666,7.945866400939399,7.951556024617617,8.457457872642335,-9.37511620291566e-16
matlab_raw_vs_final,matlab_raw_vs_final_x_deep_px,2666,47.35995058994235,47.36220913631029,49.54690503394124,0.9919038384256559
matlab_raw_vs_final,matlab_raw_vs_final_y_deep_px,2666,-8.253204369674366,8.341885960176723,9.363319701479401,0.48741833421612074
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_angle_deg,2666,-5.070816055098236,5.071522683470492,6.118181484715813,0.7095121114505741
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_length_px,2666,88.41500866735262,94.13882936460044,121.01568860982493,0.6431650301129659
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_length_mm,2666,7.9762294295992495,8.49259546047196,10.91725162369773,0.6431650301129664
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_x_sup_px,2666,8.030072298694428,13.455411698695418,15.809669167263385,0.0897985314931871
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_y_sup_px,2666,6.644636603246139,6.69069586081565,7.19626497735931,0.5461699270617628
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_x_deep_px,2666,-95.91177309506435,96.51432233823563,126.97957108584545,0.6561245343845805
python_seq_vs_matlab_raw,python_seq_vs_matlab_raw_y_deep_px,2666,-9.806522070821623,10.117468420226484,11.495614253614695,-0.09548066953437419
python_seq_vs_matlab_final,python_seq_vs_matlab_final_angle_deg,2666,-4.9452296711007815,4.945936215157878,5.932818807752833,0.7013485924494023
python_seq_vs_matlab_final,python_seq_vs_matlab_final_length_px,2666,123.99729269995527,123.99824736639506,149.05609348803534,0.6435823848657152
python_seq_vs_matlab_final,python_seq_vs_matlab_final_length_mm,2666,11.186232633252194,11.186318757075142,13.44687533779963,0.6435823848657152
python_seq_vs_matlab_final,python_seq_vs_matlab_final_x_sup_px,2666,-7.9455780110608245,11.235644454719866,13.47308827099006,-0.145897336006772
python_seq_vs_matlab_final,python_seq_vs_matlab_final_y_sup_px,2666,-1.3012297976932587,2.475362767057544,3.1819638126369325,-4.405689226493161e-16
python_seq_vs_matlab_final,python_seq_vs_matlab_final_x_deep_px,2666,-143.2717236850067,143.27276701814415,167.0822781472985,0.6530875180298564
python_seq_vs_matlab_final,python_seq_vs_matlab_final_y_deep_px,2666,-1.5533177011472592,4.180723381896295,4.855718430539029,-0.05348913091240411
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_angle_deg,2665,0.0016023645505833543,0.16711230606141475,0.3013109932225762,0.9980618097799612
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_length_px,2665,0.02647596981789694,3.164068546423519,5.167993935651766,0.9988425848983369
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_length_mm,2665,0.0023884905156002965,0.2854417710029758,0.46622294045826423,0.9988425848983373
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_x_sup_px,2665,-0.0067841249857047885,0.6557369566543886,1.2426148881098393,0.9949536266420798
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_y_sup_px,2665,-0.0028737324226390695,0.16903624000921125,0.2867033901713631,0.9951303622651934
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_x_deep_px,2665,-0.029242586800612185,3.372742005207715,5.725075081297557,0.9986176668442525
python_one_step_vs_matlab_raw,python_one_step_vs_matlab_raw_y_deep_px,2665,-0.011568578787432308,0.37199103424610874,0.6048953479589122,0.9925598638379277
