metric,key,unit,n_valid,mean_delta,mean_abs_delta,median_abs_delta,rmse_delta,max_abs_delta
ANG,ANG_deg,deg,90,2.524612851518861,2.524612851518861,1.7448999724404217,3.126689136457713,5.2073677753076595
PEN,PEN_deg,deg,90,2.524612851518861,2.524612851518861,1.7448999724404217,3.126689136457713,5.2073677753076595
FL,FL_mm,mm,90,-2.5969157253378152,2.5969157253378152,3.117927715280967,3.2196837546832118,6.330609489273559
